TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT1G01680,ATPUB54,0,-3.061244033,-3.172378818,0,0,0,-1.259722468,0,0,-2.617246066,-2.728380851,0,0,0,-0.815724501,0,0,0,0,-2.918638032,-2.474640064
AT1G03790,AtTZF4,0,-6.78824894,-5.797202811,-1.504628789,0,-3.304768076,0,0,0,-6.344408509,-5.353362379,-1.060788358,0,-2.860927644,0,0,0,-6.267403575,-5.823563144,-5.834583816,-5.390743384
AT1G06350,ADS4,0,0,0,-4.971605902,0,0,-6.569734889,0,-4.654356267,0,0,-4.527626746,0,0,-6.125755732,0,-4.21037711,0,0,-2.128420462,-1.684441305
AT1G09720,NET2B,0,-3.030424082,0,0,0,-3.95999427,0,0,0,-2.58669481,0,0,0,-3.516264998,0,0,0,-2.44677086,-2.003041588,0,0
AT1G14440,AtHB31,0,-3.121290884,0,-4.504485595,-2.788378609,0,-5.882717816,-4.192210952,-3.485420661,-2.677423955,0,-4.060618665,-2.34451168,0,-5.438850887,-3.748344023,-3.041553732,0,0,-4.128251324,-3.684384395
AT1G17260,AHA10,0,-1.8567132,-4.971551062,-1.505011042,-3.763455592,0,-1.264303568,-4.296205684,-3.06723893,-1.41297795,-4.527815812,-1.061275792,-3.319720342,0,-0.820568318,-3.852470435,-2.62350368,-1.07878267,-0.635047421,-3.211610234,-2.767874984
AT1G18350,ATMKK7,0,-0.99188465,0,0,0,-4.140677365,-1.259060878,-1.448388653,0,-0.547852213,0,0,0,-3.696644928,-0.815028441,-1.004356216,0,0,0,0,0
AT1G18400,BEE1,0,-3.84925909,-2.899471353,0,-2.074511304,-1.344617345,-5.031980735,0,0,-3.405305802,-2.455518065,0,-1.630558016,-0.900664057,-4.588027447,0,0,-3.702669356,-3.258716068,-2.348211609,-1.904258321
AT1G22380,AtUGT85A3,0,0,0,0,0,-1.253021238,-3.62200871,0,-4.796580694,0,0,0,0,-0.809164362,-3.178151833,0,-4.352723817,0,0,-2.533824059,-2.089967182
AT1G24260,AGL9,0,0,0,0,0,0,0,-1.488810733,-4.354825627,0,0,0,0,0,0,-1.044820378,-3.910835272,0,0,0,0
AT1G24470,ATKCR2,0,0,-1.607189511,-2.403904301,-0.917149017,-3.64083786,0,-2.174262476,0,0,-1.16319649,-1.95991128,-0.473155996,-3.196844839,0,-1.730269455,0,-1.869419595,-1.425426574,-0.850252935,-0.406259914
AT1G25210,AtLpxC5,0,-3.836687728,-5.607119315,0,0,0,0,0,0,-3.327292742,-5.097724329,0,0,0,0,0,0,0,0,0,0
AT1G28010,ABCB14,0,0,0,-4.822090288,0,0,-5.619396694,0,-5.710319482,0,0,-4.378428064,0,0,-5.175734471,0,-5.266657259,0,0,0,0
AT1G30220,ATINT2,0,-3.162883505,-5.955172821,0,-0.915017119,0,-3.265682777,-1.428316051,0,-2.719082955,-5.511372272,0,-0.471216569,0,-2.821882227,-0.984515501,0,-3.850834189,-3.407033639,-4.788174668,-4.344374118
AT1G30560,AtG3Pp3,0,-3.939096,-2.254126,-2.707591,-3.174244,-4.087395,0,-2.204521,0,-3.495249,-1.810279,-2.263744,-2.730397,-3.643547,0,-1.760674,0,0,0,0,0
AT1G30950,UFO,0,0,0,0,-1.603408,-1.965218,0,0,0,0,0,0,-1.15951,-1.52132,0,0,0,-3.860569,-3.416672,-0.8507723,-0.4068747
AT1G32350,AOX1D,0,0,-4.837954,-3.650985,0,0,0,0,0,0,-4.394035,-3.207066,0,0,0,0,0,0,0,-2.68939,-2.24547
