TAIR,SYMBOL,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_dark.
AT1G01695,TRM33,0,0,0,-4.566939434,0,-1.40092743,0,0,0,-3.94015045,0,-0.774138447,0,-1.045283917,-0.418494933,-0.817881167,-0.191092184,-3.151901812,-2.525112829,-2.405257458,-1.778468474
AT1G04580,AAO4,0,-1.468909093,-2.767799306,-5.770490558,-6.940208514,-6.566227914,-7.204494181,-0.845849697,-2.14473991,-5.147431162,-6.317149118,-5.943168518,-6.581434785,0,0,0,0,0,0,-2.621696092,-1.998636696
AT1G05990,RHS1,0,-3.732888625,0,-1.224010224,-3.440533486,0,0,-3.098213118,0,-0.589334717,-2.805857979,0,0,-1.050685888,-0.416010381,-3.251661093,-2.616985586,-4.576053507,-3.941378,0,0
AT1G06350,ADS4,0,-4.940492986,0,0,-6.538621973,0,-4.623243351,-4.311480376,0,0,-5.909609362,0,-3.99423074,0,0,-2.097307546,-1.468294935,0,0,0,0
AT1G07340,ATSTP2,0,0,0,-1.937308448,0,-2.84787994,0,0,0,-1.310619221,0,-2.221190713,0,-4.793274528,-4.166585301,-3.455528494,-2.828839267,-2.534809218,-1.908119991,0,0
AT1G07500,SMR5,0,-3.294890752,-1.633569013,-1.260296794,-1.238334143,0,0,-2.61658474,-0.955263001,-0.581990782,-0.560028131,0,0,-2.929787123,-2.251481111,0,0,-3.370542694,-2.692236682,-3.180697394,-2.502391382
AT1G08810,AtMYB60,0,0,-3.488490108,-3.3149413,0,-3.726172685,0,0,-2.858833476,-2.685284668,0,-3.096516053,0,-2.688778301,-2.059121669,-4.395478758,-3.765822126,-3.757160631,-3.127503999,0,0
AT1G10010,AAP8,0,0,0,-1.254505371,0,0,0,0,0,-0.627147127,0,0,0,0,0,-3.054048469,-2.426690224,-0.963242186,-0.335883942,-3.03303474,-2.405676496
AT1G10680,ABCB10,0,-1.463337903,-0.883650638,-2.712075751,-1.234907305,0,-3.902305262,-0.839931122,-0.260243858,-2.088668971,-0.611500524,0,-3.278898482,-4.190779832,-3.567373052,-2.150078943,-1.526672163,-4.050791632,-3.427384851,-3.37969742,-2.75629064
AT1G17700,PRA1.F1,0,-3.73065254,-1.991175596,-4.334360598,-1.228951364,-4.410684671,0,-3.097629298,-1.358152354,-3.701337356,-0.595928122,-3.777661429,0,-1.852420289,-1.219397047,0,0,-2.06957121,-1.436547968,0,0
AT1G18870,ATICS2,0,0,-0.86971363,0,-1.217231898,0,-3.569287631,0,-0.243731803,0,-0.591250071,0,-2.943305804,0,0,0,0,-4.033785978,-3.407804151,0,0
AT1G19890,ATMGH3,0,0,0,-5.360072193,-4.257945313,-2.975034061,0,0,0,-4.723621998,-3.621495118,-2.338583866,0,0,0,0,0,0,0,-1.385771515,-0.749321319
AT1G21890,UMAMIT19,0,0,-0.821230075,-1.815036119,-2.637099316,0,-6.919057887,0,-0.192719294,-1.186525337,-2.008588534,0,-6.290547105,-4.233481951,-3.60497117,0,0,-6.833070831,-6.204560049,-2.185442817,-1.556932036
AT1G22380,AtUGT85A3,0,0,0,-1.219732338,-3.588719809,0,-4.763291793,0,0,-0.593196095,-2.962183566,0,-4.136755551,0,0,-2.500535159,-1.873998916,0,0,0,0
AT1G22590,AGL87,0,-1.809308388,-1.221092203,-4.364352396,-1.565368748,-4.337458579,-4.759441852,-1.181959489,-0.593743304,-3.737003496,-0.938019848,-3.710109679,-4.132092953,0,0,-3.122165567,-2.494816668,-4.042223913,-3.414875013,0,0
AT1G24260,AGL9,0,0,0,0,0,-1.457999291,-4.324014185,0,0,0,0,-0.828652704,-3.694667598,0,0,0,0,0,0,0,0
AT1G28010,ABCB14,0,-4.785916253,0,0,-5.583222659,0,-5.674145448,-4.16266448,0,0,-4.959970887,0,-5.050893675,0,0,0,0,0,0,0,0
AT1G28170,SOT7,0,-2.146382158,0,-4.024765374,-1.228978148,-4.570571935,-3.641152094,-1.516794706,0,-3.395177923,-0.599390696,-3.940984484,-3.011564643,-2.538888942,-1.909301491,0,0,-4.156189988,-3.526602537,0,0
AT1G30135,JAZ8,0,-4.587888257,-0.893600402,-5.14044784,-1.947601684,-4.583114145,-3.850821138,-3.953485878,-0.259198023,-4.506045461,-1.313199305,-3.948711766,-3.216418759,-3.394901008,-2.760498629,-2.920964669,-2.28656229,-3.104597494,-2.470195114,-2.035759747,-1.401357368
AT1G30950,UFO,0,0,-1.570864,-1.932674,0,0,0,0,-0.9434849,-1.305295,0,0,0,-3.828026,-3.200647,-0.8182285,-0.1908494,0,0,0,0
AT1G32060,PRK,0,0,0,-4.824979,0,-3.568187,0,0,0,-4.19894,0,-2.942148,0,-3.757103,-3.131063,-5.270022,-4.643983,-4.48398,-3.85794,0,0
AT1G32960,ATSBT3.3,0,-1.469899,0,-2.126381,0,-1.389355,0,-0.8453657,0,-1.501847,0,-0.7648216,0,-4.601882,-3.977348,-3.917425,-3.292891,-0.9267336,-0.3021998,0,0
AT1G42560,ATMLO9,0,0,0,-6.34293,-5.321904,-5.396223,-3.40747,0,0,-5.715567,-4.694541,-4.76886,-2.780107,0,0,0,0,0,0,0,0
AT1G44575,CP22,0,0,0,0,0,-4.011169,0,0,0,0,0,-3.38287,0,-1.906485,-1.278185,0,0,-5.625516,-4.997217,-1.451567,-0.8232675
AT1G45191,BGLU1,0,0,0,-6.979811,-6.17617,-5.545262,-6.404699,0,0,-6.353393,-5.549752,-4.918844,-5.778281,0,0,0,0,0,0,0,0
AT1G45616,AtRLP6,0,-4.538982,0,0,0,0,0,-3.915113,0,0,0,0,0,0,0,0,0,-3.183141,-2.559272,-1.365575,-0.7417067
AT1G54560,ATXIE,0,-4.739203,-4.146221,-4.138787,-4.018666,0,-3.507282,-4.116257,-3.523275,-3.515841,-3.39572,0,-2.884335,-3.379788,-2.756841,-2.200908,-1.577962,-2.140288,-1.517342,0,0
AT1G54760,AGL85,0,0,-2.01375,-4.259501,-3.360563,-3.059259,-3.019176,0,-1.366119,-3.611871,-2.712933,-2.411629,-2.371546,0,0,0,0,0,0,-1.391049,-0.7434184
AT1G55600,ATWRKY10,0,0,0,-4.729899,-3.827542,-4.73722,-5.03878,0,0,-4.102241,-3.199884,-4.109562,-4.411122,-1.045862,-0.4182047,0,0,0,0,0,0
AT1G56510,ADR2,0,-1.469235,0,-3.076394,-1.229042,-3.155677,-2.296378,-0.8456841,0,-2.452843,-0.6054911,-2.532126,-1.672827,0,0,-0.8159594,-0.1924088,-0.9258671,-0.3023165,0,0
AT1G57943,ATPUP17,0,0,-2.036016,0,0,-4.95703,0,0,-1.407247,0,0,-4.328261,0,0,0,-0.8243122,-0.1955431,0,0,-1.366721,-0.7379518
AT1G60270,BGLU6,0,-4.249358,0,0,0,-5.287316,0,-3.622848,0,0,0,-4.660806,0,0,0,-0.818633,-0.1921229,-2.04476,-1.41825,0,0
AT1G65480,FT,0,0,0,-4.201557,-3.660613,-3.979558,-4.827152,0,0,-3.569117,-3.028173,-3.347118,-4.194712,0,0,0,0,0,0,0,0
AT1G65800,ARK2,0,0,-2.607629,0,0,-3.549899,0,0,-1.983752,0,0,-2.926021,0,-2.379383,-1.755505,0,0,0,0,-1.3759,-0.7520227
AT1G66950,ABCG39,0,-4.199881,0,0,-6.451165,0,-4.516381,-3.576852,0,0,-5.828137,0,-3.893352,0,0,0,0,0,0,0,0
AT1G66960,LUP5,0,-3.99121,0,0,-7.392505,0,-2.839967,-3.366805,0,0,-6.7681,0,-2.215562,0,0,0,0,0,0,0,0
AT1G67220,ATHPCAT1,0,-2.609204,0,-5.077137,0,0,0,-1.985977,0,-4.45391,0,0,0,-3.407949,-2.784721,-2.33614,-1.712912,0,0,0,0
AT1G69540,AGL94,0,-1.409287,-2.959607,0,0,-2.49011,-2.967667,-0.782128,-2.332448,0,0,-1.86295,-2.340508,-2.650952,-2.023793,0,0,-3.97369,-3.34653,-3.45271,-2.82555
AT1G70910,DEP,0,0,0,0,-3.361488,0,0,0,0,0,-2.721468,0,0,-1.054211,-0.4141913,-2.949663,-2.309643,-2.877991,-2.237971,0,0
AT1G71390,AtRLP11,0,-1.482633,0,-1.231409,0,-1.403072,-1.256046,-0.8579055,0,-0.6066817,0,-0.7783448,-0.6313181,-1.031432,-0.4067042,0,0,-3.582812,-2.958084,0,0
AT1G75240,AtHB33,0,0,-3.284113,-3.451773,-2.875258,-2.960498,-2.826156,0,-2.657503,-2.825164,-2.248648,-2.333889,-2.199547,0,0,0,0,-3.822191,-3.195581,0,0
AT1G75430,BLH11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.128837,-3.499861,-1.413777,-0.7848014
AT1G77980,AGL66,0,0,-2.887224,-4.247628,-5.136249,0,-3.683778,0,-2.259699,-3.620104,-4.508725,0,-3.056254,0,0,-2.301539,-1.674015,0,0,-3.943246,-3.315722
