TAIR,SYMBOL,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0.PhyD_FLT_dark.
AT1G01680,ATPUB54,0,0,-0.717592071,0,0,0,-1.30424238,0,0,0,0,-2.376507635,-2.963157944,0,0,0,0,-2.519113636,-3.105763945,-2.630248421,-3.21689873
AT1G01695,TRM33,0,-4.057314821,0,-0.891302817,0,-4.64600436,0,-1.479992356,0,-0.535659304,-1.124348843,-0.308256555,-0.896946093,-2.642277199,-3.230966738,-1.895632845,-2.484322384,0,0,0,0
AT1G02205,CER1,0,-0.744972075,0,0,0,-1.335279829,0,0,0,0,0,-1.886410745,-2.476718499,-2.759789182,-3.350096936,0,0,-0.368669425,-0.958977179,-4.183946145,-4.774253899
AT1G02510,ATKCO4,0,-4.260889643,-0.716995012,-2.222284848,0,-4.846845173,-1.302950541,-2.808240378,0,-4.882944846,-5.468900376,-3.887892118,-4.473847648,-4.164812126,-4.750767655,0,0,-4.454640265,-5.040595795,0,0
AT1G02820,AtLEA3,0,-1.625666997,0,0,0,-2.208630552,0,0,0,-0.535820404,-1.11878396,-3.170348918,-3.753312474,-1.38179424,-1.964757795,0,0,-1.58396238,-2.166925936,0,0
AT1G07340,ATSTP2,0,-1.427749808,0,-2.3383213,0,-2.016525056,0,-2.927096548,0,-4.283715888,-4.872491136,-2.945969853,-3.534745102,-2.025250578,-2.614025826,0,0,0,0,0,0
AT1G07430,AIP1,0,-2.14468093,0,0,0,-2.73400979,0,0,0,-4.017809001,-4.607137861,-3.264220087,-3.853548947,-1.326141103,-1.915469962,0,0,-2.52013089,-3.10945975,0,0
AT1G07720,KCS3,0,0,-0.687825214,-3.665231724,-2.681784533,0,-1.27728907,-4.25469558,-3.271248389,0,0,0,0,-0.453406229,-1.042870085,-2.309008084,-2.89847194,-0.487362317,-1.076826173,-2.074400288,-2.663864144
AT1G08090,ACH1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.259731813,-4.849449467,0,0,-2.448632303,-3.038349956,0,0
AT1G09080,BIP3,0,-2.133635031,-0.722856245,0,0,-2.723346333,-1.312567547,0,0,-1.330381248,-1.92009255,-3.421996316,-4.011707618,-0.421410488,-1.011121789,0,0,-0.455618903,-1.045330205,0,0
