"","X","phyD_FLT_c1.which.mclass....2...1."
"2195",2195,"AT4G14040"
"1337",1337,"AT2G44200"
"2097",2097,"AT4G02120"
"1617",1617,"AT3G14240"
"462",462,"AT1G43860"
"229",229,"AT1G15810"
"438",438,"AT1G33490"
"1331",1331,"AT2G43590"
"9",9,"AT1G01540"
"2099",2099,"AT4G02280"
"2586",2586,"AT5G01430"
"2515",2515,"AT4G35860"
"2793",2793,"AT5G14690"
"1429",1429,"AT3G03120"
"1383",1383,"AT2G47840"
"1823",1823,"AT3G44190"
"3244",3244,"AT5G58650"
"2206",2206,"AT4G14905"
"1845",1845,"AT3G47360"
"898",898,"AT2G02790"
"664",664,"AT1G66430"
"263",263,"AT1G18890"
"2758",2758,"AT5G12850"
"3175",3175,"AT5G54490"
"2979",2979,"AT5G37720"
"559",559,"AT1G54920"
"1196",1196,"AT2G34500"
"2518",2518,"AT4G35940"
"1517",1517,"AT3G08760"
"1870",1870,"AT3G48760"
"3242",3242,"AT5G58470"
"241",241,"AT1G17110"
"3212",3212,"AT5G57040"
"3185",3185,"AT5G55210"
"4",4,"AT1G01210"
"1233",1233,"AT2G37220"
"38",38,"AT1G03350"
"3134",3134,"AT5G51200"
"1755",1755,"AT3G24570"
"745",745,"AT1G71880"
"3303",3303,"AT5G63010"
"756",756,"AT1G72320"
"2895",2895,"AT5G23300"
"2963",2963,"AT5G35180"
"2092",2092,"AT4G01870"
"1913",1913,"AT3G52120"
"1576",1576,"AT3G12300"
"2344",2344,"AT4G25710"
"2669",2669,"AT5G06560"
"555",555,"AT1G54390"
"1935",1935,"AT3G53710"
"964",964,"AT2G16800"
"3016",3016,"AT5G41080"
"1742",1742,"AT3G23890"
"2756",2756,"AT5G12390"
"8",8,"AT1G01470"
"1473",1473,"AT3G05710"
"749",749,"AT1G72070"
"1814",1814,"AT3G33520"
"1620",1620,"AT3G14410"
"694",694,"AT1G68760"
"1852",1852,"AT3G47620"
"761",761,"AT1G72480"
"1413",1413,"AT3G02300"
"2874",2874,"AT5G21060"
"2042",2042,"AT3G62240"
"3302",3302,"AT5G63000"
"1919",1919,"AT3G52400"
"2165",2165,"AT4G10750"
"557",557,"AT1G54770"
"2041",2041,"AT3G62140"
"2938",2938,"AT5G26340"
"1287",1287,"AT2G40490"
"1561",1561,"AT3G11330"
"1760",1760,"AT3G25290"
"980",980,"AT2G17510"
"954",954,"AT2G16280"
"189",189,"AT1G13000"
"2230",2230,"AT4G16265"
"2377",2377,"AT4G27830"
"2710",2710,"AT5G09880"
"324",324,"AT1G23800"
"1016",1016,"AT2G19560"
"1304",1304,"AT2G41620"
"1263",1263,"AT2G39260"
"570",570,"AT1G55535"
"774",774,"AT1G73655"
"1198",1198,"AT2G34630"
"394",394,"AT1G29320"
"739",739,"AT1G71696"
"1981",1981,"AT3G57070"
"2546",2546,"AT4G37680"
"1173",1173,"AT2G31960"
"2631",2631,"AT5G04420"
"1679",1679,"AT3G18210"
"605",605,"AT1G60490"
"2457",2457,"AT4G32660"
"517",517,"AT1G50630"
"2265",2265,"AT4G18800"
"1411",1411,"AT3G02170"
"1400",1400,"AT3G01516"
"876",876,"AT2G01010"
"2390",2390,"AT4G28470"
"3061",3061,"AT5G45070"
"823",823,"AT1G77420"
"537",537,"AT1G53040"
"2245",2245,"AT4G17230"
"2582",2582,"AT5G01090"
"1798",1798,"AT3G28200"
"2765",2765,"AT5G13110"
"1800",1800,"AT3G28345"
"95",95,"AT1G06290"
"1398",1398,"AT3G01400"
"3039",3039,"AT5G43100"
"302",302,"AT1G22500"
"1321",1321,"AT2G43030"
"935",935,"AT2G13370"
"1525",1525,"AT3G09570"
"2353",2353,"AT4G26160"
"1697",1697,"AT3G19950"
"3180",3180,"AT5G54980"
"812",812,"AT1G76660"
"1959",1959,"AT3G55260"
"2736",2736,"AT5G11700"
"180",180,"AT1G12400"
"2932",2932,"AT5G25510"
"3264",3264,"AT5G60020"
"2233",2233,"AT4G16420"
"2711",2711,"AT5G09995"
"1984",1984,"AT3G57220"
"2101",2101,"AT4G02405"
"1687",1687,"AT3G18980"
"2680",2680,"AT5G07030"
"1202",1202,"AT2G35010"
"1364",1364,"AT2G46200"
"729",729,"AT1G71090"
"1749",1749,"AT3G24315"
"1630",1630,"AT3G15010"
"3374",3374,"AT5G66530"
"94",94,"AT1G06210"
"2560",2560,"AT4G38580"
"1910",1910,"AT3G51890"
"3088",3088,"AT5G47560"
"3042",3042,"AT5G43430"
"140",140,"AT1G09020"
"2046",2046,"AT3G62630"
"1218",1218,"AT2G36300"
"2212",2212,"AT4G15030"
"594",594,"AT1G58280"
"213",213,"AT1G14990"
"781",781,"AT1G74210"
"1865",1865,"AT3G48210"
"123",123,"AT1G08230"
"2860",2860,"AT5G19900"
"762",762,"AT1G72490"
"3372",3372,"AT5G66380"
"1678",1678,"AT3G18165"
"2777",2777,"AT5G13640"
"1929",1929,"AT3G53120"
"2202",2202,"AT4G14570"
"2376",2376,"AT4G27800"
"406",406,"AT1G30110"
"1584",1584,"AT3G12680"
"1497",1497,"AT3G07140"
"3195",3195,"AT5G56100"
"2906",2906,"AT5G24020"
"1840",1840,"AT3G46590"
"1424",1424,"AT3G02880"
"493",493,"AT1G48605"
"1956",1956,"AT3G55010"
"3186",3186,"AT5G55230"
"1940",1940,"AT3G54170"
"3281",3281,"AT5G61450"
"660",660,"AT1G65985"
"2778",2778,"AT5G13810"
"240",240,"AT1G16970"
"3112",3112,"AT5G49020"
"318",318,"AT1G23052"
"2247",2247,"AT4G17280"
"2317",2317,"AT4G23640"
"202",202,"AT1G13950"
"2821",2821,"AT5G16760"
"85",85,"AT1G05575"
"2683",2683,"AT5G07370"
"2204",2204,"AT4G14720"
"1658",1658,"AT3G16740"
"2865",2865,"AT5G20200"
"693",693,"AT1G68720"
"1327",1327,"AT2G43340"
"2055",2055,"AT3G63010"
"698",698,"AT1G68990"
"3021",3021,"AT5G41350"
"2037",2037,"AT3G61540"
"3259",3259,"AT5G59740"
"2406",2406,"AT4G29680"
"556",556,"AT1G54490"
"951",951,"AT2G15860"
"53",53,"AT1G04440"
"796",796,"AT1G75780"
"516",516,"AT1G50510"
"134",134,"AT1G08657"
"2200",2200,"AT4G14430"
"513",513,"AT1G50410"
"1653",1653,"AT3G16230"
"890",890,"AT2G01830"
"685",685,"AT1G68230"
"2069",2069,"AT4G00270"
"1792",1792,"AT3G27610"
"2460",2460,"AT4G32870"
"3250",3250,"AT5G59210"
"562",562,"AT1G55080"
"122",122,"AT1G08210"
"1170",1170,"AT2G31740"
"2252",2252,"AT4G17620"
"2984",2984,"AT5G38200"
"2648",2648,"AT5G05600"
"1922",1922,"AT3G52480"
"1322",1322,"AT2G43070"
"1961",1961,"AT3G55340"
"3137",3137,"AT5G51340"
"1185",1185,"AT2G33450"
"2679",2679,"AT5G07010"
"2931",2931,"AT5G25490"
"589",589,"AT1G58060"
"2671",2671,"AT5G06665"
"2847",2847,"AT5G19000"
"136",136,"AT1G08700"
"1754",1754,"AT3G24530"
"1954",1954,"AT3G55000"
"2408",2408,"AT4G29950"
"648",648,"AT1G64740"
"2644",2644,"AT5G05320"
"364",364,"AT1G27520"
"1912",1912,"AT3G52030"
"319",319,"AT1G23100"
"711",711,"AT1G69770"
"3225",3225,"AT5G57620"
"2851",2851,"AT5G19190"
"3107",3107,"AT5G48600"
"3306",3306,"AT5G63140"
"1190",1190,"AT2G34190"
"1010",1010,"AT2G19180"
"2027",2027,"AT3G60480"
"3373",3373,"AT5G66490"
"2827",2827,"AT5G17160"
"732",732,"AT1G71270"
"37",37,"AT1G03280"
"720",720,"AT1G70480"
"310",310,"AT1G22885"
"1057",1057,"AT2G22330"
"1806",1806,"AT3G28910"
"3131",3131,"AT5G50660"
"2430",2430,"AT4G31110"
"1987",1987,"AT3G57520"
"3022",3022,"AT5G41770"
"3150",3150,"AT5G52210"
"2930",2930,"AT5G25475"
"1344",1344,"AT2G44660"
"534",534,"AT1G52750"
"2316",2316,"AT4G23570"
"1695",1695,"AT3G19660"
"839",839,"AT1G79180"
"853",853,"AT1G80050"
"2250",2250,"AT4G17490"
"1443",1443,"AT3G03880"
"3204",3204,"AT5G56610"
