"","phyD_FLT_c1.which.mclass....5...1."
"1","AT1G01695"
"2","AT1G02813"
"3","AT1G04380"
"4","AT1G04500"
"5","AT1G04580"
"6","AT1G04817"
"7","AT1G05013"
"8","AT1G05383"
"9","AT1G05990"
"10","AT1G06135"
"11","AT1G06170"
"12","AT1G06350"
"13","AT1G06487"
"14","AT1G06613"
"15","AT1G06830"
"16","AT1G07023"
"17","AT1G07340"
"18","AT1G07476"
"19","AT1G07493"
"20","AT1G07500"
"21","AT1G07887"
"22","AT1G07987"
"23","AT1G08093"
"24","AT1G08457"
"25","AT1G08567"
"26","AT1G08810"
"27","AT1G09513"
"28","AT1G09573"
"29","AT1G09773"
"30","AT1G09853"
"31","AT1G10010"
"32","AT1G10385"
"33","AT1G10640"
"34","AT1G10680"
"35","AT1G10747"
"36","AT1G11470"
"37","AT1G11510"
"38","AT1G11560"
"39","AT1G12294"
"40","AT1G12672"
"41","AT1G13230"
"42","AT1G13490"
"43","AT1G15015"
"44","AT1G15600"
"45","AT1G15680"
"46","AT1G15840"
"47","AT1G16750"
"48","AT1G17310"
"49","AT1G17700"
"50","AT1G18870"
"51","AT1G18960"
"52","AT1G19390"
"53","AT1G19890"
"54","AT1G20590"
"55","AT1G20990"
"56","AT1G21890"
"57","AT1G22250"
"58","AT1G22380"
"59","AT1G22590"
"60","AT1G22670"
"61","AT1G23520"
"62","AT1G24260"
"63","AT1G25988"
"64","AT1G26510"
"65","AT1G26762"
"66","AT1G27565"
"67","AT1G27570"
"68","AT1G27580"
"69","AT1G27820"
"70","AT1G28010"
"71","AT1G28170"
"72","AT1G30135"
"73","AT1G30920"
"74","AT1G30950"
"75","AT1G31960"
"76","AT1G32060"
"77","AT1G32570"
"78","AT1G32960"
"79","AT1G33670"
"80","AT1G35617"
"81","AT1G36580"
"82","AT1G42560"
"83","AT1G44542"
"84","AT1G44575"
"85","AT1G45010"
"86","AT1G45191"
"87","AT1G45616"
"88","AT1G46984"
"89","AT1G47790"
"90","AT1G47920"
"91","AT1G48180"
"92","AT1G48800"
"93","AT1G49330"
"94","AT1G51538"
"95","AT1G51670"
"96","AT1G51913"
"97","AT1G51990"
"98","AT1G52440"
"99","AT1G53540"
"100","AT1G54560"
"101","AT1G54760"
"102","AT1G54930"
"103","AT1G55600"
"104","AT1G56510"
"105","AT1G57770"
"106","AT1G57943"
"107","AT1G60270"
"108","AT1G60720"
"109","AT1G60760"
"110","AT1G61710"
"111","AT1G62190"
"112","AT1G62333"
"113","AT1G62886"
"114","AT1G63070"
"115","AT1G63320"
"116","AT1G63340"
"117","AT1G63540"
"118","AT1G64130"
"119","AT1G64260"
"120","AT1G65200"
"121","AT1G65480"
"122","AT1G65800"
"123","AT1G66360"
"124","AT1G66420"
"125","AT1G66910"
"126","AT1G66920"
"127","AT1G66950"
"128","AT1G66960"
"129","AT1G67220"
"130","AT1G67540"
"131","AT1G67623"
