"","X","phyD_GC_c1.which.mclass....6...1."
"1975",1975,"AT4G09870"
"1203",1203,"AT2G44020"
"1887",1887,"AT4G00480"
"1455",1455,"AT3G15160"
"415",415,"AT1G45207"
"206",206,"AT1G16650"
"394",394,"AT1G34360"
"1198",1198,"AT2G43370"
"8",8,"AT1G01580"
"1888",1888,"AT4G00500"
"2326",2326,"AT5G01450"
"2263",2263,"AT4G35240"
"2512",2512,"AT5G14950"
"1285",1285,"AT3G03060"
"1244",1244,"AT2G47590"
"1640",1640,"AT3G42660"
"2917",2917,"AT5G58450"
"1984",1984,"AT4G10570"
"1659",1659,"AT3G45230"
"807",807,"AT2G02910"
"597",597,"AT1G64390"
"237",237,"AT1G18660"
"2480",2480,"AT5G12930"
"2855",2855,"AT5G52560"
"2678",2678,"AT5G36950"
"503",503,"AT1G54310"
"1075",1075,"AT2G34970"
"3041",3041,"ATCG00810"
"1364",1364,"AT3G08960"
"1681",1681,"AT3G47940"
"2914",2914,"AT5G58370"
"216",216,"AT1G17330"
"2887",2887,"AT5G56000"
"2862",2862,"AT5G53340"
"4",4,"AT1G01370"
"1109",1109,"AT2G37585"
"34",34,"AT1G04130"
"2816",2816,"AT5G49945"
"1578",1578,"AT3G24530"
"669",669,"AT1G71100"
"2968",2968,"AT5G63040"
"679",679,"AT1G71750"
"2601",2601,"AT5G22400"
"2663",2663,"AT5G29000"
"1880",1880,"AT4G00060"
"1719",1719,"AT3G51740"
"1416",1416,"AT3G12930"
"2106",2106,"AT4G21470"
"2397",2397,"AT5G06590"
"498",498,"AT1G54090"
"1738",1738,"AT3G52660"
"866",866,"AT2G16230"
"2709",2709,"AT5G41070"
"1564",1564,"AT3G22750"
"2475",2475,"AT5G12260"
"7",7,"AT1G01540"
"1323",1323,"AT3G05940"
"672",672,"AT1G71210"
"1629",1629,"AT3G28956"
"3049",3049,"ATMG00410"
"624",624,"AT1G67170"
"1663",1663,"AT3G45620"
"684",684,"AT1G72420"
"1269",1269,"AT3G01995"
"2580",2580,"AT5G20040"
"1834",1834,"AT3G59820"
