"","phyD_GC_c1.which.mclass....7...1."
"1","AT1G02160"
"2","AT1G02816"
"3","AT1G02850"
"4","AT1G03210"
"5","AT1G03230"
"6","AT1G03330"
"7","AT1G03410"
"8","AT1G04140"
"9","AT1G04170"
"10","AT1G04183"
"11","AT1G04190"
"12","AT1G04340"
"13","AT1G04430"
"14","AT1G04503"
"15","AT1G04630"
"16","AT1G04680"
"17","AT1G05205"
"18","AT1G05720"
"19","AT1G06110"
"20","AT1G06200"
"21","AT1G06390"
"22","AT1G06700"
"23","AT1G07020"
"24","AT1G07070"
"25","AT1G07080"
"26","AT1G07210"
"27","AT1G07360"
"28","AT1G07750"
"29","AT1G07790"
"30","AT1G07830"
"31","AT1G07960"
"32","AT1G08110"
"33","AT1G08580"
"34","AT1G08650"
"35","AT1G09140"
"36","AT1G09270"
"37","AT1G09330"
"38","AT1G09620"
"39","AT1G09660"
"40","AT1G09760"
"41","AT1G09840"
"42","AT1G09970"
"43","AT1G10120"
"44","AT1G10200"
"45","AT1G11360"
"46","AT1G11480"
"47","AT1G11860"
"48","AT1G12010"
"49","AT1G13060"
"50","AT1G13280"
"51","AT1G13380"
"52","AT1G14010"
"53","AT1G14210"
"54","AT1G14610"
"55","AT1G14620"
"56","AT1G14810"
"57","AT1G14830"
"58","AT1G14900"
"59","AT1G15100"
"60","AT1G15210"
"61","AT1G15250"
"62","AT1G15340"
"63","AT1G15370"
"64","AT1G15420"
"65","AT1G15500"
"66","AT1G15750"
"67","AT1G16000"
"68","AT1G16350"
"69","AT1G16470"
"70","AT1G16560"
"71","AT1G16740"
"72","AT1G16880"
"73","AT1G17290"
"74","AT1G17370"
"75","AT1G17470"
"76","AT1G17890"
"77","AT1G18070"
"78","AT1G18450"
"79","AT1G18640"
"80","AT1G18800"
"81","AT1G18880"
"82","AT1G19120"
"83","AT1G19130"
"84","AT1G19350"
"85","AT1G19360"
"86","AT1G19835"
"87","AT1G19870"
"88","AT1G19920"
"89","AT1G20100"
"90","AT1G20200"
"91","AT1G20220"
"92","AT1G20260"
"93","AT1G20430"
"94","AT1G20450"
"95","AT1G20840"
"96","AT1G20950"
"97","AT1G20960"
"98","AT1G21090"
"99","AT1G21190"
"100","AT1G22520"
"101","AT1G22530"
"102","AT1G22880"
"103","AT1G22885"
"104","AT1G23190"
"105","AT1G23280"
"106","AT1G23400"
"107","AT1G23410"
"108","AT1G23860"
"109","AT1G24881"
"110","AT1G25490"
"111","AT1G25530"
"112","AT1G26470"
"113","AT1G26665"
"114","AT1G26750"
"115","AT1G27090"
"116","AT1G28250"
"117","AT1G28400"
"118","AT1G29150"
"119","AT1G29310"
"120","AT1G29350"
"121","AT1G29370"
"122","AT1G29418"
"123","AT1G29900"
"124","AT1G29990"
"125","AT1G30360"
"126","AT1G30440"
"127","AT1G30510"
"128","AT1G30820"
"129","AT1G30970"
"130","AT1G31850"
"131","AT1G31860"
"132","AT1G32100"
"133","AT1G32400"
"134","AT1G32580"
"135","AT1G33800"
"136","AT1G34418"
"137","AT1G36050"
"138","AT1G36060"
"139","AT1G37130"
"140","AT1G43190"
"141","AT1G43890"
"142","AT1G47278"
"143","AT1G47395"
"144","AT1G47400"
"145","AT1G47490"
"146","AT1G47670"
"147","AT1G47740"
"148","AT1G47830"
"149","AT1G48160"
"150","AT1G48200"
"151","AT1G48410"
"152","AT1G48440"
"153","AT1G48850"
"154","AT1G49300"
"155","AT1G49470"
"156","AT1G49480"
"157","AT1G50050"
"158","AT1G50200"
"159","AT1G50640"
"160","AT1G51160"
"161","AT1G51730"
"162","AT1G52060"
"163","AT1G52380"
"164","AT1G52600"
"165","AT1G52670"
"166","AT1G52710"
"167","AT1G52910"
"168","AT1G53310"
"169","AT1G53320"
"170","AT1G53760"
"171","AT1G53850"
"172","AT1G53910"
"173","AT1G54030"
"174","AT1G54320"
"175","AT1G55160"
"176","AT1G55210"
"177","AT1G55840"
"178","AT1G56680"
"179","AT1G57620"
"180","AT1G57680"
"181","AT1G58080"
"182","AT1G59610"
