"","WS_c1.which.mclass....4...1."
"1","AT1G01150"
"2","AT1G01420"
"3","AT1G01680"
"4","AT1G02205"
"5","AT1G02470"
"6","AT1G02820"
"7","AT1G03170"
"8","AT1G03502"
"9","AT1G03506"
"10","AT1G03743"
"11","AT1G03746"
"12","AT1G03790"
"13","AT1G04037"
"14","AT1G04083"
"15","AT1G04187"
"16","AT1G04193"
"17","AT1G04223"
"18","AT1G04227"
"19","AT1G04303"
"20","AT1G04363"
"21","AT1G04403"
"22","AT1G04427"
"23","AT1G04467"
"24","AT1G04493"
"25","AT1G04507"
"26","AT1G04523"
"27","AT1G04533"
"28","AT1G04567"
"29","AT1G04643"
"30","AT1G04817"
"31","AT1G04913"
"32","AT1G05013"
"33","AT1G05083"
"34","AT1G05103"
"35","AT1G05207"
"36","AT1G05243"
"37","AT1G05247"
"38","AT1G05353"
"39","AT1G05383"
"40","AT1G05417"
"41","AT1G05423"
"42","AT1G05493"
"43","AT1G05510"
"44","AT1G05550"
"45","AT1G05675"
"46","AT1G05703"
"47","AT1G05727"
"48","AT1G05747"
"49","AT1G05757"
"50","AT1G05783"
"51","AT1G05917"
"52","AT1G05927"
"53","AT1G05990"
"54","AT1G05993"
"55","AT1G06020"
"56","AT1G06100"
"57","AT1G06148"
"58","AT1G06170"
"59","AT1G06217"
"60","AT1G06243"
"61","AT1G06457"
"62","AT1G06487"
"63","AT1G06537"
"64","AT1G06583"
"65","AT1G06613"
"66","AT1G06645"
"67","AT1G06717"
"68","AT1G06773"
"69","AT1G07023"
"70","AT1G07267"
"71","AT1G07287"
"72","AT1G07323"
"73","AT1G07340"
"74","AT1G07430"
"75","AT1G07476"
"76","AT1G07500"
"77","AT1G07653"
"78","AT1G07663"
"79","AT1G07697"
"80","AT1G07743"
"81","AT1G07823"
"82","AT1G07850"
"83","AT1G07853"
"84","AT1G07900"
"85","AT1G07943"
"86","AT1G07963"
"87","AT1G07987"
"88","AT1G08005"
"89","AT1G08090"
"90","AT1G08093"
"91","AT1G08115"
"92","AT1G08213"
"93","AT1G08217"
"94","AT1G08273"
"95","AT1G08440"
"96","AT1G08557"
"97","AT1G08567"
"98","AT1G08573"
"99","AT1G08643"
"100","AT1G08847"
"101","AT1G08853"
"102","AT1G08857"
"103","AT1G08867"
"104","AT1G08937"
"105","AT1G09067"
"106","AT1G09080"
"107","AT1G09127"
"108","AT1G09157"
"109","AT1G09163"
"110","AT1G09260"
"111","AT1G09267"
"112","AT1G09317"
"113","AT1G09473"
"114","AT1G09500"
"115","AT1G09510"
"116","AT1G09513"
"117","AT1G09527"
"118","AT1G09537"
"119","AT1G09557"
"120","AT1G09603"
"121","AT1G09607"
"122","AT1G09757"
"123","AT1G09777"
"124","AT1G09823"
"125","AT1G10000"
"126","AT1G10010"
"127","AT1G10640"
"128","AT1G10747"
"129","AT1G11362"
"130","AT1G11470"
"131","AT1G11600"
"132","AT1G12294"
"133","AT1G12610"
"134","AT1G12663"
"135","AT1G13490"
"136","AT1G13608"
"137","AT1G15125"
"138","AT1G15610"
"139","AT1G15620"
"140","AT1G15680"
"141","AT1G15840"
"142","AT1G15885"
"143","AT1G15890"
"144","AT1G16230"
"145","AT1G16260"
"146","AT1G16910"
"147","AT1G17600"
"148","AT1G17610"
"149","AT1G17810"
"150","AT1G18197"
"151","AT1G18310"
"152","AT1G18530"
"153","AT1G19070"
"154","AT1G19373"
"155","AT1G19390"
"156","AT1G19394"
"157","AT1G20925"
"158","AT1G21500"
"159","AT1G21860"
"160","AT1G22000"
"161","AT1G22080"
"162","AT1G22290"
"163","AT1G22480"
"164","AT1G22680"
"165","AT1G23201"
"166","AT1G23520"
"167","AT1G23950"
"168","AT1G23960"
"169","AT1G24000"
"170","AT1G24020"
"171","AT1G24480"
"172","AT1G24485"
"173","AT1G24545"
"174","AT1G24577"
"175","AT1G24800"
"176","AT1G24851"
"177","AT1G24880"
"178","AT1G24881"
