"","col_c1.which.mclass....8...1."
"1","AT1G01130"
"2","AT1G01200"
"3","AT1G01340"
"4","AT1G01380"
"5","AT1G01480"
"6","AT1G01700"
"7","AT1G01810"
"8","AT1G01880"
"9","AT1G01900"
"10","AT1G02030"
"11","AT1G02310"
"12","AT1G02350"
"13","AT1G02380"
"14","AT1G02400"
"15","AT1G02530"
"16","AT1G02570"
"17","AT1G02580"
"18","AT1G02660"
"19","AT1G02670"
"20","AT1G02705"
"21","AT1G03070"
"22","AT1G03200"
"23","AT1G03240"
"24","AT1G03300"
"25","AT1G03495"
"26","AT1G03510"
"27","AT1G03540"
"28","AT1G03545"
"29","AT1G03600"
"30","AT1G03620"
"31","AT1G03790"
"32","AT1G03800"
"33","AT1G03940"
"34","AT1G03980"
"35","AT1G03990"
"36","AT1G03993"
"37","AT1G04007"
"38","AT1G04067"
"39","AT1G04150"
"40","AT1G04163"
"41","AT1G04247"
"42","AT1G04330"
"43","AT1G04477"
"44","AT1G04487"
"45","AT1G04600"
"46","AT1G04620"
"47","AT1G04700"
"48","AT1G04733"
"49","AT1G04767"
"50","AT1G04778"
"51","AT1G04823"
"52","AT1G04873"
"53","AT1G04880"
"54","AT1G04917"
"55","AT1G05033"
"56","AT1G05065"
"57","AT1G05087"
"58","AT1G05100"
"59","AT1G05200"
"60","AT1G05240"
"61","AT1G05267"
"62","AT1G05273"
"63","AT1G05277"
"64","AT1G05287"
"65","AT1G05333"
"66","AT1G05400"
"67","AT1G05420"
"68","AT1G05453"
"69","AT1G05577"
"70","AT1G05610"
"71","AT1G05773"
"72","AT1G05820"
"73","AT1G05843"
"74","AT1G05894"
"75","AT1G05973"
"76","AT1G06045"
"77","AT1G06080"
"78","AT1G06083"
"79","AT1G06113"
"80","AT1G06160"
"81","AT1G06163"
"82","AT1G06213"
"83","AT1G06265"
"84","AT1G06320"
"85","AT1G06357"
"86","AT1G06463"
"87","AT1G06520"
"88","AT1G06643"
"89","AT1G06647"
"90","AT1G06680"
"91","AT1G06690"
"92","AT1G06990"
"93","AT1G07120"
"94","AT1G07150"
"95","AT1G07160"
"96","AT1G07187"
"97","AT1G07390"
"98","AT1G07407"
"99","AT1G07513"
"100","AT1G07567"
"101","AT1G07620"
"102","AT1G07667"
"103","AT1G07737"
"104","AT1G07753"
"105","AT1G07813"
"106","AT1G07897"
"107","AT1G07903"
"108","AT1G08070"
"109","AT1G08173"
"110","AT1G08213"
"111","AT1G08217"
"112","AT1G08290"
"113","AT1G08300"
"114","AT1G08310"
"115","AT1G08317"
"116","AT1G08463"
"117","AT1G08507"
"118","AT1G08630"
"119","AT1G08723"
"120","AT1G08730"
"121","AT1G08753"
"122","AT1G08973"
"123","AT1G08980"
"124","AT1G09155"
"125","AT1G09170"
"126","AT1G09220"
"127","AT1G09327"
"128","AT1G09383"
"129","AT1G09410"
"130","AT1G09415"
"131","AT1G09420"
"132","AT1G09443"
"133","AT1G09480"
"134","AT1G09487"
"135","AT1G09493"
"136","AT1G09497"
"137","AT1G09523"
"138","AT1G09533"
"139","AT1G09543"
"140","AT1G09617"
"141","AT1G09650"
"142","AT1G09673"
"143","AT1G09697"
"144","AT1G09812"
"145","AT1G09833"
"146","AT1G09860"
"147","AT1G09880"
"148","AT1G09913"
"149","AT1G09963"
"150","AT1G09993"
"151","AT1G10000"
"152","AT1G10095"
"153","AT1G10110"
"154","AT1G10220"
"155","AT1G10300"
"156","AT1G10330"
"157","AT1G10360"
"158","AT1G10370"
"159","AT1G10417"
"160","AT1G10657"
"161","AT1G10770"
"162","AT1G10800"
"163","AT1G10920"
"164","AT1G11070"
"165","AT1G11290"
"166","AT1G11330"
"167","AT1G11460"
"168","AT1G11490"
"169","AT1G11500"
"170","AT1G11655"
"171","AT1G11700"
"172","AT1G11730"
"173","AT1G12030"
"174","AT1G12060"
"175","AT1G12130"
"176","AT1G12220"
"177","AT1G12280"
"178","AT1G12480"
"179","AT1G12550"
"180","AT1G12610"
"181","AT1G12700"
"182","AT1G12890"
"183","AT1G12950"
"184","AT1G13090"
"185","AT1G13130"
"186","AT1G13140"
"187","AT1G13150"
"188","AT1G13340"
"189","AT1G13510"
"190","AT1G13520"
"191","AT1G13630"
"192","AT1G13680"
"193","AT1G14030"
"194","AT1G14150"
"195","AT1G14185"
"196","AT1G14205"
"197","AT1G14270"
"198","AT1G14345"
"199","AT1G14430"
"200","AT1G14455"
"201","AT1G14470"
"202","AT1G14490"
"203","AT1G14500"
"204","AT1G14520"
"205","AT1G14680"
"206","AT1G14686"
"207","AT1G14700"
"208","AT1G14750"
"209","AT1G15160"
"210","AT1G15165"
"211","AT1G15190"
"212","AT1G15510"
"213","AT1G15520"
"214","AT1G16025"
"215","AT1G16130"
"216","AT1G16225"
"217","AT1G16260"
"218","AT1G16360"
"219","AT1G16420"
"220","AT1G16440"
"221","AT1G16510"
"222","AT1G16515"
"223","AT1G16640"
"224","AT1G16720"
"225","AT1G16780"
"226","AT1G16850"
"227","AT1G17020"
"228","AT1G17100"
"229","AT1G17235"
"230","AT1G17240"
"231","AT1G17250"
"232","AT1G17630"
"233","AT1G17950"
"234","AT1G18000"
"235","AT1G18075"
"236","AT1G18280"
"237","AT1G18485"
"238","AT1G18750"
"239","AT1G18835"
"240","AT1G19200"
"241","AT1G19330"
"242","AT1G19380"
"243","AT1G19394"
"244","AT1G19610"
"245","AT1G19650"
"246","AT1G19715"
"247","AT1G19720"
"248","AT1G19940"
"249","AT1G20230"
"250","AT1G20340"
"251","AT1G20515"
"252","AT1G20520"
"253","AT1G20570"
"254","AT1G21210"
"255","AT1G21320"
"256","AT1G21326"
"257","AT1G21510"
"258","AT1G21530"
"259","AT1G21695"
"260","AT1G21890"
"261","AT1G22340"
"262","AT1G22430"
"263","AT1G22490"
"264","AT1G22650"
"265","AT1G22810"
"266","AT1G23201"
"267","AT1G23350"
"268","AT1G23465"
"269","AT1G23550"
"270","AT1G23985"
"271","AT1G24068"
"272","AT1G24140"
"273","AT1G24210"
"274","AT1G24405"
"275","AT1G24430"
"276","AT1G24480"
"277","AT1G24735"
"278","AT1G24851"
"279","AT1G25370"
"280","AT1G25400"
"281","AT1G25425"
"282","AT1G26200"
"283","AT1G26220"
"284","AT1G26290"
"285","AT1G26360"
"286","AT1G26500"
"287","AT1G26570"
"288","AT1G26590"
