"","TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Log2fc_.leaf_FLT.v.leaf_GC.","Log2fc_.leaf_FLT.v.root_FLT.","Log2fc_.leaf_FLT.v.root_GC.","Log2fc_.leaf_GC.v.root_FLT.","Log2fc_.leaf_GC.v.root_GC.","Log2fc_.root_FLT.v.root_GC.","Log2fc_.leaf_GC.v.leaf_FLT.","Log2fc_.root_FLT.v.leaf_FLT.","Log2fc_.root_GC.v.leaf_FLT.","Log2fc_.root_FLT.v.leaf_GC.","Log2fc_.root_GC.v.leaf_GC.","Log2fc_.root_GC.v.root_FLT."
"1","AT1G01010","ANAC001",NA,"NM_099983",839580,"3702.AT1G01010.1",NA,-1.714828122,0.141624456,-1.699198104,1.856452578,0.015630018,-1.84082256,1.714828122,-0.141624456,1.699198104,-1.856452578,-0.015630018,1.84082256
"2","AT1G01020","ARV1",NA,"NM_001035846",839569,"3702.AT1G01020.1","GO:0005622, GO:0005737, GO:0005783, GO:0005794, GO:0006629, GO:0006807, GO:0006810, GO:0006869, GO:0008152, GO:0008202, GO:0009987, GO:0016043, GO:0043226, GO:0044238, GO:0044464, GO:0051179, GO:0065007, GO:0071840",0.346837864,0.211373828,0.421110426,-0.135464037,0.074272561,0.209736598,-0.346837864,-0.211373828,-0.421110426,0.135464037,-0.074272561,-0.209736598
"3","AT1G01070","UMAMIT28",NA,"NM_099989",839550,"3702.AT1G01070.1","GO:0005215, GO:0005886, GO:0006810, GO:0009987, GO:0016020, GO:0022857, GO:0044464, GO:0051179",-0.697141554,-0.447401515,-0.204952771,0.249740039,0.492188783,0.242448744,0.697141554,0.447401515,0.204952771,-0.249740039,-0.492188783,-0.242448744
"4","AT1G01080",NA,NA,"NM_001035848",839463,NA,"",3.564926866,0.008079732,3.6677889,-3.556847133,0.102862035,3.659709168,-3.564926866,-0.008079732,-3.6677889,3.556847133,-0.102862035,-3.659709168
"5","AT1G01110","IQD18",NA,"NM_001123732",839394,"3702.AT1G01110.2",NA,-0.815693153,0.445781375,-0.836414829,1.261474528,-0.020721676,-1.282196204,0.815693153,-0.445781375,0.836414829,-1.261474528,0.020721676,1.282196204
"6","AT1G01160","GIF2","Arabidopsis thaliana GRF1-interacting factor 2 (GIF2) mRNA","NM_001160826",839278,"3702.AT1G01160.2","GO:0003676, GO:0003682, GO:0005488, GO:0006139, GO:0006325, GO:0006996, GO:0008152, GO:0009987, GO:0016043, GO:0044238, GO:0071840",0.213133746,0.238689034,0.271998261,0.025555288,0.058864515,0.033309227,-0.213133746,-0.238689034,-0.271998261,-0.025555288,-0.058864515,-0.033309227
"7","AT1G01180",NA,NA,"NM_100000",839239,NA,"GO:0003824, GO:0008152, GO:0008168, GO:0016740",0.345162949,0.605916393,0.289532762,0.260753443,-0.055630187,-0.316383631,-0.345162949,-0.605916393,-0.289532762,-0.260753443,0.055630187,0.316383631
"8","AT1G01210",NA,NA,"NM_001331254",839481,NA,"GO:0003824, GO:0003899, GO:0005622, GO:0006139, GO:0006807, GO:0008152, GO:0009058, GO:0009987, GO:0016070, GO:0016740, GO:0016779, GO:0032991, GO:0043234, GO:0044238, GO:0044464",-0.094486718,-0.441643243,-0.033740914,-0.347156525,0.060745804,0.407902329,0.094486718,0.441643243,0.033740914,0.347156525,-0.060745804,-0.407902329
"9","AT1G01240",NA,NA,"NM_001331263",839274,NA,NA,-0.64944143,0.118498468,-0.22157939,0.767939898,0.42786204,-0.340077858,0.64944143,-0.118498468,0.22157939,-0.767939898,-0.42786204,0.340077858
"10","AT1G01290","CNX3","COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli MoaC. Expression is low in all tissues examined, except in roots. Appears to have targeting signals for chloroplast or mitochondria","NM_001160827",839445,"3702.AT1G01290.1",NA,0.221458641,-0.060546002,0.2595126,-0.282004644,0.038053959,0.320058603,-0.221458641,0.060546002,-0.2595126,0.282004644,-0.038053959,-0.320058603
"11","AT1G01350",NA,NA,"NM_100017",838964,NA,"GO:0000375, GO:0000398, GO:0005622, GO:0005634, GO:0006139, GO:0006397, GO:0006807, GO:0008152, GO:0008380, GO:0009987, GO:0016070, GO:0030529, GO:0032991, GO:0043226, GO:0044238, GO:0044464",-0.410781262,-0.292593933,-0.356673268,0.118187328,0.054107994,-0.064079335,0.410781262,0.292593933,0.356673268,-0.118187328,-0.054107994,0.064079335
"12","AT1G01440",NA,NA,"NM_100026",837155,NA,NA,0.689384377,0.217626231,0.652520476,-0.471758146,-0.036863901,0.434894245,-0.689384377,-0.217626231,-0.652520476,0.471758146,0.036863901,-0.434894245
"13","AT1G01448",NA,NA,NA,NA,NA,"",0.30507264,0.195682774,0.671048944,-0.109389867,0.365976304,0.475366171,-0.30507264,-0.195682774,-0.671048944,0.109389867,-0.365976304,-0.475366171
"14","AT1G01600","CYP86A4","Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers.","NM_100042",839347,"3702.AT1G01600.1","GO:0003824, GO:0006091, GO:0006629, GO:0008152, GO:0008202, GO:0016491, GO:0022904, GO:0044238",-0.001531331,-0.373436614,-0.159043241,-0.371905283,-0.15751191,0.214393373,0.001531331,0.373436614,0.159043241,0.371905283,0.15751191,-0.214393373
"15","AT1G01640",NA,"Putative role in flower development.  Comparison of SALK_011721C to Columbia wild type resulted in a trend toward earlier flowering in the mutant (P=0.1) (Stapleton and Woodruff 2009, personal communication).","NM_001331285",839534,NA,"GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006464, GO:0006508, GO:0008152, GO:0009056, GO:0009987, GO:0019538, GO:0032991, GO:0043234, GO:0044238, GO:0044464, GO:0050789, GO:0065007",-2.694681887,0.906073283,-2.385863255,3.60075517,0.308818632,-3.291936538,2.694681887,-0.906073283,2.385863255,-3.60075517,-0.308818632,3.291936538
"16","AT1G01730",NA,NA,"NM_100056",839260,NA,NA,-0.642320612,0.124408758,-0.478603933,0.76672937,0.163716679,-0.603012692,0.642320612,-0.124408758,0.478603933,-0.76672937,-0.163716679,0.603012692
"17","AT1G01750","ADF11",NA,"NM_001331303",839281,"3702.AT1G01750.1","GO:0003779, GO:0005198, GO:0005200, GO:0005488, GO:0005515, GO:0005622, GO:0005856, GO:0006461, GO:0008092, GO:0008152, GO:0009987, GO:0015629, GO:0016043, GO:0019538, GO:0032502, GO:0032989, GO:0044238, GO:0043226, GO:0044085, GO:0044464, GO:0070271, GO:0071840",-5.535229777,-0.446169191,-5.780204664,5.089060586,-0.244974887,-5.334035473,5.535229777,0.446169191,5.780204664,-5.089060586,0.244974887,5.334035473
"18","AT1G01770",NA,NA,"NM_100060",837323,NA,NA,0.879299628,0.22495132,1.055536256,-0.654348308,0.176236628,0.830584936,-0.879299628,-0.22495132,-1.055536256,0.654348308,-0.176236628,-0.830584936
"19","AT1G01780","PLIM2b",NA,"NM_100061",839267,NA,"GO:0005198, GO:0005200, GO:0005622, GO:0005856, GO:0006928, GO:0009987, GO:0015629, GO:0016043, GO:0043226, GO:0044464, GO:0071840",-1.006605808,0.092876454,-1.132870579,1.099482262,-0.126264771,-1.225747033,1.006605808,-0.092876454,1.132870579,-1.099482262,0.126264771,1.225747033
"20","AT1G01830",NA,NA,"NM_001083974",839264,NA,"GO:0005622, GO:0005634, GO:0005737, GO:0043226, GO:0044464",0.420822061,-0.262856529,0.473124753,-0.68367859,0.052302691,0.735981281,-0.420822061,0.262856529,-0.473124753,0.68367859,-0.052302691,-0.735981281
"21","AT1G01930",NA,NA,"NM_100073",839310,NA,"GO:0003824, GO:0005622, GO:0005737, GO:0005739, GO:0006508, GO:0006950, GO:0008152, GO:0008233, GO:0008234, GO:0009056, GO:0009987, GO:0016020, GO:0016787, GO:0019538, GO:0032991, GO:0043226, GO:0043234, GO:0044238, GO:0044464, GO:0050896",0.598209292,0.009639367,0.413036877,-0.588569925,-0.185172415,0.403397509,-0.598209292,-0.009639367,-0.413036877,0.588569925,0.185172415,-0.403397509
"22","AT1G01940",NA,NA,"NM_100074",839309,NA,"GO:0003824, GO:0006464, GO:0008152, GO:0009987, GO:0016853, GO:0019538, GO:0044238, NA",-0.139249457,-0.010359613,-0.022578867,0.128889845,0.11667059,-0.012219254,0.139249457,0.010359613,0.022578867,-0.128889845,-0.11667059,0.012219254
"23","AT1G01990",NA,NA,"NM_100079",837456,NA,"",-0.066187019,-0.157645699,0.168480346,-0.09145868,0.234667365,0.326126045,0.066187019,0.157645699,-0.168480346,0.09145868,-0.234667365,-0.326126045
"24","AT1G02010","SEC1A","member of KEULE Gene Family","NM_001197959",839288,"3702.AT1G02010.1","GO:0005215, GO:0006810, GO:0006886, GO:0006887, GO:0007041, GO:0007154, GO:0007267, GO:0009987, GO:0015031, GO:0016192, GO:0022857, GO:0051179",0.369089957,-0.330736287,0.451854781,-0.699826244,0.082764824,0.782591068,-0.369089957,0.330736287,-0.451854781,0.699826244,-0.082764824,-0.782591068
