TAIR,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS,Log2fc_.leaf_FLT.v.leaf_GC.,Log2fc_.leaf_FLT.v.root_FLT.,Log2fc_.leaf_FLT.v.root_GC.,Log2fc_.leaf_GC.v.root_FLT.,Log2fc_.leaf_GC.v.root_GC.,Log2fc_.root_FLT.v.root_GC.,Log2fc_.leaf_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G01170,NA,NA,NM_001035849,839263,NA,NA,2.596380096,-0.015925639,3.092007018,-2.612305736,0.495626922,3.107932658,-2.596380096,0.015925639,-3.092007018,2.612305736,-0.495626922,-3.107932658
AT1G01220,AtFKGP,Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.,NM_001331256,839420,NA,NA,0.14713087,-0.109457158,0.227763625,-0.256588028,0.080632755,0.337220783,-0.14713087,0.109457158,-0.227763625,0.256588028,-0.080632755,-0.337220783
AT1G01230,NA,NA,NM_100006,839331,NA,"GO:0005622, GO:0005737, GO:0005783, GO:0006629, GO:0006807, GO:0008152, GO:0009058, GO:0009987, GO:0016020, GO:0032991, GO:0042175, GO:0042592, GO:0043226, GO:0043234, GO:0044085, GO:0044238, GO:0044464, GO:0050789, GO:0065007, GO:0071840",-0.124337756,0.024100748,-0.046223091,0.148438504,0.078114664,-0.070323839,0.124337756,-0.024100748,0.046223091,-0.148438504,-0.078114664,0.070323839
AT1G01430,TBL25,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).",NM_100025,837247,3702.AT1G01430.1,"GO:0003824, GO:0005622, GO:0005737, GO:0005794, GO:0008152, GO:0009987, GO:0016407, GO:0016740, GO:0016746, GO:0043226, GO:0044464, GO:0071840",0.811037431,-0.154474109,0.896499289,-0.96551154,0.085461858,1.050973398,-0.811037431,0.154474109,-0.896499289,0.96551154,-0.085461858,-1.050973398
AT1G01470,LEA14,Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against dessication.,NM_100029,837071,3702.AT1G01470.1,NA,-0.182645855,-0.281152954,-0.124586351,-0.098507099,0.058059504,0.156566603,0.182645855,0.281152954,0.124586351,0.098507099,-0.058059504,-0.156566603
AT1G01510,AN,Encodes a homolog of human CtBP.  Mutant has longer and thicker leaves than wild type. Involved in controlling polar cell expansion in the leaf width direction.,NM_100033,839401,3702.AT1G01510.1,NA,-0.192124008,0.062479732,-0.187489647,0.25460374,0.004634361,-0.249969379,0.192124008,-0.062479732,0.187489647,-0.25460374,-0.004634361,0.249969379
AT1G01520,ASG4,NA,NM_001331277,839337,3702.AT1G01520.1,"GO:0003676, GO:0003677, GO:0003682, GO:0003700, GO:0003712, GO:0005488, GO:0006139, GO:0006351, GO:0006357, GO:0006366, GO:0008152, GO:0044238, GO:0000988, GO:0000989, GO:0001071, GO:0005515, GO:0016070, GO:0019219, GO:0050789, GO:0065007",4.215594669,-1.70155576,2.860686365,-5.91715043,-1.354908304,4.562242126,-4.215594669,1.70155576,-2.860686365,5.91715043,1.354908304,-4.562242126
AT1G01630,NA,NA,NM_100045,839231,NA,"GO:0003824, GO:0006520, GO:0006521, GO:0008152, GO:0016491, GO:0044238, NA",0.012681821,-0.380799035,-0.204886517,-0.393480855,-0.217568338,0.175912518,-0.012681821,0.380799035,0.204886517,0.393480855,0.217568338,-0.175912518
AT1G01650,ATSPPL4,NA,NM_001035853,839499,3702.AT1G01650.1,"GO:0005622, GO:0005737, GO:0005764, GO:0005773, GO:0005783, GO:0005794, GO:0016020, GO:0016021, GO:0016023, GO:0042175, GO:0043226, GO:0044464, NA",0.547477704,0.00752484,0.708704524,-0.539952864,0.161226821,0.701179685,-0.547477704,-0.00752484,-0.708704524,0.539952864,-0.161226821,-0.701179685
AT1G01710,NA,NA,NM_100053,839254,NA,"GO:0003824, GO:0016787, GO:0016788, GO:0008152",0.272539774,-0.195524744,0.320028341,-0.468064518,0.047488568,0.515553085,-0.272539774,0.195524744,-0.320028341,0.468064518,-0.047488568,-0.515553085
AT1G01720,ANAC002,Belongs to a large family of putative transcriptional activators with NAC domain. Transcript level increases in response to wounding and abscisic acid. ATAF1 attentuates ABA signaling and sythesis. Mutants are hyposensitive to ABA.,NM_100054,839265,3702.AT1G01720.1,NA,0.462100512,-0.022593778,0.363060957,-0.484694291,-0.099039555,0.385654736,-0.462100512,0.022593778,-0.363060957,0.484694291,0.099039555,-0.385654736
AT1G01770,NA,NA,NM_100060,837323,NA,NA,0.879299628,0.22495132,1.055536256,-0.654348308,0.176236628,0.830584936,-0.879299628,-0.22495132,-1.055536256,0.654348308,-0.176236628,-0.830584936
AT1G01820,PEX11C,"member of the peroxin11 (PEX11) gene family, integral to peroxisome membrane, controls peroxisome proliferation.",NM_100065,839257,3702.AT1G01820.1,"GO:0005622, GO:0005737, GO:0005777, GO:0006996, GO:0009987, GO:0016020, GO:0016043, GO:0043226, GO:0044464, GO:0065007, GO:0071840, NA",0.094200913,0.217298944,0.238076405,0.123098031,0.143875492,0.020777461,-0.094200913,-0.217298944,-0.238076405,-0.123098031,-0.143875492,-0.020777461
AT1G01910,NA,NA,NM_001035855,839305,NA,"GO:0003824, GO:0005215, GO:0006810, GO:0006811, GO:0009636, GO:0016787, GO:0016788, GO:0016791, GO:0019204, GO:0022857, GO:0050896, GO:0008152, GO:0051179",0.123812842,-0.028405105,0.069379571,-0.152217948,-0.054433272,0.097784676,-0.123812842,0.028405105,-0.069379571,0.152217948,0.054433272,-0.097784676
AT1G01950,ARK2,Encodes a member of the armadillo/beta-catenin repeat kinesin motor family. Mutants have twisted roots due to abnormal cell file rotation; the phenotype is dependent on microtubules.,NM_001160828,839306,3702.AT1G01950.3,"GO:0003774, GO:0003777, GO:0003824, GO:0005622, GO:0005856, GO:0006139, GO:0006796, GO:0006807, GO:0006928, GO:0008152, GO:0009056, GO:0009987, GO:0016462, GO:0016787, GO:0032991, GO:0043226, GO:0043234, GO:0044238, GO:0044464",-0.101461593,-0.178083206,-0.109011064,-0.076621613,-0.007549471,0.069072142,0.101461593,0.178083206,0.109011064,0.076621613,0.007549471,-0.069072142
AT1G01970,NA,NA,NM_100077,839299,NA,"GO:0003676, GO:0003723, GO:0003824, GO:0004672, GO:0004675, GO:0004872, GO:0005215, GO:0005488, GO:0006464, GO:0006468, GO:0006810, GO:0006886, GO:0008152, GO:0015031, GO:0016301, GO:0016740, GO:0019199, GO:0019538, GO:0022857, GO:0044238, GO:0051179",2.632932537,-0.241217565,2.761335318,-2.874150102,0.12840278,3.002552882,-2.632932537,0.241217565,-2.761335318,2.874150102,-0.12840278,-3.002552882
AT1G02010,SEC1A,member of KEULE Gene Family,NM_001197959,839288,3702.AT1G02010.1,"GO:0005215, GO:0006810, GO:0006886, GO:0006887, GO:0007041, GO:0007154, GO:0007267, GO:0009987, GO:0015031, GO:0016192, GO:0022857, GO:0051179",0.369089957,-0.330736287,0.451854781,-0.699826244,0.082764824,0.782591068,-0.369089957,0.330736287,-0.451854781,0.699826244,-0.082764824,-0.782591068
AT1G02090,ATCSN7,encodes a phosphoprotein that is a subunit of the COP9 signalosome. Mutants exhibit constitutive photomorphogenic phenotype.,NM_100089,839241,3702.AT1G02090.1,"GO:0005622, GO:0005634, GO:0006464, GO:0008152, GO:0009987, GO:0019538, GO:0032991, GO:0043226, GO:0043234, GO:0044238, GO:0044464",-0.248302721,-0.300592954,-0.299227121,-0.052290233,-0.0509244,0.001365833,0.248302721,0.300592954,0.299227121,0.052290233,0.0509244,-0.001365833
