TAIR,SYMBOL,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G04440,CKL13,0.562202341,0.042941761,0.657207239
AT1G04750,AT,0.232513004,-0.102254577,0.511944789
AT1G12360,KEU,0.317194159,0.082991561,0.708560736
AT1G13980,EMB30,0.301451317,-0.000113591,0.534040824
AT1G21900,p24delta5,0.353029872,-0.029597974,0.414782077
AT1G47550,SEC3A,0.06838797,0.056936483,0.161992876
AT1G50500,ATVPS53,0.063309462,0.099697213,0.256688509
AT1G76850,SEC5A,-0.081750428,0.170543144,-0.020326065
AT2G01470,ATSEC12,0.303091307,0.034882418,0.453576777
AT2G06530,VPS2.1,-0.143259972,0.072004599,-0.087424008
AT2G14740,ATVSR3,-0.035450858,0.084451687,0.161638606
AT2G33120,ATVAMP722,-0.017025373,-0.000272368,0.241068131
AT2G37550,AGD7,0.181227634,0.014688324,0.242129436
AT2G40060,CLC2,-0.01275822,-0.093424256,-0.02726015
AT2G44610,ATRAB6A,0.138642728,0.011457114,0.102773951
AT3G01780,TPLATE,0.476651323,0.147649297,0.360090479
AT3G07680,p24beta2,0.247462265,-0.00362354,0.423484044
AT3G09740,ATSYP71,0.124785634,-0.007941758,0.195933752
AT3G18820,ATRAB7B,-0.242892839,-0.039334217,-0.494888589
AT3G19960,ATM1,-0.536733961,-0.135992339,-0.521625597
AT3G46060,ARA-3,0.675948259,0.04244453,0.729499324
AT3G47810,ATVPS29,-0.264996161,-0.098124086,-0.296482025
AT3G51310,VPS35C,0.381958905,0.122845528,0.397893457
AT3G53610,ATRAB8,0.601053729,-0.037569442,0.733712747
AT4G00800,SETH5,0.238828838,0.158198637,0.208924418
AT4G02080,ASAR1,0.141157137,-0.042115503,0.213712604
AT4G02350,SEC15B,0.171737446,0.020314704,0.262486432
AT4G17890,AGD8,0.374693977,0.038226542,0.31907605
AT4G28540,CKL6,0.748320945,-0.015870316,0.851892623
AT4G36630,EMB2754,0.487297417,0.148561501,0.395794599
AT5G03520,ATRAB-E1D,-0.013580319,0.042304063,-0.180857777
AT5G03540,ATEXO70A1,0.007173573,0.033354142,0.240546397
AT5G12370,SEC10,-0.17824759,0.088385659,-0.02933563
AT5G13300,AGD3,-0.006256133,0.020742636,0.028737661
AT5G13530,KEG,0.341790101,0.056997905,0.223369672
AT5G39500,ERMO1,0.743282014,0.14739879,0.433137195
AT5G39510,ATVTI11,0.043211282,-0.055802421,0.145195507
AT5G46630,AP2M,-0.036027923,-0.000595262,0.098750618
AT5G49830,EXO84B,0.065967413,0.055710993,0.220424575
AT5G51430,EYE,0.381588953,0.095515117,0.536481197
AT5G58060,ATGP1,0.054272052,-0.066582728,0.26167876
AT5G66030,ATGRIP,0.157499415,0.040867343,0.281743563
