TAIR,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS,Log2fc_.leaf_FLT.v.leaf_GC.,Log2fc_.leaf_FLT.v.root_FLT.,Log2fc_.leaf_FLT.v.root_GC.,Log2fc_.leaf_GC.v.root_FLT.,Log2fc_.leaf_GC.v.root_GC.,Log2fc_.root_FLT.v.root_GC.,Log2fc_.leaf_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G02010,SEC1A,member of KEULE Gene Family,NM_001197959,839288,3702.AT1G02010.1,"GO:0005215, GO:0006810, GO:0006886, GO:0006887, GO:0007041, GO:0007154, GO:0007267, GO:0009987, GO:0015031, GO:0016192, GO:0022857, GO:0051179",0.369089957,-0.330736287,0.451854781,-0.699826244,0.082764824,0.782591068,-0.369089957,0.330736287,-0.451854781,0.699826244,-0.082764824,-0.782591068
AT1G02130,ARA-5,Belongs to the Rab1 GTPase subfamily. This small GTP-binding protein is required in ER to Golgi transportation.,NM_100093,837023,3702.AT1G02130.1,"GO:0005622, GO:0005737, GO:0005783, GO:0005794, GO:0006810, GO:0009987, GO:0016020, GO:0016192, GO:0042175, GO:0043226, GO:0044464, GO:0051179, NA",-0.25612677,-0.175933198,-0.250071598,0.080193572,0.006055172,-0.0741384,0.25612677,0.175933198,0.250071598,-0.080193572,-0.006055172,0.0741384
AT1G03930,ADK1,"Phosphorylates serine, threonine, and tyrosine",NM_100274,839368,3702.AT3G09820.1,"GO:0003824, GO:0004672, GO:0005622, GO:0005634, GO:0005737, GO:0006464, GO:0006468, GO:0006796, GO:0006810, GO:0006897, GO:0007154, GO:0007165, GO:0007166, GO:0008152, GO:0009653, GO:0009987, GO:0016043, GO:0016192, GO:0016301, GO:0016740, GO:0019538, GO:0032502, GO:0032989, GO:0043226, GO:0044238, GO:0044464, GO:0050789, GO:0050896, GO:0051179, GO:0065007, GO:0071840",0.509438411,-0.169740334,0.508671039,-0.679178745,-0.000767372,0.678411372,-0.509438411,0.169740334,-0.508671039,0.679178745,0.000767372,-0.678411372
AT1G04440,CKL13,NA,NM_100324,839520,3702.AT1G04440.1,"GO:0003824, GO:0004672, GO:0005622, GO:0005634, GO:0005737, GO:0006464, GO:0006468, GO:0006796, GO:0006810, GO:0006897, GO:0007154, GO:0007165, GO:0007166, GO:0008152, GO:0009653, GO:0009987, GO:0016043, GO:0016192, GO:0016301, GO:0016740, GO:0019538, GO:0032502, GO:0032989, GO:0043226, GO:0044238, GO:0044464, GO:0050789, GO:0050896, GO:0051179, GO:0065007, GO:0071840",-0.51926058,0.095004898,-0.562202341,0.614265479,-0.042941761,-0.657207239,0.51926058,-0.095004898,0.562202341,-0.614265479,0.042941761,0.657207239
AT1G05520,NA,NA,NM_100431,837054,NA,"GO:0005083, GO:0005488, GO:0005515, GO:0006810, GO:0006886, GO:0006887, GO:0009987, GO:0015031, GO:0016192, GO:0030234, GO:0003824, GO:0008152, GO:0050790, GO:0051179, GO:0065007, GO:0065009",-0.505713979,-0.005205391,-0.574764354,0.500508589,-0.069050375,-0.569558964,0.505713979,0.005205391,0.574764354,-0.500508589,0.069050375,0.569558964
AT1G07000,ATEXO70B2,"A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.",NM_100573,837210,3702.AT1G07000.1,"GO:0006810, GO:0006886, GO:0015031, GO:0051179",1.024217298,0.916904952,0.877855086,-0.107312347,-0.146362212,-0.039049866,-1.024217298,-0.916904952,-0.877855086,0.107312347,0.146362212,0.039049866
AT1G08560,ATSYP111,member of SYP11 syntaxin Gene Family,NM_100729,837378,3702.AT1G08560.1,"GO:0005484, GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0005886, GO:0006810, GO:0006886, GO:0006887, GO:0006996, GO:0008104, GO:0009987, GO:0015031, GO:0016020, GO:0016021, GO:0016043, GO:0016192, GO:0031201, GO:0032991, GO:0043234, GO:0044464, GO:0051179, GO:0071840",0.414130527,0.28468411,0.266543658,-0.129446417,-0.147586868,-0.018140452,-0.414130527,-0.28468411,-0.266543658,0.129446417,0.147586868,0.018140452
AT1G09330,ECH,NA,NM_001331829,837454,3702.AT1G09330.1,"GO:0005622, GO:0005737, GO:0005794, GO:0006810, GO:0008104, GO:0009987, GO:0015031, GO:0016020, GO:0016021, GO:0016192, GO:0043226, GO:0044464, GO:0051179",-0.389737543,-0.067258183,-0.339625911,0.32247936,0.050111632,-0.272367728,0.389737543,0.067258183,0.339625911,-0.32247936,-0.050111632,0.272367728
AT1G10180,NA,NA,NM_100892,837556,NA,"GO:0005622, GO:0005737, GO:0006461, GO:0006810, GO:0006887, GO:0008104, GO:0009987, GO:0016043, GO:0016192, GO:0032991, GO:0043234, GO:0044085, GO:0044464, GO:0051179, GO:0070271, GO:0071840, GO:0008152, GO:0019538, GO:0044238",-0.469286757,-0.33507087,-0.417060723,0.134215887,0.052226035,-0.081989853,0.469286757,0.33507087,0.417060723,-0.134215887,-0.052226035,0.081989853
AT1G11890,ATSEC22,member of SEC22 Gene Family,NM_101060,837737,3702.AT1G11890.1,"GO:0005484, GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006810, GO:0006887, GO:0006996, GO:0009987, GO:0016020, GO:0016043, GO:0016192, GO:0031201, GO:0032991, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.16015497,-0.215677994,-0.159687687,-0.055523024,0.000467283,0.055990307,0.16015497,0.215677994,0.159687687,0.055523024,-0.000467283,-0.055990307
AT1G12360,KEU,encodes a Sec1 protein and expressed throughout the plant. physically interacts with Syntaxin1 and is required for cytokinesis.,NM_101108,837791,3702.AT1G12360.1,"GO:0005215, GO:0006810, GO:0006886, GO:0006887, GO:0007041, GO:0009987, GO:0015031, GO:0016192, GO:0022857, GO:0051179",-0.234202598,0.391366577,-0.317194159,0.625569176,-0.082991561,-0.708560736,0.234202598,-0.391366577,0.317194159,-0.625569176,0.082991561,0.708560736
AT1G12470,NA,NA,NM_101119,837804,NA,"GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0005768, GO:0005773, GO:0006461, GO:0006810, GO:0006887, GO:0006996, GO:0009987, GO:0016020, GO:0016043, GO:0016192, GO:0032991, GO:0043226, GO:0043234, GO:0044085, GO:0044464, GO:0050789, GO:0051179, GO:0065007, GO:0070271, GO:0071840, GO:0008152, GO:0019538, GO:0044238",0.109458012,0.001434905,0.021700121,-0.108023107,-0.087757891,0.020265216,-0.109458012,-0.001434905,-0.021700121,0.108023107,0.087757891,-0.020265216
