TAIR,SYMBOL,Log2fc_.root_FLT.v.root_GC.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.
AT1G02010,SEC1A,0.782591068,0.330736287,0.699826244
AT1G02130,ARA-5,-0.0741384,0.175933198,-0.080193572
AT1G03930,ADK1,0.678411372,0.169740334,0.679178745
AT1G04440,CKL13,-0.657207239,-0.095004898,-0.614265479
AT1G07000,ATEXO70B2,-0.039049866,-0.916904952,0.107312347
AT1G08560,ATSYP111,-0.018140452,-0.28468411,0.129446417
AT1G09330,ECH,-0.272367728,0.067258183,-0.32247936
AT1G11890,ATSEC22,0.055990307,0.215677994,0.055523024
AT1G12360,KEU,-0.708560736,-0.391366577,-0.625569176
AT1G13210,ACA.l,-0.396492661,-0.727723092,-0.256085012
AT1G16240,ATSYP51,-0.084209092,-0.225735344,-0.17797162
AT1G16920,ATRABA1B,-0.495410191,-0.057067064,-0.417795948
AT1G21170,SEC5B,-0.617077777,-0.008465649,-0.496642077
AT1G21900,p24delta5,-0.414782077,-0.061752204,-0.44438005
AT1G23900,GAMMA-ADAPTIN,-0.183011973,-0.090337128,-0.090646864
AT1G26670,ATVTI12,-0.07720092,-0.517851008,-0.351008753
AT1G28490,ATSYP61,0.286158225,-0.011927948,0.221311973
AT1G50500,ATVPS53,-0.256688509,-0.193379047,-0.156991296
AT1G54090,ATEXO70D2,-0.26310857,-0.189164107,-0.306284581
AT1G59820,ALA3,-0.18603238,-0.02126559,-0.095151704
AT1G60490,ATVPS34,-0.14356172,-0.149135667,-0.073020377
AT1G71270,ATVPS52,-0.40069302,0.042116248,-0.25136378
AT1G75310,AUL1,0.270910903,0.048035928,0.438495977
AT1G75850,VPS35B,-0.241873903,0.032276159,-0.234904641
AT1G79590,ATSYP52,-0.278959118,-0.082786083,-0.209150623
AT2G01470,ATSEC12,-0.453576777,-0.15048547,-0.418694358
AT2G14740,ATVSR3,-0.161638606,-0.197089464,-0.077186919
AT2G17380,AP19,-0.067582647,-0.116746114,-0.070654985
AT2G17790,VPS35A,-0.974823238,-0.107736708,-0.903012562
AT2G17980,ATSLY1,-0.192174026,-0.086678751,-0.246318105
AT2G19470,ckl5,0.166090941,0.057230245,0.122835408
AT2G19950,GC1,-0.44858065,-0.099711315,-0.392816289
AT2G21600,ATRER1B,-0.1232624,0.035241038,-0.056930342
AT2G23310,ATRER1C1,-0.637956628,-0.255166342,-0.647559936
AT2G24765,ARF3,-0.594658574,-0.039044368,-0.587456426
AT2G29700,ATPH1,-0.070261501,-0.05500608,-0.182929234
AT2G32900,ATZW10,-0.448140348,-0.124136486,-0.425674268
AT2G33120,ATVAMP722,-0.241068131,-0.258093504,-0.241340499
AT2G38020,EMB258,-0.295474635,-0.044267965,-0.205639602
AT2G40380,PRA1.B2,0.068165422,0.580142054,-0.019986524
AT2G42700,MIP3,-0.340816663,-0.12523596,-0.243323051
AT3G07680,p24beta2,-0.423484044,-0.176021779,-0.427107585
AT3G11730,ATFP8,-0.236656773,0.007774315,-0.326398749
AT3G11820,AT-SYR1,0.652254961,-0.2538227,0.696548053
AT3G13720,PRA1.F3,-0.137834723,-0.04093081,-0.263313593
AT3G17440,ATNPSN13,-0.101223608,-0.024770859,-0.056694628
AT3G18480,AtCASP,-0.146058197,-0.089653213,-0.088525416
AT3G20290,ATEHD1,0.036901384,0.018764159,-0.070010662
AT3G24350,ATSYP32,-0.273674443,-0.078203741,-0.27496581
AT3G25040,ERD2B,-0.130297982,0.116583228,-0.247775226
AT3G27530,GC6,-0.478576461,-0.015943526,-0.391848903
AT3G46060,ARA-3,-0.729499324,-0.053551065,-0.687054794
AT3G51310,VPS35C,-0.397893457,-0.015934552,-0.275047929
AT3G52400,ATSYP122,-0.881480348,-0.69960497,-0.368331556
AT3G53610,ATRAB8,-0.733712747,-0.132659017,-0.771282189
AT3G54840,ARA-6,0.214315001,0.057673978,0.11446096
AT3G54860,ATVPS33,-0.233351165,-0.144932053,-0.249498429
AT3G55480,AP-3,0.17493899,0.013359817,0.222355809
AT3G56110,PRA1.B1,-0.287699064,-0.024231189,-0.306138892
AT3G60190,ADL1E,0.632532576,-0.366588304,0.552734907
AT3G61710,ATATG6,0.089567012,-0.190172453,-0.066203615
AT4G02350,SEC15B,-0.262486432,-0.090748986,-0.242171728
AT4G04910,NSF,-1.020840249,-0.290273532,-0.840043096
AT4G11740,SAY1,0.190428507,0.07288503,0.1579844
AT4G14340,CKI1,-0.006236542,-0.148464183,-0.057437275
AT4G14950,KMS1,-0.46898612,0.256354056,-0.403778693
AT4G17730,ATSYP23,0.134561648,-0.248383543,-0.043143374
AT4G17890,AGD8,-0.31907605,0.055617927,-0.280849508
AT4G19490,ATVPS54,-0.359741637,0.062700306,-0.164464016
