TAIR,SYMBOL,Log2fc_.Ws_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Ws_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Ws_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_dark.
AT1G01960,EDA10,-0.674369387,-0.590849779,-0.961347154,0.083519608,-0.286977767,-0.656822593,0.017546794,-0.317633472,0.356735915,-0.030143595,0.644225791,-0.925048574,-0.250679188,-0.456187487,0.218181899,-0.853263491,-0.178894105,-0.644965044,0.029404343,-0.478236116,0.196133271
AT1G04260,MPI7,0.388826136,0.492440888,0.228062046,0.103614752,-0.16076409,0.110667025,-0.278159111,0.02253763,-0.366288506,-0.288809758,-0.677635894,0.030412595,-0.358413541,0.01284478,-0.375981356,-0.1957535,-0.584579636,-0.074888328,-0.463714464,-0.18293539,-0.571761526
AT1G04440,CKL13,0.353702292,0.268063168,0.87559959,-0.085639123,0.521897298,-0.126902587,-0.480604878,0.188995254,-0.164707037,0.309963995,-0.043738296,0.391944643,0.038242351,-0.293426912,-0.647129203,0.25797267,-0.095729622,-0.169876792,-0.523579083,0.197250644,-0.156451648
AT1G05360,KMS2,0.19017593,0.05245614,-0.123998681,-0.13771979,-0.314174611,-0.035940321,-0.22611625,-0.060324268,-0.250500197,-0.518796581,-0.708972511,-0.02725565,-0.21743158,0.11176341,-0.07841252,0.190876751,0.000700822,-0.158962215,-0.349138145,-0.291593041,-0.481768971
AT1G08190,ATVAM2,-0.432094937,-0.150288791,-0.094370827,0.281806147,0.33772411,-0.549692208,-0.117597271,-0.21773255,0.214362387,-0.057018313,0.375076624,-0.604179486,-0.172084549,-0.373048218,0.059046719,-0.324169466,0.107925471,0.004886882,0.436981819,-0.606640089,-0.174545152
AT1G12360,KEU,0.233044374,-0.234831578,0.143449172,-0.467875952,-0.089595202,-0.155107326,-0.3881517,0.006943412,-0.226100962,-0.030698288,-0.263742662,-0.10947731,-0.342521684,-0.224990547,-0.45803492,-0.020682083,-0.253726457,-0.187016687,-0.420061061,0.290271057,0.057226684
AT1G13980,EMB30,-0.802622754,-0.883063567,-0.639513236,-0.080440814,0.163109518,-0.48453191,0.318090844,-0.619901086,0.182721667,-0.465250817,0.337371937,-1.122837194,-0.32021444,-0.524265952,0.278356802,-1.300083241,-0.497460488,-0.785675737,0.016947017,-0.540909307,0.261713447
AT1G15880,atgos11,0.576819427,0.289674482,0.912687089,-0.287144945,0.335867662,-0.408131698,-0.984951125,-0.501883384,-1.078702811,-0.698749259,-1.275568686,-0.636670809,-1.213490236,-0.770724369,-1.347543796,-0.729018529,-1.305837956,-0.776708984,-1.353528411,-0.106499925,-0.683319352
AT1G17730,CHMP1B,0.208996558,0.113013466,0.31512536,-0.095983092,0.106128803,0.413333047,0.204336489,0.318442808,0.10944625,-0.163883974,-0.372880532,0.331479406,0.122482848,0.236961429,0.027964871,0.409047316,0.200050759,0.21449333,0.005496772,0.084715044,-0.124281514
AT1G28490,ATSYP61,0.028367627,0.143939671,-0.024115485,0.115572044,-0.052483112,0.305244545,0.276876918,0.255320364,0.226952737,0.118686726,0.0903191,0.30305367,0.274686043,0.306906018,0.278538391,0.292732321,0.264364695,0.46601119,0.437643563,0.334907836,0.306540209
AT1G29330,AERD2,0.1853075,0.08114252,0.206296087,-0.10416498,0.020988586,-0.071598691,-0.256906191,-0.150219642,-0.335527142,-0.042985727,-0.228293228,0.042584707,-0.142722793,-0.235306274,-0.420613774,-0.29230919,-0.47761669,-0.121513831,-0.306821332,-0.068455813,-0.253763313
AT1G30900,BP80-3;3,0.350207,0.4557697,1.050955,0.1055627,0.700748,0.4786348,0.1284278,0.9148806,0.5646736,0.9020244,0.5518174,0.6418228,0.2916158,0.5696978,0.2194908,0.8775025,0.5272955,0.766053,0.415846,0.6567201,0.3065131
AT1G47550,SEC3A,-0.6824618,-0.6538042,-0.8626763,0.02865758,-0.1802145,-0.6741393,0.008322462,-0.3857926,0.2966692,-0.3276275,0.3548343,-0.7863046,-0.1038428,-0.6126342,0.06982756,-0.4343942,0.2480676,-0.6378619,0.04459992,-0.6765907,0.005871081
AT1G48240,ATNPSN12,-0.1752167,0.1104897,0.2379466,0.2857065,0.4131633,0.22077,0.3959868,0.3150691,0.4902859,0.271992,0.4472087,-0.1149636,0.06025314,0.3141191,0.4893358,-0.3027573,-0.1275406,0.2010174,0.3762341,-0.01532442,0.1598923
AT1G50500,ATVPS53,-0.1384824,-0.1586267,-0.2159923,-0.02014428,-0.07750996,-0.1935904,-0.05510806,0.04508674,0.1835691,0.2585575,0.3970398,-0.1733246,-0.03484219,0.1614545,0.2999369,0.02049859,0.158981,-0.0339998,0.1044826,0.1716893,0.3101717
AT1G54090,ATEXO70D2,-0.004593769,-0.08702387,0.150508,-0.0824301,0.1551018,-0.1330338,-0.12844,0.2249236,0.2295174,0.4067354,0.4113292,0.02100847,0.02560224,0.06812167,0.07271544,0.03231706,0.03691083,0.3834059,0.3879996,-0.02038147,-0.0157877
AT1G56590,AP3M,0.003979132,0.3744833,0.01153438,0.3705041,0.007555247,-0.07811225,-0.08209138,-0.1495225,-0.1535016,-0.2023358,-0.206315,-0.155387,-0.1593661,0.03767063,0.0336915,-0.1080219,-0.1120011,0.008717791,0.00473866,-0.1429018,-0.1468809
AT1G71270,ATVPS52,-0.4186305,-0.2046198,-0.5912864,0.2140107,-0.1726559,-0.4708373,-0.05220679,-0.4102354,0.008395057,-0.1463912,0.2722393,-0.3240579,0.09457258,0.1197027,0.5383332,-0.159949,0.2586814,0.04123243,0.4598629,-0.5066452,-0.08801477
AT1G71820,SEC6,-0.8234229,-0.2698474,-0.5472626,0.5535755,0.2761603,-0.7043809,0.119042,-0.4834671,0.3399558,-0.3216732,0.5017497,-0.2494417,0.5739812,-0.5757045,0.2477184,-0.3831042,0.4403187,-0.08709347,0.7363294,-0.422638,0.4007849
AT1G72710,CKL2,-0.2504444,-0.3313511,-0.2192883,-0.08090675,0.03115604,-0.6983223,-0.447878,-0.1912551,0.05918926,-0.3713009,-0.1208565,-0.4541289,-0.2036846,-0.5756215,-0.3251772,-0.6407988,-0.3903545,-0.6579658,-0.4075214,-0.4613834,-0.2109391
AT1G75850,VPS35B,-0.1357815,-0.2950176,-0.08733123,-0.1592362,0.04845025,-0.2100141,-0.0742326,-0.2282986,-0.09251717,-0.01203343,0.1237481,-0.0137275,0.122054,-0.2695299,-0.1337484,-0.08367759,0.05210389,-0.493352,-0.3575705,-0.1316317,0.004149814
AT1G79590,ATSYP52,0.3685575,0.01552877,0.636728,-0.3530287,0.2681705,0.2811671,-0.0873904,0.1325946,-0.2359628,0.01344973,-0.3551077,0.5024746,0.1339172,-0.02835963,-0.3969171,0.452668,0.08411052,-0.0507883,-0.4193458,0.4221665,0.05360905
