TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT1G01960,EDA10,-0.370497375,-0.065972814,0.304524561,0.273216307,0.643713682,0.560706184,0.931203559,-0.334198796,0.03629858,0.134662291,0.505159666,-0.262413713,0.108083663,-0.054115265,0.31638211,0.112613663,0.483111038,0.590849779,0.961347154,-0.083519608,0.286977767
AT1G04260,MPI7,-0.264378842,-0.381773864,-0.117395021,-0.469903258,-0.205524416,-0.781250646,-0.516871804,-0.462028293,-0.197649451,-0.479596108,-0.215217266,-0.688194388,-0.423815546,-0.567329217,-0.302950374,-0.675376279,-0.410997436,-0.492440888,-0.228062046,-0.103614752,0.16076409
AT1G04440,CKL13,0.607536422,-0.394965755,-1.002502177,-0.079067914,-0.686604336,0.041900827,-0.565635595,0.123881475,-0.483654947,-0.56149008,-1.169026501,-0.010090499,-0.61762692,-0.43793996,-1.045476382,-0.070812525,-0.678348946,-0.268063168,-0.87559959,0.085639123,-0.521897298
AT1G05360,KMS2,-0.176454821,-0.088396461,0.08805836,-0.112780408,0.063674414,-0.571252721,-0.3947979,-0.07971179,0.096743031,0.059307269,0.235762091,0.138420611,0.314875433,-0.211418355,-0.034963534,-0.344049181,-0.16759436,-0.05245614,0.123998681,0.13771979,0.314174611
AT1G08190,ATVAM2,0.055917963,-0.399403417,-0.45532138,-0.06744376,-0.123361723,0.093270477,0.037352514,-0.453890695,-0.509808659,-0.222759428,-0.278677391,-0.173880676,-0.229798639,0.155175673,0.09925771,-0.456351298,-0.512269261,0.150288791,0.094370827,-0.281806147,-0.33772411
AT1G08560,ATSYP111,-0.49705743,0.127185096,0.624242527,0.256738615,0.753796045,-0.326179748,0.170877682,-0.611943234,-0.114885803,0.285832123,0.782889554,0.771468918,1.268526349,0.759516571,1.256574002,0.585474328,1.082531758,-0.239154272,0.257903159,-0.191639651,0.305417779
AT1G08770,PRA1.E,0.533352812,0.295816978,-0.237535833,0.3591639,-0.174188911,-0.155764701,-0.689117512,0.365871343,-0.167481468,-0.323424137,-0.856776949,0.000591099,-0.532761713,-0.06961345,-0.602966262,0.133786467,-0.399566345,-0.717739571,-1.251092382,-0.010701621,-0.544054433
AT1G11890,ATSEC22,0.156871063,0.51042441,0.353553346,0.163595045,0.006723982,0.25952372,0.102652657,0.553440376,0.396569312,0.43115671,0.274285647,0.530504671,0.373633608,0.630895742,0.474024679,0.247591433,0.09072037,-0.169992037,-0.3268631,0.010487319,-0.146383744
AT1G12360,KEU,0.37828075,0.079724251,-0.298556498,0.24177499,-0.13650576,0.20413329,-0.17414746,0.125354267,-0.252926482,0.009841031,-0.368439719,0.214149495,-0.164131255,0.047814891,-0.330465859,0.525102635,0.146821885,0.234831578,-0.143449172,0.467875952,0.089595202
AT1G13210,ACA.l,0.034469496,0.077780304,0.043310808,-0.060671491,-0.095140987,0.292323473,0.257853976,-0.276817579,-0.311287075,-0.104104858,-0.138574355,-0.124598269,-0.159067765,0.127598076,0.09312858,0.121453213,0.086983716,0.32655264,0.292083143,0.072603069,0.038133572
