TAIR,SYMBOL,Log2fc_.Col.0_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_dark.
AT1G01960,EDA10,0.339189121,0.626678998,-0.268225981,0.200635105,-0.196440899,0.011857549,0.178586477,0.656822593,-0.017546794,0.065972814,-0.304524561,0.287489877,-0.607415102,-0.138554016,-0.53563002,-0.327331572,-0.160602644,0.317633472,-0.356735915,-0.273216307,-0.643713682
AT1G04260,MPI7,-0.088129395,-0.399476782,-0.08025443,-0.097822245,-0.306420524,-0.185555353,-0.293602415,-0.110667025,0.278159111,0.381773864,0.117395021,-0.311347388,0.007874965,-0.00969285,-0.21829113,-0.097425958,-0.20547302,-0.02253763,0.366288506,0.469903258,0.205524416
AT1G04440,CKL13,0.315897841,0.436866582,0.51884723,-0.166524325,0.384875256,-0.042974205,0.324153231,0.126902587,0.480604878,0.394965755,1.002502177,0.120968741,0.202949389,-0.482422166,0.068977415,-0.358872046,0.008255389,-0.188995254,0.164707037,0.079067914,0.686604336
AT1G05360,KMS2,-0.024383947,-0.48285626,0.00868467,0.14770373,0.226817072,-0.123021894,-0.25565272,0.035940321,0.22611625,0.088396461,-0.08805836,-0.458472314,0.033068617,0.172087677,0.251201019,-0.098637947,-0.231268774,0.060324268,0.250500197,0.112780408,-0.063674414
AT1G08190,ATVAM2,0.331959658,0.492673895,-0.054487278,0.17664399,0.225522742,0.55457909,-0.056947881,0.549692208,0.117597271,0.399403417,0.45532138,0.160714237,-0.386446936,-0.155315668,-0.106436916,0.222619432,-0.388907539,0.21773255,-0.214362387,0.06744376,0.123361723
AT1G08560,ATSYP111,0.129553518,-0.453364845,-0.73912833,0.158647027,0.644283822,0.632331475,0.458289232,-0.366339368,-0.318824748,-0.127185096,-0.624242527,-0.582918363,-0.868681848,0.029093509,0.514730304,0.502777956,0.328735713,-0.495892886,-0.448378266,-0.256738615,-0.753796045
AT1G08770,PRA1.E,0.063346922,-0.451581679,0.070054365,-0.619241115,-0.29522588,-0.365430429,-0.162030512,-1.013556549,-0.3065186,-0.295816978,0.237535833,-0.514928601,0.006707443,-0.682588037,-0.358572801,-0.42877735,-0.225377434,-1.076903471,-0.369865522,-0.3591639,0.174188911
AT1G12360,KEU,0.162050738,0.124409038,0.045630016,-0.06988322,0.134425244,-0.031909361,0.445378384,0.155107326,0.3881517,-0.079724251,0.298556498,-0.0376417,-0.116420722,-0.231933959,-0.027625495,-0.193960099,0.283327645,-0.006943412,0.226100962,-0.24177499,0.13650576
AT1G13980,EMB30,-0.135369176,0.019281094,-0.638305284,-0.039734042,-0.815551331,-0.301143827,-0.056377397,0.48453191,-0.318090844,-0.398531657,-0.154981326,0.15465027,-0.502936107,0.095635135,-0.680182155,-0.165774651,0.07899178,0.619901086,-0.182721667,-0.263162481,-0.019612149
AT1G17730,CHMP1B,-0.094890239,-0.577217021,-0.081853641,-0.176371618,-0.004285731,-0.198839718,-0.328618003,-0.413333047,-0.204336489,-0.300319581,-0.098207687,-0.482326782,0.013036598,-0.081481379,0.090604508,-0.103949478,-0.233727764,-0.318442808,-0.10944625,-0.205429342,-0.003317448
