TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT1G01960,EDA10,-0.894904979,-0.426043892,-0.823119896,-0.614821449,-0.448092521,0.030143595,-0.644225791,-0.560706184,-0.931203559,0.468861087,0.071785083,0.28008353,0.446812458,0.925048574,0.250679188,0.334198796,-0.03629858,-0.626678998,0.268225981,-0.287489877,0.607415102
AT1G04260,MPI7,0.319222353,0.301654538,0.093056258,0.21392143,0.105874368,0.288809758,0.677635894,0.781250646,0.516871804,-0.017567815,-0.226166095,-0.105300923,-0.213347985,-0.030412595,0.358413541,0.462028293,0.197649451,0.399476782,0.08025443,0.311347388,-0.007874965
AT1G05360,KMS2,0.491540931,0.630559991,0.709673333,0.359834366,0.22720354,0.518796581,0.708972511,0.571252721,0.3947979,0.13901906,0.218132402,-0.131706565,-0.264337391,0.02725565,0.21743158,0.07971179,-0.096743031,0.48285626,-0.00868467,0.458472314,-0.033068617
AT1G08560,ATSYP111,-0.285763485,0.612011872,1.097648667,1.08569632,0.911654076,0.087025477,0.134540097,0.326179748,-0.170877682,0.897775357,1.383412152,1.371459805,1.197417562,0.372788962,0.420303582,0.611943234,0.114885803,0.453364845,0.73912833,0.582918363,0.868681848
AT1G08770,PRA1.E,0.521636044,-0.167659436,0.156355799,0.08615125,0.289551167,-0.56197487,0.145063079,0.155764701,0.689117512,-0.68929548,-0.365280244,-0.435484793,-0.232084877,-1.083610914,-0.376572965,-0.365871343,0.167481468,0.451581679,-0.070054365,0.514928601,-0.006707443
AT1G10290,ADL6,-0.665019744,-0.260269772,-0.612669863,-0.257700415,-0.331781824,-0.34090196,-0.607446314,-0.444538199,-0.74750623,0.404749972,0.052349881,0.407319328,0.33323792,0.324117784,0.05757343,0.220481545,-0.082486487,-0.390617279,0.274402465,-0.464099441,0.200920303
AT1G11890,ATSEC22,0.293916655,0.17163299,0.270980951,0.371372022,-0.011932287,-0.429515757,-0.249036401,-0.25952372,-0.102652657,-0.122283665,-0.022935705,0.077455367,-0.305848942,-0.723432412,-0.542953056,-0.553440376,-0.396569312,0.250900689,-0.043015966,-0.095928675,-0.38984533
AT1G15880,atgos11,0.06207845,-0.07197511,-0.03026927,-0.077959725,0.592249335,0.698749259,1.275568686,0.988423741,1.611436348,-0.13405356,-0.09234772,-0.140038175,0.530170884,0.636670809,1.213490236,0.926345291,1.549357898,0.290617561,0.228539111,0.196865875,0.134787425
AT1G21900,p24delta5,0.783161545,-0.100233252,0.361585037,0.390543915,0.092102647,-0.889273496,-0.530417448,-0.454787959,-0.387436895,-0.883394797,-0.421576508,-0.392617631,-0.691058898,-1.672435041,-1.313578993,-1.237949505,-1.170598441,0.128994466,-0.654167079,0.09267191,-0.690489635
AT1G29330,AERD2,0.085570434,-0.192320547,-0.249323462,-0.078528104,-0.025470086,0.042985727,0.228293228,0.124128248,0.249281814,-0.277890981,-0.334893897,-0.164098538,-0.11104052,-0.042584707,0.142722793,0.038557813,0.16371138,-0.028612963,-0.114183397,-0.107233914,-0.192804349
