TAIR,SYMBOL,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_dark.
AT1G01960,EDA10,-0.397076004,-0.188777556,-0.022048629,0.456187487,-0.218181899,-0.134662291,-0.505159666,0.208298447,0.375027375,0.853263491,0.178894105,0.262413713,-0.108083663,-0.200635105,0.196440899,0.138554016,0.53563002,0.426043892,0.823119896,-0.468861087,-0.071785083
AT1G04260,MPI7,-0.20859828,-0.087733108,-0.19578017,-0.01284478,0.375981356,0.479596108,0.215217266,0.120865172,0.01281811,0.1957535,0.584579636,0.688194388,0.423815546,0.097822245,0.306420524,0.00969285,0.21829113,-0.301654538,-0.093056258,0.017567815,0.226166095
AT1G04440,CKL13,0.551399581,0.12355012,0.490677555,0.293426912,0.647129203,0.56149008,1.169026501,-0.427849461,-0.060722026,-0.25797267,0.095729622,0.010090499,0.61762692,0.166524325,-0.384875256,0.482422166,-0.068977415,0.603390907,0.051991326,0.685371554,0.133971973
AT1G05360,KMS2,0.079113342,-0.270725625,-0.403356451,-0.11176341,0.07841252,-0.059307269,-0.235762091,-0.349838966,-0.482469793,-0.190876751,-0.000700822,-0.138420611,-0.314875433,-0.14770373,-0.226817072,-0.172087677,-0.251201019,-0.630559991,-0.709673333,-0.13901906,-0.218132402
AT1G08560,ATSYP111,0.485636795,0.473684448,0.299642205,-0.524986395,-0.477471775,-0.285832123,-0.782889554,-0.011952347,-0.18599459,-1.01062319,-0.96310857,-0.771468918,-1.268526349,-0.158647027,-0.644283822,-0.029093509,-0.514730304,-0.612011872,-1.097648667,-0.897775357,-1.383412152
AT1G08770,PRA1.E,0.324015236,0.253810687,0.457210604,-0.394315434,0.312722515,0.323424137,0.856776949,-0.070204549,0.133195368,-0.71833067,-0.01129272,-0.000591099,0.532761713,0.619241115,0.29522588,0.682588037,0.358572801,0.167659436,-0.156355799,0.68929548,0.365280244
AT1G11890,ATSEC22,0.099347961,0.199739032,-0.183565277,-0.601148747,-0.420669391,-0.43115671,-0.274285647,0.100391071,-0.282913238,-0.700496708,-0.520017352,-0.530504671,-0.373633608,0.079267699,-0.020080261,-0.267561665,-0.366909626,-0.17163299,-0.270980951,0.122283665,0.022935705
AT1G12360,KEU,0.204308464,0.03797386,0.515261604,0.224990547,0.45803492,-0.009841031,0.368439719,-0.166334604,0.31095314,0.020682083,0.253726457,-0.214149495,0.164131255,0.06988322,-0.134425244,0.231933959,0.027625495,0.194292259,-0.010016205,0.115513236,-0.088795228
AT1G13980,EMB30,-0.77581729,-0.261409785,-0.016643355,0.524265952,-0.278356802,-0.358797616,-0.115247284,0.514407504,0.759173934,1.300083241,0.497460488,0.417019674,0.660570005,0.039734042,0.815551331,-0.095635135,0.680182155,0.059015135,0.834832425,-0.598571242,0.177246048
AT1G28490,ATSYP61,-0.014173697,0.159105172,0.028001818,-0.306906018,-0.278538391,-0.162966347,-0.331021503,0.173278869,0.042175515,-0.292732321,-0.264364695,-0.14879265,-0.316847806,-0.001661473,0.012512224,-0.051585654,-0.037411957,-0.188219292,-0.174045595,-0.003852348,0.010321349
AT1G29330,AERD2,-0.057002916,0.113792443,0.166850461,0.235306274,0.420613774,0.316448794,0.441602361,0.170795358,0.223853377,0.29230919,0.47761669,0.37345171,0.498605276,0.163707584,0.220710499,0.085086632,0.142089548,0.192320547,0.249323462,0.277890981,0.334893897
AT1G48240,ATNPSN12,-0.6168764,-0.1131017,-0.3294435,-0.3141191,-0.4893358,-0.2036294,-0.07617251,0.5037747,0.2874329,0.3027573,0.1275406,0.413247,0.5407039,-0.09334904,0.5235273,0.000950042,0.6178264,-0.0421271,0.5747493,-0.4290827,0.1877937
