_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-16.391673457954575,GO:0009451,M1,1,0,GO Biological Processes,19,RNA modification,19_GO:0008152 metabolic process,-16.391673457954575,2.9896096290610954,10.143559544290259,18982,341,1322,71,5.3706505295007565,0.6200270636326698,814804|814827|814867|814914|815032|816742|817307|817942|818272|818309|818667|819097|819688|819698|820319|820459|820586|821115|821701|821779|821840|822097|822262|823940|824504|824822|824910|825512|826774|827609|827825|827878|828630|829871|830107|830856|831168|831382|832769|833735|834796|835340|835362|835668|836038|837123|837463|837671|837825|838009|838121|838561|839402|839466|840066|842125|842263|842523|843175|843226|843490|843776|844037|3768582|3768923|3770243|3770594|3770597|3771503|6240220|10723034,AT2G02750|OTP85|AT2G03380|REME1|AT2G04860|AT2G22070|AT2G27610|AT2G33760|AT2G36980|AT2G37320|AT2G40720|AHG11|MEF19|AT3G05340|AT3G11460|MEF22|AT3G13770|AT3G02330|AT3G21470|AT3G22150|AT3G22690|AT3G25060|AT3G26540|AT3G47840|AT3G53360|AT3G56550|OTP84|OTP86|AT4G11690|DOT4|AT4G20770|AT4G21300|OTP70|AT4G37170|AT4G39530|MEF7|RARE1|AT5G15300|AT5G27110|AT5G37570|AT5G47460|MEF1|AT5G52850|CRR21|OTP80|MEF3|AT1G09410|CRR22|RPF1|AT1G14470|ECB2|AT1G19720|AT1G04840|AT1G03540|AT1G31790|AT1G56690|CRR28|MEF9|IPT1|AT1G68930|AT1G71490|AT1G74350|AT1G77010|AT2G35384|AT3G24615|SNOR37-2|AT4G39361|AT4G39366|U3D|AT4G19191|AT3G49142,-12.58835293437582,0,1,1,1,-16.391673457954575,2.9896096290610954,
1,-5.4653196808062114,ath00195,M1,1,0,KEGG Pathway,24,Photosynthesis,,-5.4653196808062114,3.4007086551477026,5.73754824136557,18982,76,1322,18,1.361573373676248,0.31873361286904967,817606|820859|824246|826892|828183|828984|837178|838622|839449|841653|843942|844728|844745|844774|844775|844788|844789|844795,PSBW|PSAH-1|PSBO2|PSAL|PSAD-1|PSB28|PSBP-1|DRT112|PSB27|PSAH2|PETE1|petD|psbE|psbZ|psbD|atpH|atpF|psbK,-2.1391204119471197,0,2,1,1,-5.4653196808062114,3.4007086551477026,
1,-5.4653196808062114,ko00195,M1,1,0,KEGG Pathway,24,Photosynthesis,,-5.4653196808062114,3.4007086551477026,5.73754824136557,18982,76,1322,18,1.361573373676248,0.31873361286904967,817606|820859|824246|826892|828183|828984|837178|838622|839449|841653|843942|844728|844745|844774|844775|844788|844789|844795,PSBW|PSAH-1|PSBO2|PSAL|PSAD-1|PSB28|PSBP-1|DRT112|PSB27|PSAH2|PETE1|petD|psbE|psbZ|psbD|atpH|atpF|psbK,-2.1391204119471197,0,2,0,0,-5.4653196808062114,3.4007086551477026,
1,-3.358793745924627,GO:0019684,M1,1,0,GO Biological Processes,19,"photosynthesis, light reaction",19_GO:0008152 metabolic process,-3.358793745924627,2.2791345484235044,3.9414556067017315,18982,126,1322,20,1.51285930408472,0.33571697964126357,817606|818006|821840|822391|824246|827921|831799|834495|837178|838168|839449|839870|839969|841099|841919|841995|842354|843413|843903|843990,PSBW|LHB1B1|AT3G22690|LHCB2.3|PSBO2|TROL|OHP|AT5G44660|PSBP-1|PnsB1|PSB27|CAB2|RSH4|Lhca5|TLP18.3|ZKT|ABC4|NdhL|LQY1|AT1G76570,-0.31244320164675593,0,3,1,1,-3.358793745924627,4.78618255168936,
1,-3.104706600117174,GO:0009765,M1,1,0,GO Biological Processes,19,"photosynthesis, light harvesting",19_GO:0008152 metabolic process,-3.104706600117174,3.4926196998814243,4.1523074524170935,18982,37,1322,9,0.680786686838124,0.2261551255778674,818006|822391|839449|839870|841099|841919|841995|843903|843990,LHB1B1|LHCB2.3|PSB27|CAB2|Lhca5|TLP18.3|ZKT|LQY1|AT1G76570,-0.2556285859777446,0,3,0,0,-3.358793745924627,4.78618255168936,
1,-2.904703265298396,GO:0015979,M1,1,0,GO Biological Processes,19,photosynthesis,19_GO:0008152 metabolic process,-2.904703265298396,1.8950367463541624,3.455001990109953,18982,197,1322,26,1.966717095310136,0.38189325860342,817606|818006|821840|822277|822391|824246|824832|825822|826892|827921|831799|834495|837178|838168|839449|839870|839969|840895|841099|841919|841995|842354|843413|843903|843990|7922413,PSBW|LHB1B1|AT3G22690|GAPA|LHCB2.3|PSBO2|PPD6|KEA3|PSAL|TROL|OHP|AT5G44660|PSBP-1|PnsB1|PSB27|CAB2|RSH4|GAPB|Lhca5|TLP18.3|ZKT|ABC4|NdhL|LQY1|AT1G76570|AT3G63540,-0.2269156696287176,0,3,0,0,-3.358793745924627,4.78618255168936,
1,-2.1325077639681083,GO:0010206,M1,1,0,GO Biological Processes,19,photosystem II repair,19_GO:0008152 metabolic process,-2.1325077639681083,4.78618255168936,3.589536963482987,18982,12,1322,4,0.30257186081694404,0.15105688269133496,839449|841919|841995|843903,PSB27|TLP18.3|ZKT|LQY1,0.0,0,3,0,0,-3.358793745924627,4.78618255168936,
1,-3.278848769752557,GO:0071230,M1,1,0,GO Biological Processes,19,cellular response to amino acid stimulus,19_GO:0050896 response to stimulus,-3.278848769752557,4.568628799339843,4.582194001254003,18982,22,1322,7,0.529500756429652,0.1996019196241085,817460|819566|819940|829682|830988|830991|834896,GLR2.7|GLR1.1|GLR1.4|GLUR2|GLR2.6|GLR2.5|GLR1.3,-0.31244320164675593,0,4,1,1,-3.278848769752557,4.568628799339843,
1,-2.716000054687298,GO:0043200,M1,1,0,GO Biological Processes,19,response to amino acid,19_GO:0050896 response to stimulus,-2.716000054687298,3.378481801192489,3.7978475339126865,18982,34,1322,8,0.6051437216338881,0.2133022778935585,817460|819566|819940|829682|830988|830991|834896|836772,GLR2.7|GLR1.1|GLR1.4|GLUR2|GLR2.6|GLR2.5|GLR1.3|RAB18,-0.1226603015344701,0,4,0,0,-3.278848769752557,4.568628799339843,
1,-2.1771949191191253,GO:0010243,M1,1,0,GO Biological Processes,19,response to organonitrogen compound,19_GO:0050896 response to stimulus,-2.1771949191191253,1.626554226550681,2.761442850033368,18982,256,1322,29,2.1936459909228443,0.4028571524673408,816209|816286|816318|817155|817460|818025|819215|819566|819856|819940|823560|827281|829032|829682|830902|830988|830991|831663|832660|833727|834768|834896|835975|836772|837493|837576|838487|842745|843804,NAC036|BZIP27|VND1|HSFA2|GLR2.7|JAZ7|MPK12|GLR1.1|AT3G06710|GLR1.4|NAC061|AT4G15975|AT4G29110|GLUR2|RING1|GLR2.6|GLR2.5|AT5G17960|RLP52|AT5G37490|ERF2|GLR1.3|AT5G58610|RAB18|AT1G09650|ERD9|ARR7|AT1G64380|MYB31,0.0,0,4,0,0,-3.278848769752557,4.568628799339843,
