Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0009755,hormone-mediated signaling pathway,19_GO:0023052 signaling,-8,3.5,7.2,18982,640,239,28,12,2.1,817170|817649|818411|820327|820940|821705|822296|823749|824214|824920|828151|828714|829480|829547|829597|829676|830556|830708|831197|831375|833752|835062|836163|837150|837362|838916|839621|839623,GP ALPHA 1|SKdZeta|PYL4|SPY|RR1|AHP1|AFB2|RABE1c|SNRK2.2|CPK32|MPK4|ABI1|BAK1|ABF3|AGB1|BSK1|CIPK15|BIM1|KEG|GASA4|AT5G37740|AFB5|SIZ1|GSK1|BSL2|PIN7|HK3|LCR,-5
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-7.4,3.8,7.1,18982,475,239,23,9.6,1.9,817874|818594|819069|819959|821081|823749|824529|826411|828060|828445|828587|828972|831112|831197|833947|834706|835046|836733|837791|838792|839419|840065|841164,SAR1|CLC2|RAB6A|p24beta2|TPLATE|RABE1c|RAB8|AT4G08520|SEC15B|AT4G23460|AT4G24840|CKL6|SEC10|KEG|SGR4|AT5G46630|EXO84B|ATGRIP|KEU|p24delta5|VAMP721|AT1G31780|SEC3A,-4.5
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-7.2,3,6.6,18982,785,239,30,13,2.1,816556|817170|817649|818411|820327|820940|821705|822296|823749|824214|824920|828151|828714|829387|829480|829547|829597|829676|830556|830708|831197|831375|833752|835062|836163|837150|837362|838916|839621|839623,MUR3|GP ALPHA 1|SKdZeta|PYL4|SPY|RR1|AHP1|AFB2|RABE1c|SNRK2.2|CPK32|MPK4|ABI1|SHM3|BAK1|ABF3|AGB1|BSK1|CIPK15|BIM1|KEG|GASA4|AT5G37740|AFB5|SIZ1|GSK1|BSL2|PIN7|HK3|LCR,-4.4
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-7.1,3.1,6.5,18982,749,239,29,12,2.1,816556|817170|817649|818411|820327|820940|821705|822296|823749|824214|824920|828151|828714|829480|829547|829597|829676|830556|830708|831197|831375|833752|835062|836163|837150|837362|838916|839621|839623,MUR3|GP ALPHA 1|SKdZeta|PYL4|SPY|RR1|AHP1|AFB2|RABE1c|SNRK2.2|CPK32|MPK4|ABI1|BAK1|ABF3|AGB1|BSK1|CIPK15|BIM1|KEG|GASA4|AT5G37740|AFB5|SIZ1|GSK1|BSL2|PIN7|HK3|LCR,-4.3
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0046903,secretion,19_GO:0051179 localization,-6.7,8.7,8.3,18982,91,239,10,4.2,1.3,819069|823749|824529|828060|831112|831197|832150|835046|837791|841164,RAB6A|RABE1c|RAB8|SEC15B|SEC10|KEG|SPS1F|EXO84B|KEU|SEC3A,-4
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-6.5,4,6.7,18982,373,239,19,7.9,1.7,817170|817649|818411|820327|824214|824920|828714|829480|829547|829676|830556|830708|831197|831375|833752|836163|837150|837362|839621,GP ALPHA 1|SKdZeta|PYL4|SPY|SNRK2.2|CPK32|ABI1|BAK1|ABF3|BSK1|CIPK15|BIM1|KEG|GASA4|AT5G37740|SIZ1|GSK1|BSL2|HK3,-4
WS_c1_which_mclass____5___1_,KEGG Pathway,24,ko04075,Plant hormone signal transduction,,-6.5,4.8,7,18982,267,239,16,6.7,1.6,818411|820898|820940|821705|824214|828714|829029|829480|829547|829564|829676|832196|832658|837637|839621|844105,PYL4|PAP1|RR1|AHP1|SNRK2.2|ABI1|PAP2|BAK1|ABF3|CYCD3;1|BSK1|NPH4|IAA28|SNRK2.4|HK3|LAX3,-4
WS_c1_which_mclass____5___1_,KEGG Pathway,24,ath04075,Plant hormone signal transduction,,-6.5,4.8,7,18982,267,239,16,6.7,1.6,818411|820898|820940|821705|824214|828714|829029|829480|829547|829564|829676|832196|832658|837637|839621|844105,PYL4|PAP1|RR1|AHP1|SNRK2.2|ABI1|PAP2|BAK1|ABF3|CYCD3;1|BSK1|NPH4|IAA28|SNRK2.4|HK3|LAX3,-4
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0033993,response to lipid,19_GO:0050896 response to stimulus,-6.2,2.9,6,18982,776,239,28,12,2.1,817170|817649|818411|820327|821198|824214|824920|824956|826476|826983|828151|828714|829480|829547|829564|829676|830556|830708|831197|831375|831765|833752|836163|837150|837362|837414|837637|839621,GP ALPHA 1|SKdZeta|PYL4|SPY|AT3G02880|SNRK2.2|CPK32|SCE1|FBW2|AMT1;1|MPK4|ABI1|BAK1|ABF3|CYCD3;1|BSK1|CIPK15|BIM1|KEG|GASA4|SR1|AT5G37740|SIZ1|GSK1|BSL2|ERD6|SNRK2.4|HK3,-3.8
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0032940,secretion by cell,19_GO:0051179 localization,-6,8.7,7.9,18982,82,239,9,3.8,1.2,819069|823749|824529|828060|831112|831197|835046|837791|841164,RAB6A|RABE1c|RAB8|SEC15B|SEC10|KEG|EXO84B|KEU|SEC3A,-3.6
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0006887,exocytosis,19_GO:0051179 localization,-5.9,9.9,8.1,18982,64,239,8,3.3,1.2,819069|823749|824529|828060|831112|835046|837791|841164,RAB6A|RABE1c|RAB8|SEC15B|SEC10|EXO84B|KEU|SEC3A,-3.4
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0040007,growth,19_GO:0040007 growth,-5.5,2.9,5.6,18982,653,239,24,10,1.9,815247|816556|816961|818761|819069|819979|820408|820940|821705|828060|828972|830000|830398|830912|831197|831809|831976|832196|835421|835702|836163|839621|840032|843917,XTH4|MUR3|LRL1|TFIIB|RAB6A|SCN1|RBR1|RR1|AHP1|SEC15B|CKL6|ROPGEF1|RUL1|PAS2|KEG|EXO70A1|FASS|NPH4|BOB1|AT5G56040|SIZ1|HK3|FEI1|ARAC5,-3.2
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:1901701,cellular response to oxygen-containing compound,19_GO:0050896 response to stimulus,-5.4,2.9,5.5,18982,667,239,24,10,1.9,816556|817170|817649|818411|820327|824214|824920|827086|828151|828714|829387|829480|829547|829597|829676|830556|830708|831197|831375|833752|836163|837150|837362|839621,MUR3|GP ALPHA 1|SKdZeta|PYL4|SPY|SNRK2.2|CPK32|bHLH104|MPK4|ABI1|SHM3|BAK1|ABF3|AGB1|BSK1|CIPK15|BIM1|KEG|GASA4|AT5G37740|SIZ1|GSK1|BSL2|HK3,-3
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0010014,meristem initiation,19_GO:0032502 developmental process,-5.3,14,8.4,18982,35,239,6,2.5,1,819969|820936|820940|825525|834868|838039,OBE1|TPR2|RR1|TTA2|OBE2|TTA1,-3
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0090421,embryonic meristem initiation,19_GO:0032502 developmental process,-5.3,19,9.3,18982,21,239,5,2.1,0.93,819969|820936|825525|834868|838039,OBE1|TPR2|TTA2|OBE2|TTA1,-2.9
WS_c1_which_mclass____5___1_,KEGG Pathway,24,ath04016,MAPK signaling pathway - plant,,-5.3,6.2,6.6,18982,129,239,10,4.2,1.3,817245|818411|823492|824214|828151|828714|829480|834842|837637|842248,CAM5|PYL4|CAM7|SNRK2.2|MPK4|ABI1|BAK1|RBOHD|SNRK2.4|MPK2,-2.9
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0060321,acceptance of pollen,19_GO:0051704 multi-organism process,-5,26,10,18982,12,239,4,1.7,0.83,828060|831112|835046|841164,SEC15B|SEC10|EXO84B|SEC3A,-2.6
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0048583,regulation of response to stimulus,19_GO:0050789 regulation of biological process,-4.4,2.5,4.8,18982,762,239,24,10,1.9,817170|819969|820327|820713|820940|821705|823492|823804|824214|827641|828126|828714|830060|830556|830708|831197|833752|834892|836163|836873|837673|838883|838916|839623,GP ALPHA 1|OBE1|SPY|AT3G14840|RR1|AHP1|CAM7|PUB13|SNRK2.2|NLM1|UNE12|ABI1|AT4G39050|CIPK15|BIM1|KEG|AT5G37740|BIR1|SIZ1|CKA1|MLO2|GI|PIN7|LCR,-2.2
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0048193,Golgi vesicle transport,19_GO:0051179 localization,-4.4,5,5.7,18982,160,239,10,4.2,1.3,819069|819959|826411|828060|828587|833947|835046|836733|838792|840065,RAB6A|p24beta2|AT4G08520|SEC15B|AT4G24840|SGR4|EXO84B|ATGRIP|p24delta5|AT1G31780,-2.2
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0048508,embryonic meristem development,19_GO:0022414 reproductive process,-4.4,13,7.4,18982,31,239,5,2.1,0.93,819969|820936|834868|836269|837381,OBE1|TPR2|OBE2|PXY|AT1G08590,-2.1
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:1905392,plant organ morphogenesis,19_GO:0032501 multicellular organismal process,-4.3,3,4.9,18982,444,239,17,7.1,1.7,816961|817403|819969|819979|820940|826983|829597|831809|832196|832658|834868|835421|835689|835702|836878|839623|844105,LRL1|RAP2.7|OBE1|SCN1|RR1|AMT1;1|AGB1|EXO70A1|NPH4|IAA28|OBE2|BOB1|D6PK|AT5G56040|LBD37|LCR|LAX3,-2.1
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0080022,primary root development,19_GO:0032501 multicellular organismal process,-4.3,12,7.2,18982,33,239,5,2.1,0.93,819969|820940|834868|835177|837637,OBE1|RR1|OBE2|SDHAF2|SNRK2.4,-2
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0009737,response to abscisic acid,19_GO:0050896 response to stimulus,-4.2,2.7,4.7,18982,589,239,20,8.4,1.8,817170|818411|821198|824214|824920|824956|826476|826983|828151|828714|829547|829676|830556|831197|831765|833752|836163|837414|837637|839621,GP ALPHA 1|PYL4|AT3G02880|SNRK2.2|CPK32|SCE1|FBW2|AMT1;1|MPK4|ABI1|ABF3|BSK1|CIPK15|KEG|SR1|AT5G37740|SIZ1|ERD6|SNRK2.4|HK3,-2
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0097305,response to alcohol,19_GO:0050896 response to stimulus,-4.2,2.7,4.7,18982,593,239,20,8.4,1.8,817170|818411|821198|824214|824920|824956|826476|826983|828151|828714|829547|829676|830556|831197|831765|833752|836163|837414|837637|839621,GP ALPHA 1|PYL4|AT3G02880|SNRK2.2|CPK32|SCE1|FBW2|AMT1;1|MPK4|ABI1|ABF3|BSK1|CIPK15|KEG|SR1|AT5G37740|SIZ1|ERD6|SNRK2.4|HK3,-2
WS_c1_which_mclass____5___1_,GO Biological Processes,19,GO:0006904,vesicle docking involved in exocytosis,19_GO:0051179 localization,-4.1,17,7.7,18982,19,239,4,1.7,0.83,823749|824529|828060|837791,RABE1c|RAB8|SEC15B|KEU,-1.9
