_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-21.35451394910525,GO:0046686,M1,1,0,GO Biological Processes,19,response to cadmium ion,19_GO:0050896 response to stimulus,-21.35451394910525,3.569304240088815,12.112739433929097,18982,319,1217,73,5.99835661462613,0.6806730799222195,816664|816954|817014|817648|817784|818751|818978|819011|819042|820102|820356|820499|820816|820984|821160|821784|821861|821870|821983|822117|823955|824465|824530|824612|824930|825246|826624|826738|826765|826975|827039|827145|827837|827931|828363|828409|828531|829025|829246|829330|829697|829943|830626|830635|830726|830919|830986|831039|831462|832806|834169|835769|836546|837023|837330|837731|837733|837863|838301|838927|839503|839789|839866|840476|841221|841442|841868|842681|842697|842763|843185|844224|844333,AT2G21250|LAP1|ARF3|ASP1|AT2G32240|SFGH|OASB|AT2G44060|ATCS|AT3G09440|AT3G11830|SERAT2;2|PLDALPHA1|mtLPD2|AT3G02530|POP2|APS1|PKP-ALPHA|HSP60|ROF1|ALDH2B4|AT3G52990|PPa4|AT3G54470|ADSS|AT3G60750|AT4G10320|RHA1B|GPX6|IIL1|SBP1|OASA1|TUB9|GSTF2|HIP1|GSH1|cpHsc70-1|RPT2a|AT4G31180|ASP5|AKR2|PCK1|Tudor1|GDH2|AT5G08300|AT5G10540|UAP56a|NADP-ME2|GRF5|AT5G27470|AT5G41670|SYNC1|AT5G64250|RA-5|AT1G08110|GLX1|AT1G11860|PBE1|AlaAT1|PGM3|MAC3A|ATS9|AT1G29880|ANNAT1|mtLPD1|ALATS|EIF4A-2|AT1G63770|MDAR6|ABCF3|XYL1|UBC35|HSP91,-17.551193425526495,0,1,1,1,-21.35451394910525,3.569304240088815,
1,-19.381498392679294,GO:0010038,M1,1,0,GO Biological Processes,19,response to metal ion,19_GO:0050896 response to stimulus,-19.381498392679294,2.9859831071827787,11.08301252396273,18982,444,1217,85,6.9843878389482335,0.730628836441087,816664|816954|817014|817648|817784|817940|818751|818978|819011|819042|819293|819963|820102|820356|820499|820816|820984|821160|821784|821861|821870|821983|822112|822117|823955|824355|824465|824530|824612|824930|825246|826624|826738|826765|826975|827039|827145|827773|827837|827931|828363|828409|828531|828764|829025|829246|829330|829697|829943|829978|830626|830635|830726|830843|830919|830986|831039|831219|831462|832806|834169|834489|835769|836546|837023|837330|837731|837733|837863|838217|838301|838927|839503|839789|839866|840476|841221|841442|841868|842681|842697|842763|843185|844224|844333,AT2G21250|LAP1|ARF3|ASP1|AT2G32240|CUTA|SFGH|OASB|AT2G44060|ATCS|ZAT|AT3G07720|AT3G09440|AT3G11830|SERAT2;2|PLDALPHA1|mtLPD2|AT3G02530|POP2|APS1|PKP-ALPHA|HSP60|AT3G25190|ROF1|ALDH2B4|CAM9|AT3G52990|PPa4|AT3G54470|ADSS|AT3G60750|AT4G10320|RHA1B|GPX6|IIL1|SBP1|OASA1|PCAP1|TUB9|GSTF2|HIP1|GSH1|cpHsc70-1|CBL3|RPT2a|AT4G31180|ASP5|AKR2|PCK1|AQI|Tudor1|GDH2|AT5G08300|AT5G09830|AT5G10540|UAP56a|NADP-ME2|ZIF1|GRF5|AT5G27470|AT5G41670|MAP18|SYNC1|AT5G64250|RA-5|AT1G08110|GLX1|AT1G11860|PBE1|PAB1|AlaAT1|PGM3|MAC3A|ATS9|AT1G29880|ANNAT1|mtLPD1|ALATS|EIF4A-2|AT1G63770|MDAR6|ABCF3|XYL1|UBC35|HSP91,-15.87920786476452,0,1,0,0,-21.35451394910525,3.569304240088815,
1,-15.23821073677913,ath03040,M1,1,0,KEGG Pathway,24,Spliceosome,,-15.23821073677913,3.83809642628212,10.317895190125538,18982,191,1217,47,3.8619556285949055,0.5523393601411153,814913|817576|817897|817938|818186|818311|819377|820102|820323|820510|820559|821116|824230|824518|824712|825150|825359|827792|828163|828333|828531|829285|829732|829822|830123|831923|834293|834945|835279|836117|836541|837131|837228|837505|837506|838690|838714|838997|839262|839503|839526|839657|843763|843963|844021|844055|844347,EMB2816|U2B''|MAC3B|AT2G33730|AT2G36130|RS2Z33|AT2G47640|AT3G09440|AT3G11500|EMB2769|SCL30A|DRH1|U1-70K|RS2Z32|SCL30|LSM6A|RS31|smB|AT4G02840|AT4G22380|cpHsc70-1|RSZ22|AT4G35785|ATU2AF65A|AT4G39680|AT5G02530|U2AF35B|SAD1|RS41|AT5G59950|SC35|MEE5|AT1G07170|U2A'|CDC5|emb1507|LSM3A|RSZ21|SR34|MAC3A|LSM2|ATU2AF35A|GR-RBP5|SmD3|LSM3B|SKIP|SUS2,-12.036950204528338,0,2,1,1,-15.23821073677913,4.82775756152913,
1,-15.23821073677913,ko03040,M1,1,0,KEGG Pathway,24,Spliceosome,,-15.23821073677913,3.83809642628212,10.317895190125538,18982,191,1217,47,3.8619556285949055,0.5523393601411153,814913|817576|817897|817938|818186|818311|819377|820102|820323|820510|820559|821116|824230|824518|824712|825150|825359|827792|828163|828333|828531|829285|829732|829822|830123|831923|834293|834945|835279|836117|836541|837131|837228|837505|837506|838690|838714|838997|839262|839503|839526|839657|843763|843963|844021|844055|844347,EMB2816|U2B''|MAC3B|AT2G33730|AT2G36130|RS2Z33|AT2G47640|AT3G09440|AT3G11500|EMB2769|SCL30A|DRH1|U1-70K|RS2Z32|SCL30|LSM6A|RS31|smB|AT4G02840|AT4G22380|cpHsc70-1|RSZ22|AT4G35785|ATU2AF65A|AT4G39680|AT5G02530|U2AF35B|SAD1|RS41|AT5G59950|SC35|MEE5|AT1G07170|U2A'|CDC5|emb1507|LSM3A|RSZ21|SR34|MAC3A|LSM2|ATU2AF35A|GR-RBP5|SmD3|LSM3B|SKIP|SUS2,-12.036950204528338,0,2,0,0,-15.23821073677913,4.82775756152913,
1,-8.208254275690976,GO:0000398,M1,1,0,GO Biological Processes,19,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-8.208254275690976,2.764988421603048,6.891850739550983,18982,220,1217,39,3.2046014790468367,0.5048578127198147,814913|817576|817897|817938|818311|819377|820323|820510|820559|824230|824518|824712|825359|827792|828163|828333|829285|829822|834293|834945|835279|836350|836541|837131|837228|837505|838230|838690|838714|838997|839262|839314|839503|839526|839657|843963|844021|844055|844347,EMB2816|U2B''|MAC3B|AT2G33730|RS2Z33|AT2G47640|AT3G11500|EMB2769|SCL30A|U1-70K|RS2Z32|SCL30|RS31|smB|AT4G02840|AT4G22380|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|AT1G07170|U2A'|SR45|emb1507|LSM3A|RSZ21|SR34|PRP39|MAC3A|LSM2|ATU2AF35A|SmD3|LSM3B|SKIP|SUS2,-5.882055006831885,0,2,0,0,-15.23821073677913,4.82775756152913,
1,-7.896713154927233,GO:0000375,M1,1,0,GO Biological Processes,19,"RNA splicing, via transesterification reactions",19_GO:0008152 metabolic process,-7.896713154927233,2.6208696472109594,6.66965873892473,18982,244,1217,41,3.3689400164338537,0.5172014358385008,814913|817576|817897|817938|818311|819377|820323|820510|820559|821983|824230|824518|824712|825359|827792|828163|828333|829285|829822|834293|834945|835279|836350|836541|837131|837228|837505|838230|838690|838714|838948|838997|839262|839314|839503|839526|839657|843963|844021|844055|844347,EMB2816|U2B''|MAC3B|AT2G33730|RS2Z33|AT2G47640|AT3G11500|EMB2769|SCL30A|HSP60|U1-70K|RS2Z32|SCL30|RS31|smB|AT4G02840|AT4G22380|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|AT1G07170|U2A'|SR45|emb1507|LSM3A|CAF2|RSZ21|SR34|PRP39|MAC3A|LSM2|ATU2AF35A|SmD3|LSM3B|SKIP|SUS2,-5.624871548390734,0,2,0,0,-15.23821073677913,4.82775756152913,
1,-7.896713154927233,GO:0000377,M1,1,0,GO Biological Processes,19,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-7.896713154927233,2.6208696472109594,6.66965873892473,18982,244,1217,41,3.3689400164338537,0.5172014358385008,814913|817576|817897|817938|818311|819377|820323|820510|820559|821983|824230|824518|824712|825359|827792|828163|828333|829285|829822|834293|834945|835279|836350|836541|837131|837228|837505|838230|838690|838714|838948|838997|839262|839314|839503|839526|839657|843963|844021|844055|844347,EMB2816|U2B''|MAC3B|AT2G33730|RS2Z33|AT2G47640|AT3G11500|EMB2769|SCL30A|HSP60|U1-70K|RS2Z32|SCL30|RS31|smB|AT4G02840|AT4G22380|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|AT1G07170|U2A'|SR45|emb1507|LSM3A|CAF2|RSZ21|SR34|PRP39|MAC3A|LSM2|ATU2AF35A|SmD3|LSM3B|SKIP|SUS2,-5.624871548390734,0,2,0,0,-15.23821073677913,4.82775756152913,
1,-7.066185582227364,GO:0006397,M1,1,0,GO Biological Processes,19,mRNA processing,19_GO:0008152 metabolic process,-7.066185582227364,2.3144485381822038,6.107327975975395,18982,310,1217,46,3.7797863599013968,0.546665285450686,814913|816197|817576|817897|817938|818311|819377|820323|820510|820559|824230|824518|824712|825359|827792|828163|828333|828660|829285|829822|830626|834293|834790|834945|835279|836350|836436|836487|836541|837131|837228|837505|838230|838495|838690|838714|838997|839262|839314|839503|839526|839657|843963|844021|844055|844347,EMB2816|AT2G16940|U2B''|MAC3B|AT2G33730|RS2Z33|AT2G47640|AT3G11500|EMB2769|SCL30A|U1-70K|RS2Z32|SCL30|RS31|smB|AT4G02840|AT4G22380|AT4G25550|RSZ22|ATU2AF65A|Tudor1|U2AF35B|AT5G47430|SAD1|RS41|AT5G62290|AT5G63150|SPT42|SC35|MEE5|AT1G07170|U2A'|SR45|LSM1A|emb1507|LSM3A|RSZ21|SR34|PRP39|MAC3A|LSM2|ATU2AF35A|SmD3|LSM3B|SKIP|SUS2,-4.906317735134797,0,2,0,0,-15.23821073677913,4.82775756152913,
1,-6.809289766511092,GO:0008380,M1,1,0,GO Biological Processes,19,RNA splicing,19_GO:0008152 metabolic process,-6.809289766511092,2.318528059694863,5.984106133763623,18982,296,1217,44,3.61544782251438,0.5351055765509913,814913|817576|817897|817938|818311|819377|820323|820510|820559|821983|824230|824514|824518|824712|825359|827792|828163|828333|829285|829822|830322|834293|834945|835279|836350|836541|837131|837228|837505|838230|838690|838714|838948|838997|839262|839314|839503|839526|839657|840918|843963|844021|844055|844347,EMB2816|U2B''|MAC3B|AT2G33730|RS2Z33|AT2G47640|AT3G11500|EMB2769|SCL30A|HSP60|U1-70K|CP29|RS2Z32|SCL30|RS31|smB|AT4G02840|AT4G22380|RSZ22|ATU2AF65A|BTR1L|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|AT1G07170|U2A'|SR45|emb1507|LSM3A|CAF2|RSZ21|SR34|PRP39|MAC3A|LSM2|ATU2AF35A|PTB3|SmD3|LSM3B|SKIP|SUS2,-4.7135394190302735,0,2,0,0,-15.23821073677913,4.82775756152913,
1,-5.890770708451318,GO:0045292,M1,1,0,GO Biological Processes,19,"mRNA cis splicing, via spliceosome",19_GO:0008152 metabolic process,-5.890770708451318,4.82775756152913,6.499819684018442,18982,42,1217,13,1.0682004930156122,0.294678908312659,817576|818311|820510|820559|824518|824712|825359|829285|835279|836541|838997|839262|839314,U2B''|RS2Z33|EMB2769|SCL30A|RS2Z32|SCL30|RS31|RSZ22|RS41|SC35|RSZ21|SR34|PRP39,-3.893630158856451,0,2,0,0,-15.23821073677913,4.82775756152913,
