TAIR,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS,Log2fc_.leaf_FLT.v.leaf_GC.,Log2fc_.leaf_FLT.v.root_FLT.,Log2fc_.leaf_FLT.v.root_GC.,Log2fc_.leaf_GC.v.root_FLT.,Log2fc_.leaf_GC.v.root_GC.,Log2fc_.root_FLT.v.root_GC.,Log2fc_.leaf_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G01010,ANAC001,NA,NM_099983,839580,3702.AT1G01010.1,NA,-1.714828122,0.141624456,-1.699198104,1.856452578,0.015630018,-1.84082256,1.714828122,-0.141624456,1.699198104,-1.856452578,-0.015630018,1.84082256
AT1G01030,NGA3,NA,NM_001331244,839321,3702.AT1G01030.1,NA,1.877495884,-0.483121339,2.250991661,-2.360617224,0.373495776,2.734113,-1.877495884,0.483121339,-2.250991661,2.360617224,-0.373495776,-2.734113
AT1G01110,IQD18,NA,NM_001123732,839394,3702.AT1G01110.2,NA,-0.815693153,0.445781375,-0.836414829,1.261474528,-0.020721676,-1.282196204,0.815693153,-0.445781375,0.836414829,-1.261474528,0.020721676,1.282196204
AT1G01190,CYP78A8,member of CYP78A,NM_001331253,839233,3702.AT1G01190.1,"GO:0003824, GO:0008152, GO:0009058, GO:0016491, GO:0019748",-3.40234156,0.439002129,-2.807780404,3.841343689,0.594561156,-3.246782533,3.40234156,-0.439002129,2.807780404,-3.841343689,-0.594561156,3.246782533
AT1G01225,NA,NA,NM_100005,839358,NA,NA,-1.128355872,-0.132233222,-1.137363079,0.99612265,-0.009007207,-1.005129857,1.128355872,0.132233222,1.137363079,-0.99612265,0.009007207,1.005129857
AT1G01340,ACBK1,member of Cyclic nucleotide gated channel family,NM_001197956,838832,3702.AT1G01340.2,NA,-1.01269467,0.385779742,-1.255445833,1.398474412,-0.242751164,-1.641225575,1.01269467,-0.385779742,1.255445833,-1.398474412,0.242751164,1.641225575
AT1G01370,CENH3,Encodes a centromere-identifying  protein histone H3 variant. Localized at centromeres in both mitotic and  meiotic cells.,NM_001035850,839104,3702.AT1G01370.1,"GO:0003676, GO:0003677, GO:0005488, GO:0006139, GO:0008152, GO:0009987, GO:0044238",-0.280227255,0.142566779,-0.296648857,0.422794034,-0.016421602,-0.439215637,0.280227255,-0.142566779,0.296648857,-0.422794034,0.016421602,0.439215637
AT1G01390,NA,NA,NM_001331273,837790,NA,"GO:0003824, GO:0005622, GO:0008152, GO:0016740, GO:0016757, GO:0043226, GO:0044464",7.138572207,-0.313909215,8.025461273,-7.452481422,0.886889066,8.339370488,-7.138572207,0.313909215,-8.025461273,7.452481422,-0.886889066,-8.339370488
AT1G01450,NA,NA,NM_100027,837060,NA,NA,0.65780557,0.437530694,0.869363104,-0.220274876,0.211557534,0.43183241,-0.65780557,-0.437530694,-0.869363104,0.220274876,-0.211557534,-0.43183241
AT1G01560,ATMPK11,member of MAP Kinase,NM_001123738,839523,3702.AT1G01560.2,"GO:0003824, GO:0004672, GO:0006464, GO:0006468, GO:0006950, GO:0007049, GO:0008152, GO:0009987, GO:0016301, GO:0016740, GO:0019538, GO:0044238, GO:0050896",4.885949224,1.536903848,3.985008425,-3.349045376,-0.900940799,2.448104577,-4.885949224,-1.536903848,-3.985008425,3.349045376,0.900940799,-2.448104577
AT1G01570,NA,NA,NM_001331283,837183,NA,"GO:0003824, GO:0016740, GO:0016757, GO:0008152",-1.613229447,0.197686573,-1.69078897,1.81091602,-0.077559523,-1.888475543,1.613229447,-0.197686573,1.69078897,-1.81091602,0.077559523,1.888475543
AT1G01580,ATFRO2,"Encodes the low-iron-inducible ferric chelate reductase responsible for reduction of iron at the root surface.  It is likely to be the major Fe(III) chelate reductase in Arabidopsis iron metabolism.  Coordinately regulated with IRT1, the major transporter responsible for high-affinity iron uptake from the soil, at both transcriptional and posttranscriptional levels. Steady state mRNA levels are regulated by several metals.  Its transcription is regulated by FIT1.",NM_001331284,839411,3702.AT1G01580.1,NA,-1.914889235,-0.229079941,-1.325272997,1.685809294,0.589616238,-1.096193056,1.914889235,0.229079941,1.325272997,-1.685809294,-0.589616238,1.096193056
AT1G01590,ATFRO1,Encodes a ferric-chelate reductase that is expressed at extremely low levels in Fe deficiency-induced seedlings.,NM_100041,837194,3702.AT1G01590.1,NA,2.6058343,0.117078464,3.377244286,-2.488755836,0.771409986,3.260165822,-2.6058343,-0.117078464,-3.377244286,2.488755836,-0.771409986,-3.260165822
AT1G01640,NA,"Putative role in flower development.  Comparison of SALK_011721C to Columbia wild type resulted in a trend toward earlier flowering in the mutant (P=0.1) (Stapleton and Woodruff 2009, personal communication).",NM_001331285,839534,NA,"GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006464, GO:0006508, GO:0008152, GO:0009056, GO:0009987, GO:0019538, GO:0032991, GO:0043234, GO:0044238, GO:0044464, GO:0050789, GO:0065007",-2.694681887,0.906073283,-2.385863255,3.60075517,0.308818632,-3.291936538,2.694681887,-0.906073283,2.385863255,-3.60075517,-0.308818632,3.291936538
AT1G01660,NA,NA,NM_001331288,839461,NA,NA,-1.631145514,-0.690622926,-1.603725847,0.940522588,0.027419666,-0.913102922,1.631145514,0.690622926,1.603725847,-0.940522588,-0.027419666,0.913102922
AT1G01670,NA,NA,NM_001331289,839365,NA,NA,0.063853694,-0.015773591,0.208601454,-0.079627285,0.14474776,0.224375045,-0.063853694,0.015773591,-0.208601454,0.079627285,-0.14474776,-0.224375045
AT1G01690,ATPRD3,Encodes a novel plant-specific protein that is involved in meiotic double strand break formation.,NM_001331291,839243,3702.AT1G01690.1,NA,0.079053521,0.522300615,0.103497528,0.443247093,0.024444007,-0.418803086,-0.079053521,-0.522300615,-0.103497528,-0.443247093,-0.024444007,0.418803086
AT1G01725,NA,NA,NM_100055,839271,NA,NA,0.430690856,0.107704466,0.804333092,-0.32298639,0.373642236,0.696628626,-0.430690856,-0.107704466,-0.804333092,0.32298639,-0.373642236,-0.696628626
AT1G01740,BSK4,NA,NM_001197957,839253,3702.AT1G01740.1,NA,0.113426907,0.009153428,0.243461678,-0.104273478,0.130034771,0.23430825,-0.113426907,-0.009153428,-0.243461678,0.104273478,-0.130034771,-0.23430825
AT1G01760,AtTAD1,NA,NM_001331304,839252,NA,"GO:0003676, GO:0003677, GO:0003723, GO:0003824, GO:0005488, GO:0005515, GO:0006139, GO:0006144, GO:0006403, GO:0007049, GO:0008047, GO:0008152, GO:0009987, GO:0016787, GO:0019207, GO:0019209, GO:0019239, GO:0019538, GO:0030234, GO:0044238, GO:0050896, GO:0051179",-0.079042603,-0.174779371,-0.012407646,-0.095736768,0.066634957,0.162371725,0.079042603,0.174779371,0.012407646,0.095736768,-0.066634957,-0.162371725
AT1G01840,NA,NA,NM_100067,839291,NA,NA,-0.084696688,0.085026995,-0.027980453,0.169723683,0.056716235,-0.113007448,0.084696688,-0.085026995,0.027980453,-0.169723683,-0.056716235,0.113007448
AT1G01880,NA,NA,NM_001197958,837373,NA,"GO:0003676, GO:0003677, GO:0003684, GO:0003697, GO:0003824, GO:0004518, GO:0004520, GO:0004529, GO:0005488, GO:0006139, GO:0006259, GO:0006260, GO:0006281, GO:0007049, GO:0008152, GO:0009987, GO:0016787, GO:0016788, GO:0044238, NA",1.086771126,0.34082202,1.02474628,-0.745949106,-0.062024847,0.68392426,-1.086771126,-0.34082202,-1.02474628,0.745949106,0.062024847,-0.68392426
AT1G02050,LAP6,NA,NM_100085,839280,3702.AT1G02050.1,"GO:0003824, GO:0006629, GO:0006732, GO:0008152, GO:0008202, GO:0008203, GO:0016740, GO:0016829, GO:0044238",-0.605869962,-0.067717854,-0.611885989,0.538152108,-0.006016027,-0.544168135,0.605869962,0.067717854,0.611885989,-0.538152108,0.006016027,0.544168135
AT1G02180,NA,NA,NM_100098,839543,NA,NA,0.473764153,-0.021083145,0.940557454,-0.494847299,0.466793301,0.9616406,-0.473764153,0.021083145,-0.940557454,0.494847299,-0.466793301,-0.9616406
AT1G02260,NA,NA,NM_001331329,839344,NA,"GO:0005215, GO:0006810, GO:0016020, GO:0016021, GO:0051179",-0.004865195,0.021297295,-0.165822792,0.026162489,-0.160957597,-0.187120086,0.004865195,-0.021297295,0.165822792,-0.026162489,0.160957597,0.187120086
AT1G02335,GL22,NA,NM_001083981,3766642,3702.AT1G02335.1,"GO:0003824, GO:0005618, GO:0006810, GO:0006950, GO:0008152, GO:0009987, GO:0016829, GO:0016831, GO:0030054, GO:0030312, GO:0032501, GO:0032502, GO:0044464, GO:0044707, GO:0048731, GO:0050789, GO:0050896, GO:0051179, GO:0065007, NA",-1.233708592,0.089551235,-0.961272324,1.323259827,0.272436268,-1.050823559,1.233708592,-0.089551235,0.961272324,-1.323259827,-0.272436268,1.050823559
AT1G02340,FBI1,"Encodes a light-inducible, nuclear bHLH protein involved in phytochrome signaling. Mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses. Mutants also show blue light response defects. HFR1 interacts with COP1, co-localizes to the nuclear specks and is ubiquinated by COP1.",NM_001331332,839300,3702.AT1G02340.1,NA,-1.105237654,-0.220978413,-1.015253088,0.884259242,0.089984566,-0.794274675,1.105237654,0.220978413,1.015253088,-0.884259242,-0.089984566,0.794274675
AT1G02380,NA,NA,NM_100119,837745,NA,NA,-0.10943136,0.04935949,0.862131069,0.15879085,0.971562429,0.812771579,0.10943136,-0.04935949,-0.862131069,-0.15879085,-0.971562429,-0.812771579
AT1G02400,ATGA2OX4,Encodes a gibberellin 2-oxidase that acts on C19 gibberellins but not C20 gibberellins.,NM_001331335,839508,3702.AT1G47990.1,NA,-1.016613711,0.222369186,-1.203793198,1.238982897,-0.187179487,-1.426162384,1.016613711,-0.222369186,1.203793198,-1.238982897,0.187179487,1.426162384
AT1G02420,NA,NA,NM_100123,837779,NA,"GO:0003676, GO:0003723, GO:0003824, GO:0004672, GO:0004675, GO:0004872, GO:0005215, GO:0005488, GO:0006464, GO:0006468, GO:0006810, GO:0006886, GO:0008152, GO:0015031, GO:0016301, GO:0016740, GO:0019199, GO:0019538, GO:0022857, GO:0044238, GO:0051179",-0.098248488,-0.069460682,-0.199551209,0.028787806,-0.101302721,-0.130090527,0.098248488,0.069460682,0.199551209,-0.028787806,0.101302721,0.130090527
AT1G02460,NA,NA,NM_100127,839443,NA,NA,-1.451026554,-0.302553388,-1.56861938,1.148473167,-0.117592825,-1.266065992,1.451026554,0.302553388,1.56861938,-1.148473167,0.117592825,1.266065992
AT1G02610,NA,NA,NM_001331346,837915,NA,"GO:0003824, GO:0004842, GO:0006508, GO:0008152, GO:0016874, GO:0019538, GO:0044238",2.734346172,2.106625121,2.62343,-0.62772105,-0.110916172,0.516804879,-2.734346172,-2.106625121,-2.62343,0.62772105,0.110916172,-0.516804879
AT1G02650,NA,NA,NM_001331349,837951,NA,"GO:0006457, GO:0006950, GO:0008152, GO:0019538, GO:0044238, GO:0050896",2.340758772,0.69517109,1.615537213,-1.645587682,-0.72522156,0.920366122,-2.340758772,-0.69517109,-1.615537213,1.645587682,0.72522156,-0.920366122
AT1G02670,NA,NA,NM_001331350,839532,NA,NA,0.080899582,0.289701407,-0.089113653,0.208801825,-0.170013235,-0.378815061,-0.080899582,-0.289701407,0.089113653,-0.208801825,0.170013235,0.378815061
AT1G02680,TAF13,NA,NM_100148,837962,3702.AT1G02680.1,"GO:0000988, GO:0000989, GO:0003676, GO:0003677, GO:0003712, GO:0005488, GO:0005515, GO:0005622, GO:0005634, GO:0005654, GO:0006139, GO:0006351, GO:0006357, GO:0006366, GO:0006807, GO:0008152, GO:0009058, GO:0009987, GO:0016070, GO:0019219, GO:0032991, GO:0043226, GO:0043234, GO:0044238, GO:0044464, GO:0050789, GO:0065007",0.29413907,0.216402048,0.341540335,-0.077737022,0.047401265,0.125138287,-0.29413907,-0.216402048,-0.341540335,0.077737022,-0.047401265,-0.125138287
AT1G02810,NA,NA,NM_100160,838078,NA,"GO:0003824, GO:0004857, GO:0008152, GO:0016787, GO:0016788, GO:0030234, GO:0044464, GO:0050789, GO:0050790, GO:0065007, GO:0065009",-4.826979191,-0.055777834,-5.105996869,4.771201357,-0.279017678,-5.050219035,4.826979191,0.055777834,5.105996869,-4.771201357,0.279017678,5.050219035
AT1G02900,ATRALF1,"Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide. Mediates  Ca2+-dependent signaling.",NM_100171,839389,3702.AT1G02900.1,"GO:0004871, GO:0007154, GO:0007165, GO:0009987, GO:0019722, GO:0030054, GO:0035556, GO:0050789, GO:0050896, GO:0065007",-4.570178571,1.028112121,-4.386168409,5.598290692,0.184010162,-5.41428053,4.570178571,-1.028112121,4.386168409,-5.598290692,-0.184010162,5.41428053
AT1G02950,ATGSTF4,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,NM_001035860,838240,3702.AT2G30870.1,NA,-2.33568535,-0.397687063,-2.523465771,1.937998287,-0.18778042,-2.125778708,2.33568535,0.397687063,2.523465771,-1.937998287,0.18778042,2.125778708
AT1G02970,ATWEE1,Protein kinase that negatively regulates the entry into mitosis.,NM_100178,839453,3702.AT1G02970.1,"GO:0003824, GO:0004672, GO:0006412, GO:0006464, GO:0006468, GO:0006950, GO:0007049, GO:0008152, GO:0009987, GO:0016301, GO:0016740, GO:0019538, GO:0044238, GO:0050896",-0.05956475,0.203529347,-0.042639853,0.263094098,0.016924898,-0.2461692,0.05956475,-0.203529347,0.042639853,-0.263094098,-0.016924898,0.2461692
AT1G03010,NA,NA,NM_001331377,839556,NA,NA,-1.106724355,0.235268697,-1.044736054,1.341993051,0.061988301,-1.28000475,1.106724355,-0.235268697,1.044736054,-1.341993051,-0.061988301,1.28000475
AT1G03100,NA,NA,NM_100192,839573,NA,"GO:0003676, GO:0003723, GO:0003824, GO:0004672, GO:0004872, GO:0005215, GO:0005488, GO:0006464, GO:0006468, GO:0006810, GO:0006886, GO:0008152, GO:0015031, GO:0016301, GO:0016740, GO:0019199, GO:0019538, GO:0022857, GO:0044238, GO:0051179",-0.028355826,0.060407473,-0.131397474,0.088763299,-0.103041648,-0.191804947,0.028355826,-0.060407473,0.131397474,-0.088763299,0.103041648,0.191804947
AT1G03170,FAF2,NA,NM_100199,839563,3702.AT1G03170.1,NA,0.994943344,-0.412350064,0.955085251,-1.407293408,-0.039858093,1.367435315,-0.994943344,0.412350064,-0.955085251,1.407293408,0.039858093,-1.367435315
