TAIR,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS,Log2fc_.leaf_FLT.v.leaf_GC.,Log2fc_.leaf_FLT.v.root_FLT.,Log2fc_.leaf_FLT.v.root_GC.,Log2fc_.leaf_GC.v.root_FLT.,Log2fc_.leaf_GC.v.root_GC.,Log2fc_.root_FLT.v.root_GC.,Log2fc_.leaf_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G01800,NA,NA,NM_001083973,839259,NA,"GO:0003824, GO:0006629, GO:0008152, GO:0008202, GO:0016491, GO:0044238",0.376858503,0.145122761,0.452111697,-0.231735742,0.075253194,0.306988936,-0.376858503,-0.145122761,-0.452111697,0.231735742,-0.075253194,-0.306988936
AT1G02120,VAD1,"Encodes VAD1 (Vascular Associated Death1), a regulator of cell death and defense responses in vascular tissues.  VAD1 is a putative membrane associated protein and contains a GRAM domain.  vad1 is a lesion mimic mutant that exhibits light conditional appearance of propagative HR (hypersensitive response)-like lesions along the vascular system.",NM_001331325,839232,3702.AT1G02120.1,NA,0.253970295,0.15514158,0.311277933,-0.098828715,0.057307638,0.156136353,-0.253970295,-0.15514158,-0.311277933,0.098828715,-0.057307638,-0.156136353
AT1G02140,HAP1,NA,NM_100094,837560,3702.AT1G02140.1,"GO:0005622, GO:0005634, GO:0006139, GO:0006807, GO:0008152, GO:0008380, GO:0009987, GO:0016070, GO:0032991, GO:0043226, GO:0043234, GO:0044238, GO:0044464",0.116571591,-0.00406875,0.235815642,-0.120640341,0.119244051,0.239884393,-0.116571591,0.00406875,-0.235815642,0.120640341,-0.119244051,-0.239884393
AT1G02305,NA,NA,NM_100111,839538,NA,"GO:0003824, GO:0005576, GO:0005615, GO:0005622, GO:0005737, GO:0005764, GO:0005773, GO:0006508, GO:0008152, GO:0008233, GO:0008234, GO:0009056, GO:0009987, GO:0016787, GO:0019538, GO:0043226, GO:0044238, GO:0044464",0.07245653,0.155811066,0.265573102,0.083354535,0.193116572,0.109762036,-0.07245653,-0.155811066,-0.265573102,-0.083354535,-0.193116572,-0.109762036
AT1G02730,ATCSLD5,"Encodes a gene similar to cellulose synthase. Knock-out mutant has reduced growth, reduced xylan level and reduced xylan synthase activity in stems.",NM_100153,839467,3702.AT1G02730.1,NA,0.304381751,0.062413885,0.169010917,-0.241967866,-0.135370833,0.106597033,-0.304381751,-0.062413885,-0.169010917,0.241967866,0.135370833,-0.106597033
AT1G02900,ATRALF1,"Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide. Mediates  Ca2+-dependent signaling.",NM_100171,839389,3702.AT1G02900.1,"GO:0004871, GO:0007154, GO:0007165, GO:0009987, GO:0019722, GO:0030054, GO:0035556, GO:0050789, GO:0050896, GO:0065007",-4.570178571,1.028112121,-4.386168409,5.598290692,0.184010162,-5.41428053,4.570178571,-1.028112121,4.386168409,-5.598290692,-0.184010162,5.41428053
AT1G03380,ATATG18G,NA,NM_100220,838702,3702.AT1G03380.1,"GO:0005622, GO:0005737, GO:0006810, GO:0006950, GO:0009605, GO:0016192, GO:0044464, GO:0050896, GO:0051179",-0.243575939,-0.029659614,-0.26664915,0.213916325,-0.023073211,-0.236989536,0.243575939,0.029659614,0.26664915,-0.213916325,0.023073211,0.236989536
AT1G04440,CKL13,NA,NM_100324,839520,3702.AT1G04440.1,"GO:0003824, GO:0004672, GO:0005622, GO:0005634, GO:0005737, GO:0006464, GO:0006468, GO:0006796, GO:0006810, GO:0006897, GO:0007154, GO:0007165, GO:0007166, GO:0008152, GO:0009653, GO:0009987, GO:0016043, GO:0016192, GO:0016301, GO:0016740, GO:0019538, GO:0032502, GO:0032989, GO:0043226, GO:0044238, GO:0044464, GO:0050789, GO:0050896, GO:0051179, GO:0065007, GO:0071840",-0.51926058,0.095004898,-0.562202341,0.614265479,-0.042941761,-0.657207239,0.51926058,-0.095004898,0.562202341,-0.614265479,0.042941761,0.657207239
AT1G04510,MAC3A,"Encodes MAC3A, a U-box proteins with homology to the yeast and human E3 ubiquitin ligase Prp19.  Associated with the MOS4-Associated Complex (MAC).  Involved in plant innate immunity.",NM_001035881,839503,3702.AT1G04510.1,"GO:0000375, GO:0000398, GO:0003824, GO:0004842, GO:0005622, GO:0005634, GO:0006139, GO:0006397, GO:0006464, GO:0006807, GO:0008152, GO:0008380, GO:0009987, GO:0016043, GO:0016070, GO:0016874, GO:0019538, GO:0030529, GO:0032991, GO:0043226, GO:0043234, GO:0044085, GO:0044238, GO:0044464, GO:0071840",0.128248234,-0.057142919,0.047415439,-0.185391154,-0.080832795,0.104558359,-0.128248234,0.057142919,-0.047415439,0.185391154,0.080832795,-0.104558359
AT1G04690,KAB1,NA,NM_100349,839450,3702.AT1G04690.1,"GO:0003824, GO:0005215, GO:0005216, GO:0005244, GO:0005249, GO:0005261, GO:0006810, GO:0006811, GO:0006812, GO:0008152, GO:0008324, GO:0016491, GO:0022857, GO:0051179",0.00049721,-0.096775409,0.004255235,-0.097272619,0.003758025,0.101030644,-0.00049721,0.096775409,-0.004255235,0.097272619,-0.003758025,-0.101030644
AT1G04750,AT,"vesicle-associated membrane protein 7B (At VAMP7B) mRNA,",NM_001331498,839419,3702.AT3G07820.1,"GO:0005484, GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006810, GO:0006887, GO:0006996, GO:0009987, GO:0016020, GO:0016043, GO:0016192, GO:0031201, GO:0032991, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.33476758,0.279431785,-0.232513004,0.614199366,0.102254577,-0.511944789,0.33476758,-0.279431785,0.232513004,-0.614199366,-0.102254577,0.511944789
AT1G04780,NA,NA,NM_100356,839414,NA,NA,0.021874756,0.103108162,-0.162829904,0.081233407,-0.18470466,-0.265938066,-0.021874756,-0.103108162,0.162829904,-0.081233407,0.18470466,0.265938066
