TAIR,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS,Log2fc_.leaf_FLT.v.leaf_GC.,Log2fc_.leaf_FLT.v.root_FLT.,Log2fc_.leaf_FLT.v.root_GC.,Log2fc_.leaf_GC.v.root_FLT.,Log2fc_.leaf_GC.v.root_GC.,Log2fc_.root_FLT.v.root_GC.,Log2fc_.leaf_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G04440,CKL13,NA,NM_100324,839520,3702.AT1G04440.1,"GO:0003824, GO:0004672, GO:0005622, GO:0005634, GO:0005737, GO:0006464, GO:0006468, GO:0006796, GO:0006810, GO:0006897, GO:0007154, GO:0007165, GO:0007166, GO:0008152, GO:0009653, GO:0009987, GO:0016043, GO:0016192, GO:0016301, GO:0016740, GO:0019538, GO:0032502, GO:0032989, GO:0043226, GO:0044238, GO:0044464, GO:0050789, GO:0050896, GO:0051179, GO:0065007, GO:0071840",-0.51926058,0.095004898,-0.562202341,0.614265479,-0.042941761,-0.657207239,0.51926058,-0.095004898,0.562202341,-0.614265479,0.042941761,0.657207239
AT1G04750,AT,"vesicle-associated membrane protein 7B (At VAMP7B) mRNA,",NM_001331498,839419,3702.AT3G07820.1,"GO:0005484, GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006810, GO:0006887, GO:0006996, GO:0009987, GO:0016020, GO:0016043, GO:0016192, GO:0031201, GO:0032991, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.33476758,0.279431785,-0.232513004,0.614199366,0.102254577,-0.511944789,0.33476758,-0.279431785,0.232513004,-0.614199366,-0.102254577,0.511944789
AT1G12360,KEU,encodes a Sec1 protein and expressed throughout the plant. physically interacts with Syntaxin1 and is required for cytokinesis.,NM_101108,837791,3702.AT1G12360.1,"GO:0005215, GO:0006810, GO:0006886, GO:0006887, GO:0007041, GO:0009987, GO:0015031, GO:0016192, GO:0022857, GO:0051179",-0.234202598,0.391366577,-0.317194159,0.625569176,-0.082991561,-0.708560736,0.234202598,-0.391366577,0.317194159,-0.625569176,0.082991561,0.708560736
AT1G13980,EMB30,"Encodes a GDP/GTP exchange factor for small G-proteins of the ADP ribosylation factor (RAF) class, and as regulator of intracellular trafficking. Homologous to Sec7p and YEC2 from yeast. Involved in the specification of apical-basal pattern formation. Essential for cell division, expansion and adhesion. It appears that heteotypic binding between the DCB and C-terminal domains of two GNOM proteins is required for membrane association, however, GNOM appears to exist predominantly as a heterodimer formed through DCB-DCB interactions.",NM_001198062,837958,3702.AT1G13980.1,NA,-0.301564907,0.232589507,-0.301451317,0.534154414,0.000113591,-0.534040824,0.301564907,-0.232589507,0.301451317,-0.534154414,-0.000113591,0.534040824
AT1G17500,NA,NA,NM_001332307,838324,NA,"GO:0003824, GO:0005215, GO:0005319, GO:0005622, GO:0005886, GO:0006139, GO:0006796, GO:0006807, GO:0006810, GO:0006811, GO:0006820, GO:0006869, GO:0006996, GO:0008152, GO:0009056, GO:0009987, GO:0016020, GO:0016043, GO:0016192, GO:0016462, GO:0016787, GO:0043226, GO:0044238, GO:0044464, GO:0051179, GO:0065007, GO:0071840",-0.671098134,0.410727612,-0.783789433,1.081825747,-0.112691298,-1.194517045,0.671098134,-0.410727612,0.783789433,-1.081825747,0.112691298,1.194517045
AT1G21900,p24delta5,NA,NM_102038,838792,NA,"GO:0005622, GO:0005737, GO:0006810, GO:0006886, GO:0015031, GO:0030120, GO:0044464, GO:0051179",-0.382627846,0.061752204,-0.353029872,0.44438005,0.029597974,-0.414782077,0.382627846,-0.061752204,0.353029872,-0.44438005,-0.029597974,0.414782077
AT1G31780,NA,NA,NM_102912,840065,NA,"GO:0005622, GO:0005737, GO:0005794, GO:0006810, GO:0009987, GO:0016192, GO:0032991, GO:0043226, GO:0043234, GO:0044464, GO:0051179",-0.262500784,0.111935299,-0.276247355,0.374436083,-0.013746571,-0.388182654,0.262500784,-0.111935299,0.276247355,-0.374436083,0.013746571,0.388182654
AT1G36050,NA,NA,NM_001160922,840509,NA,NA,-0.209161788,0.209637293,-0.204975742,0.418799081,0.004186047,-0.414613034,0.209161788,-0.209637293,0.204975742,-0.418799081,-0.004186047,0.414613034
AT1G47550,SEC3A,Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.,NM_001198234,841164,3702.AT1G47550.2,"GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0005886, GO:0006810, GO:0006887, GO:0008104, GO:0008289, GO:0009987, GO:0016020, GO:0016192, GO:0032991, GO:0043234, GO:0044464, GO:0051179",-0.011451487,0.093604906,-0.06838797,0.105056392,-0.056936483,-0.161992876,0.011451487,-0.093604906,0.06838797,-0.105056392,0.056936483,0.161992876
AT1G50500,ATVPS53,encodes a member of VPS53 family protein involved in the retrograde trafficking of vesicles to the late Golgi. Mutants in this gene are more sensitive to heat and osmotic stress.,NM_001198259,841472,3702.AT1G50500.2,"GO:0005622, GO:0005737, GO:0005794, GO:0006810, GO:0009987, GO:0016023, GO:0016192, GO:0032991, GO:0043226, GO:0043234, GO:0044464, GO:0051179",0.036387751,0.193379047,-0.063309462,0.156991296,-0.099697213,-0.256688509,-0.036387751,-0.193379047,0.063309462,-0.156991296,0.099697213,0.256688509
AT1G73430,NA,NA,NM_001124123,843677,NA,"GO:0005215, GO:0005622, GO:0005737, GO:0005794, GO:0006810, GO:0006996, GO:0008104, GO:0009987, GO:0015031, GO:0016043, GO:0016192, GO:0032991, GO:0043226, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.226245264,0.057444448,-0.419245844,0.283689711,-0.19300058,-0.476690291,0.226245264,-0.057444448,0.419245844,-0.283689711,0.19300058,0.476690291
AT1G76850,SEC5A,Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.,NM_106336,844020,3702.AT1G76850.1,"GO:0005622, GO:0005737, GO:0006461, GO:0006810, GO:0006887, GO:0009987, GO:0016043, GO:0016192, GO:0032991, GO:0043234, GO:0044085, GO:0044464, GO:0051179, GO:0070271, GO:0071840, GO:0008152, GO:0019538, GO:0044238",0.252293572,0.061424363,0.081750428,-0.190869209,-0.170543144,0.020326065,-0.252293572,-0.061424363,-0.081750428,0.190869209,0.170543144,-0.020326065
AT2G01470,ATSEC12,Sec12p-like protein (GTP exchange protein) that functionally complements yeast sec12 null mutant. Protein is localized to the ER.,NM_126208,814675,3702.AT2G01470.1,"GO:0003676, GO:0003677, GO:0005488, GO:0006139, GO:0006351, GO:0006366, GO:0006520, GO:0006810, GO:0006865, GO:0008152, GO:0044238, GO:0016070, GO:0051179",-0.268208888,0.15048547,-0.303091307,0.418694358,-0.034882418,-0.453576777,0.268208888,-0.15048547,0.303091307,-0.418694358,0.034882418,0.453576777
AT2G01600,NA,NA,NM_126221,814689,NA,"GO:0005622, GO:0005737, GO:0006810, GO:0006886, GO:0006897, GO:0006898, GO:0015031, GO:0016192, GO:0030120, GO:0032991, GO:0043234, GO:0044464, GO:0051179",-0.240818952,0.164582411,-0.236729375,0.405401363,0.004089578,-0.401311786,0.240818952,-0.164582411,0.236729375,-0.405401363,-0.004089578,0.401311786
AT2G06530,VPS2.1,NA,NM_001335305,815211,3702.AT2G06530.1,"GO:0006810, GO:0006886, GO:0015031, GO:0016192, GO:0051179",0.215264571,0.055835964,0.143259972,-0.159428607,-0.072004599,0.087424008,-0.215264571,-0.055835964,-0.143259972,0.159428607,0.072004599,-0.087424008
AT2G14740,ATVSR3,Encodes a vacuolar sorting receptor that participates in vacuolar sorting in vegetative tissues and in seeds.,NM_127038,815962,3702.AT2G14740.1,NA,0.119902545,0.197089464,0.035450858,0.077186919,-0.084451687,-0.161638606,-0.119902545,-0.197089464,-0.035450858,-0.077186919,0.084451687,0.161638606
AT2G32850,NA,NA,NM_128845,817846,NA,"GO:0003824, GO:0004672, GO:0005622, GO:0005737, GO:0006464, GO:0006468, GO:0006796, GO:0006810, GO:0006897, GO:0008152, GO:0009987, GO:0016043, GO:0016192, GO:0016301, GO:0016740, GO:0019538, GO:0044238, GO:0044464, GO:0050789, GO:0051179, GO:0065007, GO:0071840",-0.327285319,0.015015218,-0.389807017,0.342300536,-0.062521698,-0.404822234,0.327285319,-0.015015218,0.389807017,-0.342300536,0.062521698,0.404822234
AT2G33120,ATVAMP722,Encodes a member of Synaptobrevin -like protein family.,NM_001036392,817874,3702.AT2G33120.2,"GO:0005484, GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006810, GO:0006887, GO:0006996, GO:0009987, GO:0016020, GO:0016043, GO:0016192, GO:0031201, GO:0032991, GO:0043234, GO:0044464, GO:0051179, GO:0071840",0.016753005,0.258093504,0.017025373,0.241340499,0.000272368,-0.241068131,-0.016753005,-0.258093504,-0.017025373,-0.241340499,-0.000272368,0.241068131
AT2G37550,AGD7,"A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes.",NM_001036426,818331,3702.AT2G37550.1,"GO:0003676, GO:0005083, GO:0005488, GO:0005515, GO:0009987, GO:0030234, GO:0003824, GO:0008152, GO:0050790, GO:0065007, GO:0065009",-0.16653931,0.060901802,-0.181227634,0.227441112,-0.014688324,-0.242129436,0.16653931,-0.060901802,0.181227634,-0.227441112,0.014688324,0.242129436
AT2G40060,CLC2,NA,NM_129564,818594,3702.AT2G40060.1,"GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006810, GO:0006897, GO:0006898, GO:0009987, GO:0016020, GO:0016023, GO:0016043, GO:0016192, GO:0030120, GO:0032991, GO:0043226, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.080666036,-0.01450193,0.01275822,0.066164106,0.093424256,0.02726015,0.080666036,0.01450193,-0.01275822,-0.066164106,-0.093424256,-0.02726015
AT2G44610,ATRAB6A,Encodes a GTP-binding protein with similarity to yeast YPT6 . RAB6 can complement the yeast YTP mutant.,NM_130025,819069,3702.AT2G44610.1,"GO:0005622, GO:0005737, GO:0005794, GO:0006810, GO:0009987, GO:0016192, GO:0043226, GO:0044464, GO:0051179, NA",-0.127185614,-0.035868777,-0.138642728,0.091316837,-0.011457114,-0.102773951,0.127185614,0.035868777,0.138642728,-0.091316837,0.011457114,0.102773951
AT3G01780,TPLATE,"Encodes TPLATE, a cytokinesis protein targeted to the cell plate.  Functions in vesicle-trafficking events required for site-specific cell wall modifications during pollen germination and for anchoring of the cell plate to the mother wall at the correct cortical position.",NM_001337358,821081,3702.AT3G01780.1,NA,-0.329002027,-0.116560845,-0.476651323,0.212441182,-0.147649297,-0.360090479,0.329002027,0.116560845,0.476651323,-0.212441182,0.147649297,0.360090479
AT3G03940,NA,NA,NM_111265,819551,NA,"GO:0003824, GO:0004672, GO:0005622, GO:0005634, GO:0005737, GO:0006464, GO:0006468, GO:0006796, GO:0008152, GO:0009653, GO:0009987, GO:0016043, GO:0016301, GO:0016740, GO:0019538, GO:0032502, GO:0032989, GO:0043226, GO:0044238, GO:0044464, GO:0050789, GO:0065007, GO:0071840",0.135145032,-0.052108709,0.114471867,-0.187253741,-0.020673166,0.166580576,-0.135145032,0.052108709,-0.114471867,0.187253741,0.020673166,-0.166580576
AT3G07680,p24beta2,NA,NM_111647,819959,NA,"GO:0005622, GO:0005737, GO:0006810, GO:0006886, GO:0015031, GO:0030120, GO:0044464, GO:0051179",-0.251085806,0.176021779,-0.247462265,0.427107585,0.00362354,-0.423484044,0.251085806,-0.176021779,0.247462265,-0.427107585,-0.00362354,0.423484044
AT3G09740,ATSYP71,syntaxin of plants 71 (SYP71),NM_111809,820132,3702.AT3G09740.1,"GO:0005484, GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006810, GO:0006886, GO:0006996, GO:0008104, GO:0009987, GO:0015031, GO:0016020, GO:0016021, GO:0016043, GO:0016192, GO:0031201, GO:0032991, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.132727392,0.071148117,-0.124785634,0.20387551,0.007941758,-0.195933752,0.132727392,-0.071148117,0.124785634,-0.20387551,-0.007941758,0.195933752
AT3G18820,ATRAB7B,NA,NM_112768,821415,3702.AT3G18820.1,NA,0.203558622,-0.25199575,0.242892839,-0.455554373,0.039334217,0.494888589,-0.203558622,0.25199575,-0.242892839,0.455554373,-0.039334217,-0.494888589
AT3G19960,ATM1,member of Myosin-like proteins,NM_001161156,821534,3702.AT3G19960.2,"GO:0000910, GO:0003774, GO:0005198, GO:0005200, GO:0005488, GO:0005515, GO:0005622, GO:0005856, GO:0005886, GO:0006810, GO:0006886, GO:0006928, GO:0007049, GO:0007067, GO:0007154, GO:0007165, GO:0009987, GO:0015031, GO:0015629, GO:0016043, GO:0016192, GO:0030054, GO:0030234, GO:0032502, GO:0032989, GO:0035556, GO:0003824, GO:0008152, GO:0016020, GO:0016462, GO:0016787, GO:0044464, GO:0050790, GO:0051179, GO:0065007, GO:0065009",0.400741623,0.015108364,0.536733961,-0.385633259,0.135992339,0.521625597,-0.400741623,-0.015108364,-0.536733961,0.385633259,-0.135992339,-0.521625597
AT3G22845,NA,NA,NM_001338601,821856,NA,"GO:0005622, GO:0005737, GO:0006810, GO:0006886, GO:0015031, GO:0030120, GO:0044464, GO:0051179",-0.529197352,-0.026349806,-0.598784206,0.502847546,-0.069586854,-0.5724344,0.529197352,0.026349806,0.598784206,-0.502847546,0.069586854,0.5724344
AT3G46060,ARA-3,small GTP-binding protein (ara-3),NM_001084779,823749,3702.AT3G46060.1,"GO:0006810, GO:0006887, GO:0008104, GO:0009987, GO:0015031, GO:0016192, GO:0050789, GO:0051179, GO:0065007, NA",-0.633503729,0.053551065,-0.675948259,0.687054794,-0.04244453,-0.729499324,0.633503729,-0.053551065,0.675948259,-0.687054794,0.04244453,0.729499324
AT3G47810,ATVPS29,Homolog of yeast retromer subunit VPS29.  Part of a retromer-like protein complex involved in endosome to lysosome protein transport.,NM_114649,823935,3702.AT3G47810.1,GO:0005488,0.166872075,-0.031485864,0.264996161,-0.198357939,0.098124086,0.296482025,-0.166872075,0.031485864,-0.264996161,0.198357939,-0.098124086,-0.296482025
AT3G51310,VPS35C,Homolog of yeast retromer subunit VPS35.  Part of a retromer-like protein complex involved in endosome to lysosome protein transport.,NM_114990,824294,3702.AT3G51310.1,"GO:0005215, GO:0005622, GO:0005737, GO:0005768, GO:0006810, GO:0006886, GO:0008104, GO:0009987, GO:0015031, GO:0016020, GO:0016192, GO:0032991, GO:0043226, GO:0043234, GO:0044464, GO:0051179",-0.259113377,0.015934552,-0.381958905,0.275047929,-0.122845528,-0.397893457,0.259113377,-0.015934552,0.381958905,-0.275047929,0.122845528,0.397893457
AT3G53610,ATRAB8,GTPase AtRAB8 (atrab8),NM_001084809,824529,3702.AT3G53610.1,"GO:0006810, GO:0006887, GO:0008104, GO:0009987, GO:0015031, GO:0016192, GO:0050789, GO:0051179, GO:0065007, NA",-0.638623171,0.132659017,-0.601053729,0.771282189,0.037569442,-0.733712747,0.638623171,-0.132659017,0.601053729,-0.771282189,-0.037569442,0.733712747
AT3G61480,NA,NA,NM_001340104,825321,NA,NA,-0.286142699,-0.013383319,-0.412501062,0.27275938,-0.126358364,-0.399117744,0.286142699,0.013383319,0.412501062,-0.27275938,0.126358364,0.399117744
