_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-14.906230785402853,GO:0046686,M1,1,0,GO Biological Processes,19,response to cadmium ion,19_GO:0050896 response to stimulus,-14.906230785402853,2.875849146564535,9.560078315215229,18982,319,1407,68,4.832977967306325,0.5717466105785025,815120|816664|816954|817648|817925|818881|818978|819042|819137|819778|820083|820356|820499|820984|821147|821160|821983|822117|823557|824454|824465|824530|824612|824930|826624|826738|827012|827381|828531|828794|828805|829330|829697|830120|830626|830726|830919|831935|833535|833874|834169|834473|835756|835769|836138|836300|837330|837733|837863|837953|838301|838927|839295|839503|839602|841221|841442|841470|841822|842284|842365|842681|842697|842763|843185|843830|843934|844333,ACO3|AT2G21250|LAP1|ASP1|CRL1|PP5.2|OASB|ATCS|AT2G45290|PRXIIF|GSTU8|AT3G11830|SERAT2;2|mtLPD2|MS2|AT3G02530|HSP60|ROF1|NIT3|MDAR1|AT3G52990|PPa4|AT3G54470|ADSS|AT4G10320|RHA1B|AT4G13780|ACX1|cpHsc70-1|AT4G26870|ACO2|ASP5|AKR2|AGT2|Tudor1|AT5G08300|AT5G10540|GDH1|GS2|AT5G38830|AT5G41670|CML43|OXS3|SYNC1|AT5G60160|Tudor2|AT1G08110|AT1G11860|PBE1|AT1G13930|AlaAT1|PGM3|GSTF7|MAC3A|GSTU13|mtLPD1|ALATS|THFS|PAE1|E1 ALPHA|ATB2|AT1G63770|MDAR6|ABCF3|XYL1|AT1G74910|VAB1|HSP91,-11.102910261824098,0,1,1,1,-14.906230785402853,2.875849146564535,
1,-14.058411106565195,GO:0010038,M1,1,0,GO Biological Processes,19,response to metal ion,19_GO:0050896 response to stimulus,-14.058411106565195,2.4916024766771034,8.998540350101557,18982,444,1407,82,5.828002842928216,0.624559356908947,815120|816664|816954|817194|817648|817813|817830|817925|817940|818881|818978|819042|819137|819778|819963|820083|820356|820499|820984|821147|821160|821983|822117|823557|824355|824454|824465|824530|824612|824930|826624|826738|827012|827381|828531|828764|828794|828805|829330|829697|829978|830120|830525|830626|830726|830843|830919|831935|833535|833755|833874|834169|834473|834489|835756|835769|836138|836300|837330|837733|837863|837953|838217|838301|838927|839295|839503|839602|840339|841221|841442|841470|841822|842284|842365|842681|842697|842763|843185|843830|843934|844333,ACO3|AT2G21250|LAP1|AR781|ASP1|AT2G32520|LUH|CRL1|CUTA|PP5.2|OASB|ATCS|AT2G45290|PRXIIF|AT3G07720|GSTU8|AT3G11830|SERAT2;2|mtLPD2|MS2|AT3G02530|HSP60|ROF1|NIT3|CAM9|MDAR1|AT3G52990|PPa4|AT3G54470|ADSS|AT4G10320|RHA1B|AT4G13780|ACX1|cpHsc70-1|CBL3|AT4G26870|ACO2|ASP5|AKR2|AQI|AGT2|AT5G06370|Tudor1|AT5G08300|AT5G09830|AT5G10540|GDH1|GS2|TCH2|AT5G38830|AT5G41670|CML43|MAP18|OXS3|SYNC1|AT5G60160|Tudor2|AT1G08110|AT1G11860|PBE1|AT1G13930|PAB1|AlaAT1|PGM3|GSTF7|MAC3A|GSTU13|STOP1|mtLPD1|ALATS|THFS|PAE1|E1 ALPHA|ATB2|AT1G63770|MDAR6|ABCF3|XYL1|AT1G74910|VAB1|HSP91,-10.556120578650422,0,1,0,0,-14.906230785402853,2.875849146564535,
1,-12.45376498007529,GO:0006520,M1,1,0,GO Biological Processes,19,cellular amino acid metabolic process,19_GO:0008152 metabolic process,-12.45376498007529,2.4102457549837815,8.37931853033852,18982,431,1407,77,5.472636815920398,0.6063592916152316,815822|815903|816281|817149|817180|817290|817648|817738|818566|818978|819804|820343|820499|821049|821147|821977|822396|822833|823668|824015|824130|824526|824629|824872|825145|825500|826624|827012|827122|827786|828459|828586|828794|829106|829310|829330|829452|829510|829978|830154|830159|831024|831061|831169|831612|831935|832008|832326|832718|832736|832741|832872|833535|833874|835005|835263|835598|835769|835778|837168|837489|837733|838023|838216|838301|838445|838523|839103|839868|840076|841307|841442|843236|843587|843869|844264|844376,AGT|ALDH6B2|P4H5|GLDP2|ARD3|NLP1|ASP1|AT2G31810|P5CS1|OASB|P4H2|ATKRS-1|SERAT2;2|PYD1|MS2|AT3G23940|CARA|ERD5|IVD|CSR1|BCAT3|AT3G53580|TSA1|CBL|OASC|HMT2|AT4G10320|AT4G13780|ATARD2|LSD1|AT4G23590|AT4G24830|AT4G26870|MTO2|AT4G31810|ASP5|AT4G33150|AGD2|AQI|CYP79B2|DHS1|ASP3|AT5G11880|AK-LYS1|AT5G17460|GDH1|AT5G18900|ADT5|AT5G26710|SHM2|AT5G26830|CYSD2|GS2|AT5G38830|bZIP1|AT5G51880|AT5G55070|SYNC1|SERAT1;1|PDS1|AT1G09620|AT1G11860|TWN2|RDH2|AlaAT1|PSP|AT1G19400|ASB1|CARB|AT-IE|EMB1144|ALATS|ACR4|AT1G72550|OTC|MST1|AT1G80360,-9.328015051697104,0,2,1,1,-12.45376498007529,2.546336435137463,
1,-10.332732291722937,GO:1901605,M1,1,0,GO Biological Processes,19,alpha-amino acid metabolic process,19_GO:0008152 metabolic process,-10.332732291722937,2.546336435137463,7.664396271703124,18982,302,1407,57,4.051172707889126,0.5256094512989546,815822|815903|816281|817149|817180|817290|817648|817738|818566|818978|819804|820499|821147|821977|822396|822833|823668|824015|824130|824526|824629|824872|825145|825500|827122|827786|828586|829106|829310|829330|829452|829510|830154|831024|831061|831169|831612|831935|832008|832326|832736|832872|833535|835263|835598|835778|837168|837733|838216|838301|838445|839103|839868|840076|843869|844264|844376,AGT|ALDH6B2|P4H5|GLDP2|ARD3|NLP1|ASP1|AT2G31810|P5CS1|OASB|P4H2|SERAT2;2|MS2|AT3G23940|CARA|ERD5|IVD|CSR1|BCAT3|AT3G53580|TSA1|CBL|OASC|HMT2|ATARD2|LSD1|AT4G24830|MTO2|AT4G31810|ASP5|AT4G33150|AGD2|CYP79B2|ASP3|AT5G11880|AK-LYS1|AT5G17460|GDH1|AT5G18900|ADT5|SHM2|CYSD2|GS2|AT5G51880|AT5G55070|SERAT1;1|PDS1|AT1G11860|RDH2|AlaAT1|PSP|ASB1|CARB|AT-IE|OTC|MST1|AT1G80360,-7.432501755136127,0,2,0,0,-12.45376498007529,2.546336435137463,
1,-8.51833278975463,ath01230,M1,1,0,KEGG Pathway,24,Biosynthesis of amino acids,,-8.51833278975463,2.526224880152453,6.88705948842331,18982,251,1407,47,3.3404406538734897,0.47904602075025976,815120|816218|817648|817738|818231|818566|818978|819042|819137|819809|820499|821147|821977|824015|824130|824465|824526|824629|824872|825044|825145|828459|828586|828805|829106|829330|829510|829679|829978|830159|830758|831024|831061|831169|831884|832326|832736|832872|833535|835778|838301|838445|839103|840076|841307|843741|843869,ACO3|IDH2|ASP1|AT2G31810|AT2G36580|P5CS1|OASB|ATCS|AT2G45290|MEE32|SERAT2;2|MS2|AT3G23940|CSR1|BCAT3|AT3G52990|AT3G53580|TSA1|CBL|CSY2|OASC|AT4G23590|AT4G24830|ACO2|MTO2|ASP5|AGD2|IDH1|AQI|DHS1|AT5G08570|ASP3|AT5G11880|AK-LYS1|IDH-V|ADT5|SHM2|CYSD2|GS2|SERAT1;1|AlaAT1|PSP|ASB1|AT-IE|EMB1144|ENO1|OTC,-5.828955618482714,0,2,0,0,-12.45376498007529,2.546336435137463,
1,-8.51833278975463,ko01230,M1,1,0,KEGG Pathway,24,Biosynthesis of amino acids,,-8.51833278975463,2.526224880152453,6.88705948842331,18982,251,1407,47,3.3404406538734897,0.47904602075025976,815120|816218|817648|817738|818231|818566|818978|819042|819137|819809|820499|821147|821977|824015|824130|824465|824526|824629|824872|825044|825145|828459|828586|828805|829106|829330|829510|829679|829978|830159|830758|831024|831061|831169|831884|832326|832736|832872|833535|835778|838301|838445|839103|840076|841307|843741|843869,ACO3|IDH2|ASP1|AT2G31810|AT2G36580|P5CS1|OASB|ATCS|AT2G45290|MEE32|SERAT2;2|MS2|AT3G23940|CSR1|BCAT3|AT3G52990|AT3G53580|TSA1|CBL|CSY2|OASC|AT4G23590|AT4G24830|ACO2|MTO2|ASP5|AGD2|IDH1|AQI|DHS1|AT5G08570|ASP3|AT5G11880|AK-LYS1|IDH-V|ADT5|SHM2|CYSD2|GS2|SERAT1;1|AlaAT1|PSP|ASB1|AT-IE|EMB1144|ENO1|OTC,-5.828955618482714,0,2,0,0,-12.45376498007529,2.546336435137463,
1,-6.462728646610299,GO:0016053,M1,1,0,GO Biological Processes,19,organic acid biosynthetic process,19_GO:0008152 metabolic process,-6.462728646610299,1.7896378167471678,5.503480569390013,18982,588,1407,78,5.543710021321962,0.6100545149837759,814873|815822|816390|817180|817570|817738|817832|818231|818566|818937|818973|818978|819326|819809|819845|819915|820499|820667|821049|821135|821147|821460|821977|822169|822396|822594|824015|824130|824465|824526|824629|824702|824872|825145|825500|827122|827381|828564|828586|829034|829106|829220|829510|830154|830159|830626|830758|830880|830912|831061|831169|831402|832326|832736|832872|833535|834077|835006|835778|836098|836183|836300|837372|837888|837953|838445|839103|839868|839891|840076|841307|841699|843098|843741|843830|843869|844002|844376,NRP1|AGT|AT2G18750|ARD3|EMB3147|AT2G31810|CB5-B|AT2G36580|P5CS1|BIO2|SSI2|OASB|SDR3|MEE32|ACLB-1|AT3G07270|SERAT2;2|NCED3|PYD1|DOX1|MS2|LOH2|AT3G23940|AOC3|CARA|UGD2|CSR1|BCAT3|AT3G52990|AT3G53580|TSA1|CER10|CBL|OASC|HMT2|ATARD2|ACX1|PGI1|AT4G24830|HXK1|MTO2|FAD6|AGD2|CYP79B2|DHS1|Tudor1|AT5G08570|AT5G10160|PAS2|AT5G11880|AK-LYS1|UGD3|ADT5|SHM2|CYSD2|GS2|PHB3|ACLB-2|SERAT1;1|AT5G59770|GPAT9|Tudor2|FATB|AOC4|AT1G13930|PSP|ASB1|CARB|PDH-E1 BETA|AT-IE|EMB1144|AT1G52670|KCR1|ENO1|AT1G74910|OTC|OPR2|AT1G80360,-4.057348131703582,0,2,0,0,-12.45376498007529,2.546336435137463,
1,-6.462728646610299,GO:0046394,M1,1,0,GO Biological Processes,19,carboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-6.462728646610299,1.7896378167471678,5.503480569390013,18982,588,1407,78,5.543710021321962,0.6100545149837759,814873|815822|816390|817180|817570|817738|817832|818231|818566|818937|818973|818978|819326|819809|819845|819915|820499|820667|821049|821135|821147|821460|821977|822169|822396|822594|824015|824130|824465|824526|824629|824702|824872|825145|825500|827122|827381|828564|828586|829034|829106|829220|829510|830154|830159|830626|830758|830880|830912|831061|831169|831402|832326|832736|832872|833535|834077|835006|835778|836098|836183|836300|837372|837888|837953|838445|839103|839868|839891|840076|841307|841699|843098|843741|843830|843869|844002|844376,NRP1|AGT|AT2G18750|ARD3|EMB3147|AT2G31810|CB5-B|AT2G36580|P5CS1|BIO2|SSI2|OASB|SDR3|MEE32|ACLB-1|AT3G07270|SERAT2;2|NCED3|PYD1|DOX1|MS2|LOH2|AT3G23940|AOC3|CARA|UGD2|CSR1|BCAT3|AT3G52990|AT3G53580|TSA1|CER10|CBL|OASC|HMT2|ATARD2|ACX1|PGI1|AT4G24830|HXK1|MTO2|FAD6|AGD2|CYP79B2|DHS1|Tudor1|AT5G08570|AT5G10160|PAS2|AT5G11880|AK-LYS1|UGD3|ADT5|SHM2|CYSD2|GS2|PHB3|ACLB-2|SERAT1;1|AT5G59770|GPAT9|Tudor2|FATB|AOC4|AT1G13930|PSP|ASB1|CARB|PDH-E1 BETA|AT-IE|EMB1144|AT1G52670|KCR1|ENO1|AT1G74910|OTC|OPR2|AT1G80360,-4.057348131703582,0,2,0,0,-12.45376498007529,2.546336435137463,
1,-5.395114692661763,GO:0008652,M1,1,0,GO Biological Processes,19,cellular amino acid biosynthetic process,19_GO:0008152 metabolic process,-5.395114692661763,2.270139686184462,5.2115111728111865,18982,208,1407,35,2.487562189054726,0.41521203363970155,815822|817180|817738|818566|818978|820499|821049|821147|821977|822396|824015|824130|824526|824629|824872|825145|825500|827122|828586|829106|829510|830159|831061|831169|832326|832736|832872|833535|835778|838445|839103|839868|840076|841307|843869,AGT|ARD3|AT2G31810|P5CS1|OASB|SERAT2;2|PYD1|MS2|AT3G23940|CARA|CSR1|BCAT3|AT3G53580|TSA1|CBL|OASC|HMT2|ATARD2|AT4G24830|MTO2|AGD2|DHS1|AT5G11880|AK-LYS1|ADT5|SHM2|CYSD2|GS2|SERAT1;1|PSP|ASB1|CARB|AT-IE|EMB1144|OTC,-3.2993643451809453,0,2,0,0,-12.45376498007529,2.546336435137463,
1,-5.245009369565584,GO:1901607,M1,1,0,GO Biological Processes,19,alpha-amino acid biosynthetic process,19_GO:0008152 metabolic process,-5.245009369565584,2.3335984171805073,5.157337956316365,18982,185,1407,32,2.2743425728500357,0.3974524625004066,815822|817180|817738|818566|818978|820499|821147|821977|822396|824015|824130|824526|824629|824872|825145|825500|827122|828586|829106|829510|831061|831169|832326|832736|832872|833535|835778|838445|839103|839868|840076|843869,AGT|ARD3|AT2G31810|P5CS1|OASB|SERAT2;2|MS2|AT3G23940|CARA|CSR1|BCAT3|AT3G53580|TSA1|CBL|OASC|HMT2|ATARD2|AT4G24830|MTO2|AGD2|AT5G11880|AK-LYS1|ADT5|SHM2|CYSD2|GS2|SERAT1;1|PSP|ASB1|CARB|AT-IE|OTC,-3.157692189621629,0,2,0,0,-12.45376498007529,2.546336435137463,
