_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-11.099620404233521,GO:0006259,M1,1,0,GO Biological Processes,19,DNA metabolic process,19_GO:0008152 metabolic process,-11.099620404233521,1.9039251362870104,7.493185780491937,18982,596,1907,114,5.977975878342947,0.5428958613034082,816136|816391|816716|816875|817436|817744|817745|817930|818083|818332|818827|819713|819743|820085|820123|820589|820954|821180|821254|821455|821860|822021|822040|822331|822385|823508|823937|824001|824006|824051|824375|825124|826875|826886|827058|827121|827497|827577|827651|827854|828016|828049|828244|828245|828390|828599|828615|829077|829206|829211|829254|829352|829406|829727|830284|830631|830674|830705|831023|831710|831792|832154|832208|832240|832250|832338|832610|834082|834138|834339|834424|834503|834970|835101|835150|835372|835514|835780|835850|835898|836101|836267|836473|836489|836573|836584|836745|837238|837339|837406|837592|837726|837792|837893|838492|838834|839045|839457|839681|840340|840448|841202|841279|841422|841506|841684|841923|842042|842384|842919|842991|843305|844068|844095,DRD1|CHR8|EME1A|ICK1|AT2G28870|PARG2|TEJ|AT2G33640|SUVH5|ORC2|UVI4|RAD9|RECQI1|TAC1|MCM8|NAP1;4|NRPB9A|AT3G02930|NBS1|RAD54|DMC1|MSH1|MSH7|AT3G27120|AT3G27630|DCL3|AT3G47830|AT3G48425|EMB2423|AT3G48900|GR1|SYN3|ORC1B|AT4G12740|PRD1|ORC1A|AT4G17760|SNI1|AT4G19130|BRCA1|FDM2|PARP2|ENDO4|ENDO3|FZR2|AT4G24970|SRS2|AT4G29560|AT4G30825|MUS81|AT4G31270|AT4G32190|AT4G32700|RecQl3|AT5G04050|AT5G07400|AT5G07810|AT5G08110|MYB3R-4|BRCA2B|AT5G02220|DCL4|RAD51|emb1379|AT5G21900|RAD5|CYCA2;1|ATR|XPB2|AT5G43210|AT5G44010|POLH|AT5G49110|AT5G50340|AT5G50780|AT5G52950|MRE11|ET2|XRCC3|MPS1|MBD7|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|AT1G07270|AT1G08180|emb2411|Pol{lambda}|AT1G11800|PHR1|AHP2|DMS11|ZYP1b|AT1G24290|AT1G04650|AT1G27880|AT1G34380|FANCM|ATE2F2|AT1G48580|AT1G49980|POLGAMMA2|AT1G52530|AT1G54840|AT1G55915|RECQ4B|VIM2|LIG6|TCP15|MEI1|AT1G77600,-7.296299880654767,0,1,1,1,-11.099620404233521,3.1852333508127955,
1,-10.69961189030841,GO:0006974,M1,1,0,GO Biological Processes,19,cellular response to DNA damage stimulus,19_GO:0050896 response to stimulus,-10.69961189030841,2.1500325117986367,7.516957731193838,18982,375,1907,81,4.247509176717357,0.4618137468651428,816391|816716|817744|817745|817930|819713|819743|820123|820589|820954|821254|821455|821860|822021|822040|822331|822385|823937|824001|824051|824375|825124|826886|827497|827577|827651|827854|828016|828049|828599|828615|829077|829206|829211|829727|830631|830674|830705|831710|832208|832240|832250|832338|834082|834138|834339|834424|834503|834601|834970|835101|835150|835372|835514|835567|835850|836208|836267|836473|836489|836573|836584|836745|837406|837592|837726|837792|838228|838492|839045|839681|840448|841202|841279|841422|841684|842042|842384|842991|844068|844095,CHR8|EME1A|PARG2|TEJ|AT2G33640|RAD9|RECQI1|MCM8|NAP1;4|NRPB9A|NBS1|RAD54|DMC1|MSH1|MSH7|AT3G27120|AT3G27630|AT3G47830|AT3G48425|AT3G48900|GR1|SYN3|AT4G12740|AT4G17760|SNI1|AT4G19130|BRCA1|FDM2|PARP2|AT4G24970|SRS2|AT4G29560|AT4G30825|MUS81|RecQl3|AT5G07400|AT5G07810|AT5G08110|BRCA2B|RAD51|emb1379|AT5G21900|RAD5|ATR|XPB2|AT5G43210|AT5G44010|POLH|SUV2|AT5G49110|AT5G50340|AT5G50780|AT5G52950|MRE11|THI1|XRCC3|RUG3|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|emb2411|Pol{lambda}|AT1G11800|PHR1|REV7|DMS11|AT1G24290|AT1G27880|FANCM|ATE2F2|AT1G48580|AT1G49980|AT1G52530|AT1G55915|RECQ4B|LIG6|MEI1|AT1G77600,-7.1973213623936365,0,1,0,0,-11.099620404233521,3.1852333508127955,
1,-9.358118413680538,GO:0006281,M1,1,0,GO Biological Processes,19,DNA repair,19_GO:0050896 response to stimulus,-9.358118413680538,2.1266394775456345,6.97386050942872,18982,337,1907,72,3.7755637126376507,0.436473863617484,816391|816716|817744|817745|817930|819713|819743|820123|820589|820954|821254|821455|821860|822021|822040|822331|823937|824001|824051|824375|825124|826886|827497|827651|827854|828016|828049|828599|828615|829077|829206|829211|829727|830631|830674|830705|831710|832208|832240|832250|832338|834082|834138|834339|834424|834503|834970|835101|835150|835514|835850|836267|836473|836489|836573|836584|836745|837406|837592|837726|837792|838492|839045|839681|840448|841279|841422|841684|842042|842384|842991|844095,CHR8|EME1A|PARG2|TEJ|AT2G33640|RAD9|RECQI1|MCM8|NAP1;4|NRPB9A|NBS1|RAD54|DMC1|MSH1|MSH7|AT3G27120|AT3G47830|AT3G48425|AT3G48900|GR1|SYN3|AT4G12740|AT4G17760|AT4G19130|BRCA1|FDM2|PARP2|AT4G24970|SRS2|AT4G29560|AT4G30825|MUS81|RecQl3|AT5G07400|AT5G07810|AT5G08110|BRCA2B|RAD51|emb1379|AT5G21900|RAD5|ATR|XPB2|AT5G43210|AT5G44010|POLH|AT5G49110|AT5G50340|AT5G50780|MRE11|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|emb2411|Pol{lambda}|AT1G11800|PHR1|DMS11|AT1G24290|AT1G27880|FANCM|AT1G48580|AT1G49980|AT1G52530|AT1G55915|RECQ4B|LIG6|AT1G77600,-6.031919144821447,0,1,0,0,-11.099620404233521,3.1852333508127955,
1,-9.170725464024883,GO:0006310,M1,1,0,GO Biological Processes,19,DNA recombination,19_GO:0008152 metabolic process,-9.170725464024883,2.6164416810247957,7.179163389473453,18982,175,1907,46,2.412165705296277,0.35133875891122157,816716|817930|819743|820123|820589|821180|821254|821455|821860|822040|822331|824375|825124|827058|827577|827651|827854|828016|828615|829211|829352|829406|829727|830284|831710|832208|832240|832338|834339|835514|835850|835898|836267|836473|836489|836573|836584|837893|838834|839457|839681|840448|841279|841684|842384|844068,EME1A|AT2G33640|RECQI1|MCM8|NAP1;4|AT3G02930|NBS1|RAD54|DMC1|MSH7|AT3G27120|GR1|SYN3|PRD1|SNI1|AT4G19130|BRCA1|FDM2|SRS2|MUS81|AT4G32190|AT4G32700|RecQl3|AT5G04050|BRCA2B|RAD51|emb1379|RAD5|AT5G43210|MRE11|XRCC3|MPS1|MIM|RMI1|AT5G63690|XRCC2|FAS2|AHP2|ZYP1b|AT1G04650|AT1G27880|FANCM|AT1G48580|AT1G52530|RECQ4B|MEI1,-5.969464931774092,0,1,0,0,-11.099620404233521,3.1852333508127955,
1,-8.854890489031536,GO:0000725,M1,1,0,GO Biological Processes,19,recombinational repair,19_GO:0050896 response to stimulus,-8.854890489031536,3.1852333508127955,7.3219769664434775,18982,100,1907,32,1.6780283167278447,0.2941369505780531,819743|820123|820589|821254|821455|821860|822331|824375|825124|827651|827854|828016|828615|829211|829727|831710|832208|832240|832338|834339|835514|835850|836267|836473|836489|836573|836584|839681|840448|841279|841684|842384,RECQI1|MCM8|NAP1;4|NBS1|RAD54|DMC1|AT3G27120|GR1|SYN3|AT4G19130|BRCA1|FDM2|SRS2|MUS81|RecQl3|BRCA2B|RAD51|emb1379|RAD5|AT5G43210|MRE11|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|AT1G27880|FANCM|AT1G48580|AT1G52530|RECQ4B,-5.750539969788801,0,1,0,0,-11.099620404233521,3.1852333508127955,
1,-8.19210367600846,GO:0000724,M1,1,0,GO Biological Processes,19,double-strand break repair via homologous recombination,19_GO:0050896 response to stimulus,-8.19210367600846,3.143322385670521,6.998780084567472,18982,95,1907,30,1.5731515469323545,0.28494872895854734,819743|820123|820589|821254|821455|821860|822331|824375|825124|827651|827854|828016|829211|829727|831710|832208|832240|832338|834339|835514|835850|836267|836473|836489|836573|836584|839681|840448|841684|842384,RECQI1|MCM8|NAP1;4|NBS1|RAD54|DMC1|AT3G27120|GR1|SYN3|AT4G19130|BRCA1|FDM2|MUS81|RecQl3|BRCA2B|RAD51|emb1379|RAD5|AT5G43210|MRE11|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|AT1G27880|FANCM|AT1G52530|RECQ4B,-5.233881192443962,0,1,0,0,-11.099620404233521,3.1852333508127955,
1,-7.8513774176811175,GO:0006302,M1,1,0,GO Biological Processes,19,double-strand break repair,19_GO:0050896 response to stimulus,-7.8513774176811175,2.6882671984505797,6.627625041813387,18982,137,1907,37,1.9402202412165706,0.31586072343839794,817930|819743|820123|820589|821254|821455|821860|822331|824375|825124|827651|827854|828016|828049|829211|829727|830631|831710|832208|832240|832338|834082|834339|835514|835850|836267|836473|836489|836573|836584|837592|837726|839681|840448|841684|842384|842991,AT2G33640|RECQI1|MCM8|NAP1;4|NBS1|RAD54|DMC1|AT3G27120|GR1|SYN3|AT4G19130|BRCA1|FDM2|PARP2|MUS81|RecQl3|AT5G07400|BRCA2B|RAD51|emb1379|RAD5|ATR|AT5G43210|MRE11|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|Pol{lambda}|AT1G11800|AT1G27880|FANCM|AT1G52530|RECQ4B|LIG6,-4.951146881094307,0,1,0,0,-11.099620404233521,3.1852333508127955,
1,-4.672309247669411,ath03440,M1,1,0,KEGG Pathway,24,Homologous recombination,,-4.672309247669411,2.8227347791717867,4.994732613539246,18982,67,1907,19,0.9963293130571579,0.22743209708921225,816136|816716|819743|821254|821455|823287|827651|827854|829211|829727|831710|832208|835514|835850|836573|838662|841506|842384|844068,DRD1|EME1A|RECQI1|NBS1|RAD54|CHR38|AT4G19130|BRCA1|MUS81|RecQl3|BRCA2B|RAD51|MRE11|XRCC3|XRCC2|AT1G20720|POLGAMMA2|RECQ4B|MEI1,-2.4371904481576516,0,1,0,0,-11.099620404233521,3.1852333508127955,
1,-4.672309247669411,ko03440,M1,1,0,KEGG Pathway,24,Homologous recombination,,-4.672309247669411,2.8227347791717867,4.994732613539246,18982,67,1907,19,0.9963293130571579,0.22743209708921225,816136|816716|819743|821254|821455|823287|827651|827854|829211|829727|831710|832208|835514|835850|836573|838662|841506|842384|844068,DRD1|EME1A|RECQI1|NBS1|RAD54|CHR38|AT4G19130|BRCA1|MUS81|RecQl3|BRCA2B|RAD51|MRE11|XRCC3|XRCC2|AT1G20720|POLGAMMA2|RECQ4B|MEI1,-2.4371904481576516,0,1,0,0,-11.099620404233521,3.1852333508127955,
1,-8.68349636320238,GO:0045786,M1,1,0,GO Biological Processes,19,negative regulation of cell cycle,19_GO:0048519 negative regulation of biological process,-8.68349636320238,3.4408384962483898,7.3568804298549,18982,81,1907,28,1.4682747771368643,0.2754332496911025,816875|817436|819713|821254|822331|822385|826875|827121|827497|827854|829211|830434|831792|834082|834601|835372|835514|836489|836745|837238|837339|839453|839457|840448|841386|841414|841684|843272,ICK1|AT2G28870|RAD9|NBS1|AT3G27120|AT3G27630|ORC1B|ORC1A|AT4G17760|BRCA1|MUS81|AT5G05510|AT5G02220|ATR|SUV2|AT5G52950|MRE11|AT5G63690|ATRAD17|AT1G07270|AT1G08180|WEE1|AT1G04650|FANCM|ICK5|BUB3.2|AT1G52530|AT1G69400,-5.65832709000727,0,2,1,1,-8.68349636320238,6.635902814193323,
