Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,KEGG Pathway,24,ath03050,Proteasome,,-25,22,22,18982,59,336,23,6.8,1.4,815135|816533|817833|821834|824289|827638|829025|830463|832121|834056|834290|834532|834602|835941|836746|837863|838217|838609|838776|839789|841065|841812|844080,PAA2|RPT2b|AT2G32730|PBD1|PAD1|AT4G19006|RPT2a|RPN8A|RPT6A|PBB2|PAF1|DSS1(V)|AT5G45620|RPT3|PAD2|PBE1|PAB1|EMB2719|PBC1|ATS9|AT1G45000|RPT1A|PBC2,-21
hits,KEGG Pathway,24,ko03050,Proteasome,,-25,22,22,18982,59,336,23,6.8,1.4,815135|816533|817833|821834|824289|827638|829025|830463|832121|834056|834290|834532|834602|835941|836746|837863|838217|838609|838776|839789|841065|841812|844080,PAA2|RPT2b|AT2G32730|PBD1|PAD1|AT4G19006|RPT2a|RPN8A|RPT6A|PBB2|PAF1|DSS1(V)|AT5G45620|RPT3|PAD2|PBE1|PAB1|EMB2719|PBC1|ATS9|AT1G45000|RPT1A|PBC2,-21
hits,KEGG Pathway,24,ko03040,Spliceosome,,-19,8.9,15,18982,191,336,30,8.9,1.6,814913|817576|817897|818186|818311|820102|820559|821116|824230|824712|825150|825359|827792|828163|829285|829822|834293|834945|835279|836541|837131|837505|837506|838690|838997|839262|839503|839657|844055|844347,EMB2816|U2B''|MAC3B|AT2G36130|RS2Z33|AT3G09440|SCL30A|DRH1|U1-70K|SCL30|LSM6A|RS31|smB|AT4G02840|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|SC35|MEE5|U2A'|CDC5|emb1507|RSZ21|SR34|MAC3A|ATU2AF35A|SKIP|SUS2,-16
hits,KEGG Pathway,24,ath03040,Spliceosome,,-19,8.9,15,18982,191,336,30,8.9,1.6,814913|817576|817897|818186|818311|820102|820559|821116|824230|824712|825150|825359|827792|828163|829285|829822|834293|834945|835279|836541|837131|837505|837506|838690|838997|839262|839503|839657|844055|844347,EMB2816|U2B''|MAC3B|AT2G36130|RS2Z33|AT3G09440|SCL30A|DRH1|U1-70K|SCL30|LSM6A|RS31|smB|AT4G02840|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|SC35|MEE5|U2A'|CDC5|emb1507|RSZ21|SR34|MAC3A|ATU2AF35A|SKIP|SUS2,-16
hits,GO Biological Processes,19,GO:0000398,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-15,6.9,12,18982,220,336,27,8,1.5,814913|817576|817897|818311|820559|824230|824712|825359|827792|828163|829285|829822|834293|834945|835279|836350|836541|837131|837505|838230|838690|838997|839262|839503|839657|844055|844347,EMB2816|U2B''|MAC3B|RS2Z33|SCL30A|U1-70K|SCL30|RS31|smB|AT4G02840|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|U2A'|SR45|emb1507|RSZ21|SR34|MAC3A|ATU2AF35A|SKIP|SUS2,-12
hits,GO Biological Processes,19,GO:0000375,"RNA splicing, via transesterification reactions",19_GO:0008152 metabolic process,-14,6.5,12,18982,244,336,28,8.3,1.5,814913|817576|817897|818311|820559|821983|824230|824712|825359|827792|828163|829285|829822|834293|834945|835279|836350|836541|837131|837505|838230|838690|838997|839262|839503|839657|844055|844347,EMB2816|U2B''|MAC3B|RS2Z33|SCL30A|HSP60|U1-70K|SCL30|RS31|smB|AT4G02840|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|U2A'|SR45|emb1507|RSZ21|SR34|MAC3A|ATU2AF35A|SKIP|SUS2,-12
hits,GO Biological Processes,19,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-14,6.5,12,18982,244,336,28,8.3,1.5,814913|817576|817897|818311|820559|821983|824230|824712|825359|827792|828163|829285|829822|834293|834945|835279|836350|836541|837131|837505|838230|838690|838997|839262|839503|839657|844055|844347,EMB2816|U2B''|MAC3B|RS2Z33|SCL30A|HSP60|U1-70K|SCL30|RS31|smB|AT4G02840|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|U2A'|SR45|emb1507|RSZ21|SR34|MAC3A|ATU2AF35A|SKIP|SUS2,-12
hits,GO Biological Processes,19,GO:0006397,mRNA processing,19_GO:0008152 metabolic process,-13,5.3,10,18982,310,336,29,8.6,1.5,814913|816197|817576|817897|818311|820559|824230|824712|825359|827792|828163|828660|829285|829822|834293|834945|835279|836350|836541|837131|837505|838230|838690|838997|839262|839503|839657|844055|844347,EMB2816|AT2G16940|U2B''|MAC3B|RS2Z33|SCL30A|U1-70K|SCL30|RS31|smB|AT4G02840|AT4G25550|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|U2A'|SR45|emb1507|RSZ21|SR34|MAC3A|ATU2AF35A|SKIP|SUS2,-10
hits,GO Biological Processes,19,GO:0008380,RNA splicing,19_GO:0008152 metabolic process,-12,5.3,10,18982,296,336,28,8.3,1.5,814913|817576|817897|818311|820559|821983|824230|824712|825359|827792|828163|829285|829822|834293|834945|835279|836350|836541|837131|837505|838230|838690|838997|839262|839503|839657|844055|844347,EMB2816|U2B''|MAC3B|RS2Z33|SCL30A|HSP60|U1-70K|SCL30|RS31|smB|AT4G02840|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G62290|SC35|MEE5|U2A'|SR45|emb1507|RSZ21|SR34|MAC3A|ATU2AF35A|SKIP|SUS2,-9.8
hits,GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0008152 metabolic process,-12,4.2,9.2,18982,462,336,34,10,1.6,814913|816197|817576|817897|818091|818311|820559|820729|824230|824712|825359|827792|828163|828660|829285|829822|834293|834945|835279|835546|836350|836541|837131|837505|838230|838690|838997|839152|839262|839503|839657|840152|844055|844347,EMB2816|AT2G16940|U2B''|MAC3B|MORF6|RS2Z33|SCL30A|RIP1|U1-70K|SCL30|RS31|smB|AT4G02840|AT4G25550|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|AT5G54580|AT5G62290|SC35|MEE5|U2A'|SR45|emb1507|RSZ21|DCP5|SR34|MAC3A|ATU2AF35A|AT1G32580|SKIP|SUS2,-9.3
