_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-13.485819295666671,GO:0046907,M1,1,0,GO Biological Processes,19,intracellular transport,19_GO:0051179 localization,-13.485819295666671,1.8226908875057832,8.229897299015887,18982,679,2362,154,6.5198983911939035,0.5079723285515131,815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817557|817722|818086|818152|818180|818264|818760|818881|819108|819128|819256|819687|819857|819881|819896|819982|820088|820233|820326|820345|820600|820841|821174|821248|821573|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825376|825488|825654|827091|827302|827472|827494|828241|828491|828557|828875|829037|829139|829412|829427|829694|830005|830382|830702|830853|831021|831041|831043|831565|831583|831638|831810|832052|832171|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834730|835165|835217|835297|835435|835439|835973|836309|836325|836402|836484|836603|836725|836748|837205|837378|837404|837428|837448|837568|837737|837791|837874|838158|838327|838349|838737|838765|839210|839248|839305|839317|839374|839401|839517|839629|839749|839800|839805|839807|839973|840060|840134|840957|841312|841472|841668|841704|841841|842040|842301|842497|843032|843093|843468|843564|844268|844297|844334|844339|844406|844407|2745966|3770411|5008085,VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|AT2G30060|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|PP5.2|EMB2766|GOS12|OXA1L|AT3G05230|IMPA-1|PDE320|ERMO2|AT3G07910|AT3G09320|VPS60.1|AT3G11530|ATFP8|RHD3|AT3G15970|THO7|PEX19-1|EHD1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|ROC4|RANGAP1|RMA1|ATBET12|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|SNF7.1|VLN4|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|AT5G17190|EMB1241|RABC2A|RANGAP2|XIK|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|AT5G65950|RMR1|TIC110|SYP111|VAP27-2|SRC2|IMPA-4|ADL6|SEC22|KEU|AT1G13160|GOS11|TIM23-1|VPS46.1|AT1G21380|AT1G21630|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|AN|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|ERD2|AT1G30890|AT1G31730|AT1G32410|VIP1|AT1G48900|HIT1|AT1G52380|AT1G52710|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|POK|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|RAE1|SAR3|ZR3|SD3|AT3G54085,-9.682498772087916,0,1,1,1,-13.485819295666671,2.250194750211685,
1,-13.03200340552747,GO:0051649,M1,1,0,GO Biological Processes,19,establishment of localization in cell,19_GO:0051179 localization,-13.03200340552747,1.7784586051860778,8.045446654685922,18982,723,2362,160,6.7739204064352245,0.5170693661919962,815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817557|817722|818086|818152|818180|818264|818760|818881|819108|819128|819256|819687|819857|819881|819896|819982|820088|820233|820326|820345|820600|820841|821174|821248|821573|821641|821868|822311|822326|822329|824017|824109|824161|824335|824451|824477|824597|824649|824860|825071|825376|825488|825654|827091|827302|827472|827494|827512|828241|828491|828557|828875|829037|829139|829412|829427|829694|830005|830382|830702|830853|831021|831041|831043|831565|831583|831638|831810|832052|832171|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834718|834730|835165|835217|835297|835435|835439|835621|835973|836309|836325|836402|836484|836603|836725|836748|837205|837378|837404|837428|837448|837568|837583|837737|837791|837874|838158|838327|838349|838737|838765|839210|839248|839305|839317|839374|839401|839517|839629|839749|839800|839805|839807|839973|840060|840134|840957|841312|841472|841668|841704|841841|842040|842174|842301|842497|843032|843093|843468|843564|844268|844297|844334|844339|844406|844407|2745966|3770411|5008085,VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|AT2G30060|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|PP5.2|EMB2766|GOS12|OXA1L|AT3G05230|IMPA-1|PDE320|ERMO2|AT3G07910|AT3G09320|VPS60.1|AT3G11530|ATFP8|RHD3|AT3G15970|THO7|PEX19-1|EHD1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|AT3G51720|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|ROC4|RANGAP1|RMA1|ATBET12|IMPA-2|MOS6|SYP23|AGD8|VPS28-1|AT4G23910|AT4G24550|AT4G27640|SNF7.1|VLN4|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|AT5G17190|EMB1241|RABC2A|RANGAP2|XIK|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|AGD9|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|FTSZ1-1|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|AT5G65950|RMR1|TIC110|SYP111|VAP27-2|SRC2|IMPA-4|ADL6|PP2A-2|SEC22|KEU|AT1G13160|GOS11|TIM23-1|VPS46.1|AT1G21380|AT1G21630|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|AN|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|ERD2|AT1G30890|AT1G31730|AT1G32410|VIP1|AT1G48900|HIT1|AT1G52380|AT1G52710|MVP1|TIM50|AT1G58070|AT1G60070|AT1G62020|AT1G67120|AT1G67680|POK|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|RAE1|SAR3|ZR3|SD3|AT3G54085,-9.529712877612697,0,1,0,0,-13.485819295666671,2.250194750211685,
1,-10.684209812206051,GO:0006886,M1,1,0,GO Biological Processes,19,intracellular protein transport,19_GO:0051179 localization,-10.684209812206051,1.8320551127202416,7.267005321301486,18982,522,2362,119,5.038103302286198,0.4500577841082826,815960|816165|816198|816310|816386|816425|816623|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825376|825488|825654|827302|827472|827494|828241|828491|828557|828875|829412|829427|829694|830005|830382|830702|830853|831021|831041|831043|831565|831638|831810|832341|832404|832645|832786|833459|833947|834108|834184|834614|834706|834730|835165|835217|835297|835435|835439|835973|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837791|837874|838327|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|840060|841312|841841|842040|842301|842497|843032|843093|843564|844268|844297|844334|844339|844407|2745966|3770411,VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|ROC4|RANGAP1|RMA1|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EMB1241|RABC2A|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|KEU|AT1G13160|TIM23-1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|AT1G31730|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3,-7.579859292963316,0,1,0,0,-13.485819295666671,2.250194750211685,
1,-10.487274458348862,GO:0015031,M1,1,0,GO Biological Processes,19,protein transport,19_GO:0051179 localization,-10.487274458348862,1.776615642900911,7.1545954883601715,18982,579,2362,128,5.4191363251481794,0.4658292224876009,815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820148|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825257|825376|825488|825654|825830|827302|827472|827494|828241|828491|828557|828875|829412|829427|829694|830005|830382|830702|830707|830853|831021|831041|831043|831565|831638|831810|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834730|835165|835217|835297|835435|835439|835973|836105|836300|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837791|837874|838327|838349|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|840060|841312|841841|842040|842301|842497|843032|843093|843564|844268|844297|844334|844339|844407|2745966|3770411,VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|RABE1e|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EMB1241|RABC2A|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G59840|Tudor2|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|KEU|AT1G13160|TIM23-1|VPS46.1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|AT1G31730|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3,-7.462105185153751,0,1,0,0,-13.485819295666671,2.250194750211685,
1,-9.865397760043914,GO:0045184,M1,1,0,GO Biological Processes,19,establishment of protein localization,19_GO:0051179 localization,-9.865397760043914,1.740542228831857,6.894850892730482,18982,591,2362,128,5.4191363251481794,0.4658292224876009,815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820148|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825257|825376|825488|825654|825830|827302|827472|827494|828241|828491|828557|828875|829412|829427|829694|830005|830382|830702|830707|830853|831021|831041|831043|831565|831638|831810|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834730|835165|835217|835297|835435|835439|835973|836105|836300|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837791|837874|838327|838349|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|840060|841312|841841|842040|842301|842497|843032|843093|843564|844268|844297|844334|844339|844407|2745966|3770411,VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|RABE1e|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EMB1241|RABC2A|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G59840|Tudor2|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|KEU|AT1G13160|TIM23-1|VPS46.1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|AT1G31730|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3,-6.965167223457104,0,1,0,0,-13.485819295666671,2.250194750211685,
1,-9.432132165220192,GO:0034613,M1,1,0,GO Biological Processes,19,cellular protein localization,19_GO:0051179 localization,-9.432132165220192,1.6808979322737232,6.685608739973596,18982,655,2362,137,5.800169348010161,0.4809561155344982,815960|816165|816198|816310|816386|816425|816623|816747|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820326|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824589|824597|824649|824860|825071|825257|825376|825488|825654|825830|826539|827302|827472|827494|828241|828491|828557|828587|828875|829412|829427|829694|830005|830034|830382|830702|830853|831021|831041|831043|831565|831583|831638|831809|831810|831919|832341|832404|832645|832786|833459|833470|833947|834108|834184|834614|834706|834730|835165|835217|835297|835435|835439|835973|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837583|837791|837874|838327|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|839807|840060|840134|841312|841841|842040|842301|842497|842615|843032|843093|843564|843909|844268|844297|844334|844339|844407|2745966|3770411|5007942,VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|CSI1|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11530|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|SCR|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|GIP1|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G24840|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|AT4G38790|TOC34|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|AT5G17190|EMB1241|EXO70A1|RABC2A|JKD|AT5G22780|MIA40|PEX4|AT5G27280|OS9|AT5G35160|SGR4|AT5G41060|CIP1|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|PP2A-2|KEU|AT1G13160|TIM23-1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|ERD2|AT1G31730|AT1G32410|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G63110|AT1G67120|AT1G67680|PUM23|AT1G75760|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3|FHY1,-6.583054151080763,0,1,0,0,-13.485819295666671,2.250194750211685,
1,-9.21795682163862,GO:0033365,M1,1,0,GO Biological Processes,19,protein localization to organelle,19_GO:0051179 localization,-9.21795682163862,2.0288641190433228,6.8287051876270235,18982,305,2362,77,3.2599491955969517,0.36540006887109366,815960|816165|816198|816386|816425|816623|816747|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819982|821248|821641|821868|822326|824017|824451|824589|824597|825071|825376|825488|827302|827472|828241|828875|829427|830034|830382|831041|831043|831583|831638|831919|832404|832645|832786|833947|834184|835165|835217|835297|835973|836309|836325|836402|837205|837428|837448|838327|839248|839305|839317|839374|839517|839629|839800|839805|839807|841312|842040|843093|843909|844268|844334|2745966|3770411|5007942,VSR4|TOC132|TRN1|SCY1|AT2G19080|PSB29|CSI1|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|AT3G07910|PEX19-1|AT3G20920|ARFC1|TOM20-3|AT3G48570|VSR1|SCR|VAMP727|AT3G59020|ROC4|RANGAP1|IMPA-2|MOS6|VPS28-1|AT4G27640|AT4G32910|AT4G38790|TOC34|TIM17-3|AT5G11710|AT5G17190|EMB1241|JKD|MIA40|PEX4|AT5G27280|SGR4|CIP1|CLPC1|EYE|GB1|RANBP1|AT5G61880|OXA1|PEX14|TIC110|SRC2|IMPA-4|TIM23-1|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|PEX7|AT1G29310|ERD2|AT1G48900|TIM50|AT1G67680|AT1G75760|NUA|ATERDJ2A|ZR3|SD3|FHY1,-6.444874570510416,0,1,0,0,-13.485819295666671,2.250194750211685,
1,-9.206802408930946,GO:0070727,M1,1,0,GO Biological Processes,19,cellular macromolecule localization,19_GO:0051179 localization,-9.206802408930946,1.6514764034011744,6.576623355250391,18982,691,2362,142,6.011854360711261,0.48910355504739617,815960|816165|816198|816310|816386|816425|816623|816747|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820326|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824589|824597|824649|824860|825071|825257|825376|825488|825654|825830|826539|827302|827472|827494|828241|828491|828557|828587|828875|829412|829427|829694|830005|830034|830154|830382|830702|830853|831021|831035|831041|831043|831565|831583|831638|831809|831810|831919|832341|832404|832645|832786|833459|833470|833577|833947|834108|834184|834614|834706|834730|835165|835217|835297|835435|835439|835973|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837583|837791|837874|838327|838737|839210|839248|839305|839317|839374|839517|839567|839629|839749|839800|839805|839807|840060|840134|840336|841312|841841|842040|842301|842497|842615|843032|843093|843564|843909|844268|844297|844334|844339|844407|2745966|3770411|5007942,VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|CSI1|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11530|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|SCR|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|GIP1|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G24840|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|AT4G38790|CYP79B2|TOC34|SYP132|NRPB4|AT5G11490|NOXY2|TIM17-3|AT5G11710|XPO1A|AT5G17190|EMB1241|EXO70A1|RABC2A|JKD|AT5G22780|MIA40|PEX4|AT5G27280|OS9|AT5G35160|AT5G35910|SGR4|AT5G41060|CIP1|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|PP2A-2|KEU|AT1G13160|TIM23-1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|AT1G03140|TOM20-2|SYP61|PEX7|AT1G29310|ERD2|AT1G31730|AT1G32410|AT1G34350|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G63110|AT1G67120|AT1G67680|PUM23|AT1G75760|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3|FHY1,-6.444874570510416,0,1,0,0,-13.485819295666671,2.250194750211685,
1,-9.088834831403975,GO:0015833,M1,1,0,GO Biological Processes,19,peptide transport,19_GO:0051179 localization,-9.088834831403975,1.6911857537713084,6.557921894593839,18982,613,2362,129,5.4614733276884,0.46754065052125054,814735|815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820148|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825257|825376|825488|825654|825830|827302|827472|827494|828241|828491|828557|828875|829412|829427|829694|830005|830382|830702|830707|830853|831021|831041|831043|831565|831638|831810|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834730|835165|835217|835297|835435|835439|835973|836105|836300|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837791|837874|838327|838349|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|840060|841312|841841|842040|842301|842497|843032|843093|843564|844268|844297|844334|844339|844407|2745966|3770411,PTR2|VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|RABE1e|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EMB1241|RABC2A|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G59840|Tudor2|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|KEU|AT1G13160|TIM23-1|VPS46.1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|AT1G31730|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3,-6.364695553872846,0,1,0,0,-13.485819295666671,2.250194750211685,
1,-8.872655915013059,GO:0042886,M1,1,0,GO Biological Processes,19,amide transport,19_GO:0051179 localization,-8.872655915013059,1.6710629947717162,6.45766998048968,18982,630,2362,131,5.5461473327688395,0.4709400147330434,814735|815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820148|820345|821174|821248|821641|821680|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825257|825376|825488|825654|825830|827302|827472|827494|828241|828491|828557|828875|829412|829427|829694|830005|830382|830702|830707|830853|831021|831041|831043|831565|831638|831810|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834730|835165|835217|835297|835435|835439|835973|836105|836300|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837791|837874|838327|838349|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|840060|841312|841841|842040|842301|842497|843032|843093|843564|844192|844268|844297|844334|844339|844407|2745966|3770411,PTR2|VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|RABE1e|ATFP8|THO7|PEX19-1|AT3G20920|GLTP3|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EMB1241|RABC2A|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G59840|Tudor2|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|KEU|AT1G13160|TIM23-1|VPS46.1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|AT1G31730|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|PUM23|AT1G78560|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3,-6.183278743741142,0,1,0,0,-13.485819295666671,2.250194750211685,
