TAIR,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS,Log2fc_.leaf_FLT.v.leaf_GC.,Log2fc_.leaf_FLT.v.root_FLT.,Log2fc_.leaf_FLT.v.root_GC.,Log2fc_.leaf_GC.v.root_FLT.,Log2fc_.leaf_GC.v.root_GC.,Log2fc_.root_FLT.v.root_GC.,Log2fc_.leaf_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G01140,CIPK9,Encodes a CBL-interacting protein kinase with similarity to SOS2,NM_099996,839349,3702.AT1G01140.3,NA,4.437890744,-0.282762847,4.77704847,-4.720653591,0.339157726,5.059811317,-4.437890744,0.282762847,-4.77704847,4.720653591,-0.339157726,-5.059811317
AT1G01170,NA,NA,NM_001035849,839263,NA,NA,2.596380096,-0.015925639,3.092007018,-2.612305736,0.495626922,3.107932658,-2.596380096,0.015925639,-3.092007018,2.612305736,-0.495626922,-3.107932658
AT1G01200,ATRAB-A3,NA,NM_100002,839493,3702.AT1G01200.1,"GO:0005622, GO:0005737, GO:0005768, GO:0005794, GO:0043226, GO:0044464, NA",-2.839627559,-0.197730287,-2.452152835,2.641897272,0.387474724,-2.254422548,2.839627559,0.197730287,2.452152835,-2.641897272,-0.387474724,2.254422548
AT1G01225,NA,NA,NM_100005,839358,NA,NA,-1.128355872,-0.132233222,-1.137363079,0.99612265,-0.009007207,-1.005129857,1.128355872,0.132233222,1.137363079,-0.99612265,0.009007207,1.005129857
AT1G01370,CENH3,Encodes a centromere-identifying  protein histone H3 variant. Localized at centromeres in both mitotic and  meiotic cells.,NM_001035850,839104,3702.AT1G01370.1,"GO:0003676, GO:0003677, GO:0005488, GO:0006139, GO:0008152, GO:0009987, GO:0044238",-0.280227255,0.142566779,-0.296648857,0.422794034,-0.016421602,-0.439215637,0.280227255,-0.142566779,0.296648857,-0.422794034,0.016421602,0.439215637
AT1G01453,NA,NA,NM_001123735,6240388,NA,NA,-6.214576943,0.655670745,-5.772835645,6.870247688,0.441741298,-6.42850639,6.214576943,-0.655670745,5.772835645,-6.870247688,-0.441741298,6.42850639
AT1G01480,ACS2,"a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.",NM_100030,837082,3702.AT1G01480.1,"GO:0003824, GO:0006520, GO:0006778, GO:0006807, GO:0008152, GO:0008483, GO:0016740, GO:0044238",-2.973516989,3.483837895,-3.209925549,6.457354884,-0.23640856,-6.693763444,2.973516989,-3.483837895,3.209925549,-6.457354884,0.23640856,6.693763444
AT1G01500,NA,NA,NM_100032,839430,NA,"GO:0003824, GO:0006520, GO:0006807, GO:0008152, GO:0008652, GO:0009058, GO:0009987, GO:0016491, GO:0044238",0.469068268,-0.27427031,0.584867122,-0.743338578,0.115798853,0.859137431,-0.469068268,0.27427031,-0.584867122,0.743338578,-0.115798853,-0.859137431
AT1G01570,NA,NA,NM_001331283,837183,NA,"GO:0003824, GO:0016740, GO:0016757, GO:0008152",-1.613229447,0.197686573,-1.69078897,1.81091602,-0.077559523,-1.888475543,1.613229447,-0.197686573,1.69078897,-1.81091602,0.077559523,1.888475543
AT1G01580,ATFRO2,"Encodes the low-iron-inducible ferric chelate reductase responsible for reduction of iron at the root surface.  It is likely to be the major Fe(III) chelate reductase in Arabidopsis iron metabolism.  Coordinately regulated with IRT1, the major transporter responsible for high-affinity iron uptake from the soil, at both transcriptional and posttranscriptional levels. Steady state mRNA levels are regulated by several metals.  Its transcription is regulated by FIT1.",NM_001331284,839411,3702.AT1G01580.1,NA,-1.914889235,-0.229079941,-1.325272997,1.685809294,0.589616238,-1.096193056,1.914889235,0.229079941,1.325272997,-1.685809294,-0.589616238,1.096193056
AT1G01660,NA,NA,NM_001331288,839461,NA,NA,-1.631145514,-0.690622926,-1.603725847,0.940522588,0.027419666,-0.913102922,1.631145514,0.690622926,1.603725847,-0.940522588,-0.027419666,0.913102922
