_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-9.392662988105824,ath03040,M1,1,0,KEGG Pathway,24,Spliceosome,,-9.392662988105824,2.856983132115635,7.448261296190061,18982,191,1461,42,2.8747433264887063,0.43716010240798214,816187|817576|817938|819371|819377|819745|819950|820559|822246|824230|824518|824853|825150|828253|828333|828531|828654|829285|829822|830123|831141|833711|834293|834443|834945|836117|836541|837131|837248|837433|837505|838685|838690|838714|838997|839503|839526|839567|841976|843763|843963|844055,AT2G16860|U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|ATRZ-1A|U1-70K|RS2Z32|UBA2A|LSM6A|AT4G21660|AT4G22380|cpHsc70-1|RS40|RSZ22|ATU2AF65A|AT4G39680|EMB3011|ATSRL1|U2AF35B|CBP20|SAD1|AT5G59950|SC35|MEE5|MAC5A|SR30|U2A'|AT1G20920|emb1507|LSM3A|RSZ21|MAC3A|LSM2|AT1G03140|SCL33|GR-RBP5|SmD3|SKIP,-6.034716206343478,0,1,1,1,-9.392662988105824,3.248117727583846,
1,-9.392662988105824,ko03040,M1,1,0,KEGG Pathway,24,Spliceosome,,-9.392662988105824,2.856983132115635,7.448261296190061,18982,191,1461,42,2.8747433264887063,0.43716010240798214,816187|817576|817938|819371|819377|819745|819950|820559|822246|824230|824518|824853|825150|828253|828333|828531|828654|829285|829822|830123|831141|833711|834293|834443|834945|836117|836541|837131|837248|837433|837505|838685|838690|838714|838997|839503|839526|839567|841976|843763|843963|844055,AT2G16860|U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|ATRZ-1A|U1-70K|RS2Z32|UBA2A|LSM6A|AT4G21660|AT4G22380|cpHsc70-1|RS40|RSZ22|ATU2AF65A|AT4G39680|EMB3011|ATSRL1|U2AF35B|CBP20|SAD1|AT5G59950|SC35|MEE5|MAC5A|SR30|U2A'|AT1G20920|emb1507|LSM3A|RSZ21|MAC3A|LSM2|AT1G03140|SCL33|GR-RBP5|SmD3|SKIP,-6.034716206343478,0,1,0,0,-9.392662988105824,3.248117727583846,
1,-6.721788358509341,GO:0006397,M1,1,0,GO Biological Processes,19,mRNA processing,19_GO:0008152 metabolic process,-6.721788358509341,2.1374710207325958,5.830838011327262,18982,310,1461,51,3.490759753593429,0.4801968650750962,816197|817576|817938|819371|819377|819745|819950|820559|822178|824230|824518|828333|828654|828660|828754|829285|829421|829822|830626|830853|831141|834293|834443|834790|834945|835713|836300|836456|836487|836541|836620|837131|837246|837433|837494|837505|838495|838685|838690|838714|838997|839314|839503|839526|839567|841976|842855|842968|843963|844055|844433,AT2G16940|U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|AT3G25840|U1-70K|RS2Z32|AT4G22380|RS40|AT4G25550|AT4G26480|RSZ22|nPAP|ATU2AF65A|Tudor1|NRPB4|EMB3011|U2AF35B|CBP20|AT5G47430|SAD1|AT5G56140|Tudor2|AT5G63370|SPT42|SC35|CDKC2|MEE5|SR45a|SR30|AT1G09660|U2A'|LSM1A|AT1G20920|emb1507|LSM3A|RSZ21|PRP39|MAC3A|LSM2|AT1G03140|SCL33|GTB1|AT1G66500|SmD3|SKIP|AT1G80930,-4.094559093986269,0,1,0,0,-9.392662988105824,3.248117727583846,
1,-6.118250574494964,GO:0000398,M1,1,0,GO Biological Processes,19,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-6.118250574494964,2.303210752286727,5.614248567513666,18982,220,1461,39,2.6694045174537986,0.4217030846785009,817576|817938|819371|819377|819745|819950|820559|822178|824230|824518|828333|828654|828754|829285|829822|831141|834293|834443|834945|835713|836456|836541|837131|837246|837433|837494|837505|838685|838690|838714|838997|839314|839503|839526|839567|841976|843963|844055|844433,U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|AT3G25840|U1-70K|RS2Z32|AT4G22380|RS40|AT4G26480|RSZ22|ATU2AF65A|EMB3011|U2AF35B|CBP20|SAD1|AT5G56140|AT5G63370|SC35|MEE5|SR45a|SR30|AT1G09660|U2A'|AT1G20920|emb1507|LSM3A|RSZ21|PRP39|MAC3A|LSM2|AT1G03140|SCL33|SmD3|SKIP|AT1G80930,-3.6159600465801915,0,1,0,0,-9.392662988105824,3.248117727583846,
1,-5.815030570583041,GO:0016071,M1,1,0,GO Biological Processes,19,mRNA metabolic process,19_GO:0008152 metabolic process,-5.815030570583041,1.8279450414974028,5.202441601700808,18982,462,1461,65,4.4490075290896645,0.5394162972719115,816197|817576|817767|817938|818091|819371|819377|819745|819864|819950|820530|820559|822178|824230|824518|824853|825335|828333|828654|828660|828754|829285|829421|829822|830626|830853|831141|831742|832242|834293|834443|834790|834945|835546|835713|836300|836456|836487|836541|836620|837131|837246|837357|837433|837494|837505|838162|838387|838495|838685|838690|838714|838997|839314|839503|839526|839567|841976|842855|842968|843763|843900|843963|844055|844433,AT2G16940|U2B''|AT2G32070|AT2G33730|MORF6|U1A|AT2G47640|AT3G05760|MORF3|AT3G07590|VCS|SCL30A|AT3G25840|U1-70K|RS2Z32|UBA2A|RRP41|AT4G22380|RS40|AT4G25550|AT4G26480|RSZ22|nPAP|ATU2AF65A|Tudor1|NRPB4|EMB3011|AT5G01160|LARP1a|U2AF35B|CBP20|AT5G47430|SAD1|AT5G54580|AT5G56140|Tudor2|AT5G63370|SPT42|SC35|CDKC2|MEE5|SR45a|DCP1|SR30|AT1G09660|U2A'|AT1G15920|AT1G18070|LSM1A|AT1G20920|emb1507|LSM3A|RSZ21|PRP39|MAC3A|LSM2|AT1G03140|SCL33|GTB1|AT1G66500|GR-RBP5|XRN3|SmD3|SKIP|AT1G80930,-3.409650055676325,0,1,0,0,-9.392662988105824,3.248117727583846,
1,-5.375094455057168,GO:0000375,M1,1,0,GO Biological Processes,19,"RNA splicing, via transesterification reactions",19_GO:0008152 metabolic process,-5.375094455057168,2.1299132639894074,5.129601296475693,18982,244,1461,40,2.737850787132101,0.4269251215354872,817576|817938|819371|819377|819745|819950|820559|821983|822178|824230|824518|828333|828654|828754|829285|829822|831141|834293|834443|834945|835713|836456|836541|837131|837246|837433|837494|837505|838685|838690|838714|838997|839314|839503|839526|839567|841976|843963|844055|844433,U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|HSP60|AT3G25840|U1-70K|RS2Z32|AT4G22380|RS40|AT4G26480|RSZ22|ATU2AF65A|EMB3011|U2AF35B|CBP20|SAD1|AT5G56140|AT5G63370|SC35|MEE5|SR45a|SR30|AT1G09660|U2A'|AT1G20920|emb1507|LSM3A|RSZ21|PRP39|MAC3A|LSM2|AT1G03140|SCL33|SmD3|SKIP|AT1G80930,-3.0631356253126865,0,1,0,0,-9.392662988105824,3.248117727583846,
1,-5.375094455057168,GO:0000377,M1,1,0,GO Biological Processes,19,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-5.375094455057168,2.1299132639894074,5.129601296475693,18982,244,1461,40,2.737850787132101,0.4269251215354872,817576|817938|819371|819377|819745|819950|820559|821983|822178|824230|824518|828333|828654|828754|829285|829822|831141|834293|834443|834945|835713|836456|836541|837131|837246|837433|837494|837505|838685|838690|838714|838997|839314|839503|839526|839567|841976|843963|844055|844433,U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|HSP60|AT3G25840|U1-70K|RS2Z32|AT4G22380|RS40|AT4G26480|RSZ22|ATU2AF65A|EMB3011|U2AF35B|CBP20|SAD1|AT5G56140|AT5G63370|SC35|MEE5|SR45a|SR30|AT1G09660|U2A'|AT1G20920|emb1507|LSM3A|RSZ21|PRP39|MAC3A|LSM2|AT1G03140|SCL33|SmD3|SKIP|AT1G80930,-3.0631356253126865,0,1,0,0,-9.392662988105824,3.248117727583846,
1,-4.724813497787452,GO:0008380,M1,1,0,GO Biological Processes,19,RNA splicing,19_GO:0008152 metabolic process,-4.724813497787452,1.9313132434282332,4.663249687068857,18982,296,1461,44,3.0116358658453115,0.44713219276522675,817576|817938|819371|819377|819745|819950|820559|821983|822178|824230|824514|824518|825515|828333|828654|828754|829285|829822|831141|834293|834443|834945|835713|836456|836541|837131|837246|837433|837494|837505|838685|838690|838714|838997|839314|839503|839526|839567|840918|841976|843707|843963|844055|844433,U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|HSP60|AT3G25840|U1-70K|CP29|RS2Z32|AT3G63400|AT4G22380|RS40|AT4G26480|RSZ22|ATU2AF65A|EMB3011|U2AF35B|CBP20|SAD1|AT5G56140|AT5G63370|SC35|MEE5|SR45a|SR30|AT1G09660|U2A'|AT1G20920|emb1507|LSM3A|RSZ21|PRP39|MAC3A|LSM2|AT1G03140|PTB3|SCL33|SMU1|SmD3|SKIP|AT1G80930,-2.591364211492483,0,1,0,0,-9.392662988105824,3.248117727583846,
1,-3.667508902744741,GO:0043484,M1,1,0,GO Biological Processes,19,regulation of RNA splicing,19_GO:0050789 regulation of biological process,-3.667508902744741,3.070947669715637,4.441347825175246,18982,55,1461,13,0.8898015058179329,0.24568612645487478,820559|824518|828654|828754|829285|831141|835713|836541|837246|837433|837494|838997|840918,SCL30A|RS2Z32|RS40|AT4G26480|RSZ22|EMB3011|AT5G56140|SC35|SR45a|SR30|AT1G09660|RSZ21|PTB3,-1.7884676652278686,0,1,0,0,-9.392662988105824,3.248117727583846,
1,-3.5822947566892727,GO:0000380,M1,1,0,GO Biological Processes,19,"alternative mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-3.5822947566892727,3.1818296106943804,4.415850500018367,18982,49,1461,12,0.8213552361396304,0.23612908914823993,820559|822178|824518|828654|828754|829285|835713|836541|837433|837494|838997|839567,SCL30A|AT3G25840|RS2Z32|RS40|AT4G26480|RSZ22|AT5G56140|SC35|SR30|AT1G09660|RSZ21|AT1G03140,-1.7283642397554313,0,1,0,0,-9.392662988105824,3.248117727583846,
