_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-15.991643327997128,GO:0009451,M1,1,0,GO Biological Processes,19,RNA modification,19_GO:0008152 metabolic process,-15.991643327997128,2.588393642074732,9.661969533425722,18982,341,1828,85,4.649890590809628,0.49248597741562056,814804|814827|814867|814914|815845|816576|816742|817307|818272|818309|818667|819097|819688|819698|820319|820459|820586|820601|820653|821115|821229|821642|821701|821840|822262|822494|823940|824504|824800|824822|824910|825512|826774|827041|827142|827584|827609|827878|828375|828630|829378|829871|829892|830107|830356|830748|830856|831168|831382|831549|831647|832343|832769|833931|834796|834949|835172|835340|835362|835668|836782|837123|837671|838121|838561|838888|839121|839283|839402|839466|839478|840066|841092|841167|842125|842970|843226|843343|843490|843776|843800|844054|3770596|6240220|10723034,AT2G02750|OTP85|AT2G03380|REME1|SLO2|MEF21|AT2G22070|AT2G27610|AT2G36980|AT2G37320|AT2G40720|AHG11|MEF19|AT3G05340|AT3G11460|MEF22|AT3G13770|AT3G13880|AT3G14330|AT3G02330|AT3G03580|AT3G20930|AT3G21470|AT3G22690|AT3G26540|AT3G28640|AT3G47840|AT3G53360|AT3G56330|AT3G56550|OTP84|OTP86|AT4G11690|AT4G14050|LOI1|AT4G18520|DOT4|AT4G21300|AT4G22760|OTP70|AT4G32430|AT4G37170|AT4G37380|AT4G39530|AT5G04780|SLG1|MEF7|RARE1|AT5G15300|AT5G16860|VAR3|EMB1030|AT5G27110|AT5G39350|AT5G47460|LPA66|AT5G50990|MEF1|AT5G52850|CRR21|AT5G66500|MEF3|CRR22|ECB2|AT1G19720|AT1G22830|AT1G25360|PFC1|AT1G04840|AT1G03540|AT1G03510|AT1G31790|AT1G45231|DYW1|AT1G56690|pde194|AT1G68930|EMB25|AT1G71490|AT1G74350|OTP87|AT1G77170|AT4G39364|AT4G19191|AT3G49142,-12.188322804418373,0,1,1,1,-15.991643327997128,2.588393642074732,
1,-7.166056604763918,GO:0019684,M1,1,0,GO Biological Processes,19,"photosynthesis, light reaction",19_GO:0008152 metabolic process,-7.166056604763918,2.719625924768157,6.322071584953208,18982,126,1828,33,1.8052516411378556,0.31140451805553804,814688|816078|818005|818599|820043|821840|823814|824654|825304|825866|826626|828489|829266|829678|831799|832477|834495|835515|836525|836751|836789|837040|837178|837974|838151|838243|839869|841447|842354|842446|843215|843903|2745715,CRR3|OTP51|LHB1B2|LHCB4.3|LHCB4.2|AT3G22690|AT3G46610|LHCA1|AT3G61320|PSBQ-2|LHCB5|NdhS|ACDO1|HCF244|OHP|SIGE|AT5G44660|LHCB3|PSAN|FNR1|PSBO1|LPA19|PSBP-1|PnsL2|LHCB6|HCF173|CAB3|FTSH1|ABC4|LHCA3|STN7|LQY1|PAM68,-3.663766076849145,0,2,1,1,-7.166056604763918,3.9938562531560344,
1,-6.624026821463625,GO:0015979,M1,1,0,GO Biological Processes,19,photosynthesis,19_GO:0008152 metabolic process,-6.624026821463625,2.266564107121039,5.833371389930265,18982,197,1828,43,2.352297592997812,0.3544778075520575,814688|816078|818005|818599|820043|821840|823814|824559|824654|824699|824832|824861|825304|825822|825866|826626|826892|828096|828489|829266|829678|831799|832477|834495|835168|835515|836525|836751|836789|837040|837178|837974|838151|838243|839869|841447|842354|842446|842794|843029|843215|843903|2745715,CRR3|OTP51|LHB1B2|LHCB4.3|LHCB4.2|AT3G22690|AT3G46610|SIGC|LHCA1|PPL1|PPD6|CRD1|AT3G61320|KEA3|PSBQ-2|LHCB5|PSAL|RSH1|NdhS|ACDO1|HCF244|OHP|SIGE|AT5G44660|FUM2|LHCB3|PSAN|FNR1|PSBO1|LPA19|PSBP-1|PnsL2|LHCB6|HCF173|CAB3|FTSH1|ABC4|LHCA3|SIGA|RBCS1A|STN7|LQY1|PAM68,-3.297827552604533,0,2,0,0,-7.166056604763918,3.9938562531560344,
1,-4.077462384487329,GO:0010207,M1,1,0,GO Biological Processes,19,photosystem II assembly,19_GO:0071840 cellular component organization or biogenesis,-4.077462384487329,3.9938562531560344,4.986653656146428,18982,26,1828,10,0.5470459518599562,0.1725172999166784,821840|823814|826626|829678|831799|832477|836789|837040|838243|2745715,AT3G22690|AT3G46610|LHCB5|HCF244|OHP|SIGE|PSBO1|LPA19|HCF173|PAM68,-1.2741418609085746,0,2,0,0,-7.166056604763918,3.9938562531560344,
1,-2.415198236626059,GO:0006091,M1,1,0,GO Biological Processes,19,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-2.415198236626059,1.492703774617068,2.9016613398256843,18982,320,1828,46,2.516411378555799,0.3663266197773099,814688|816078|816359|816697|818005|818599|820043|821543|821589|821840|823602|823814|824654|825304|825866|826626|827146|828489|829266|829678|831799|832477|834351|834495|834832|835168|835515|835773|836525|836751|836789|837040|837178|837639|837974|838151|838243|839531|839869|840149|841447|842354|842446|843215|843903|2745715,CRR3|OTP51|SDH1-2|APL4|LHB1B2|LHCB4.3|LHCB4.2|ATHXK4|EMB2729|AT3G22690|KP1|AT3G46610|LHCA1|AT3G61320|PSBQ-2|LHCB5|FdC1|NdhS|ACDO1|HCF244|OHP|SIGE|c-NAD-MDH2|AT5G44660|PFK2|FUM2|LHCB3|c-NAD-MDH3|PSAN|FNR1|PSBO1|LPA19|PSBP-1|FD1|PnsL2|LHCB6|HCF173|DBE1|CAB3|FdC2|FTSH1|ABC4|LHCA3|STN7|LQY1|PAM68,-0.33968503075971174,0,2,0,0,-7.166056604763918,3.9938562531560344,
1,-6.491147469662295,GO:1900865,M1,1,0,GO Biological Processes,19,chloroplast RNA modification,19_GO:0008152 metabolic process,-6.491147469662295,4.99971634654348,6.789129895777674,18982,27,1828,13,0.7111597374179431,0.19653762504367026,814827|820601|820653|821642|824822|827584|827609|829892|831382|831647|834796|841167|844054,OTP85|AT3G13880|AT3G14330|AT3G20930|AT3G56550|AT4G18520|DOT4|AT4G37380|AT5G15300|VAR3|AT5G47460|DYW1|AT1G77170,-3.2898869374115027,0,3,1,1,-6.491147469662295,7.788019693654267,
1,-2.480189567481865,GO:1900871,M1,1,0,GO Biological Processes,19,chloroplast mRNA modification,19_GO:0008152 metabolic process,-2.480189567481865,7.788019693654267,4.432133217288458,18982,4,1828,3,0.16411378555798686,0.09467335650394139,821642|831647|841167,AT3G20930|VAR3|DYW1,-0.3496015911882018,0,3,0,0,-6.491147469662295,7.788019693654267,
1,-6.392738415113555,GO:0000959,M1,1,0,GO Biological Processes,19,mitochondrial RNA metabolic process,19_GO:0008152 metabolic process,-6.392738415113555,3.461342086068563,6.233457764667826,18982,60,1828,20,1.0940919037199124,0.24330437807999175,815845|816576|817349|819688|820459|820601|821115|826774|829378|830284|830748|836592|836619|837123|837784|839880|841694|843776|843800|28719435,SLO2|MEF21|AT2G28050|MEF19|MEF22|AT3G13880|AT3G02330|AT4G11690|AT4G32430|AT5G04050|SLG1|AT5G64710|AT5G64950|MEF3|AT1G12300|nMAT1|AT1G52620|AT1G74350|OTP87|AT4G01400,-3.2883878958708195,0,4,1,1,-6.392738415113555,3.461342086068563,
1,-4.688785945513431,GO:0016556,M1,1,0,GO Biological Processes,19,mRNA modification,19_GO:0008152 metabolic process,-4.688785945513431,3.314050933469901,5.185064049046936,18982,47,1828,15,0.8205689277899344,0.2109989258864609,815845|816576|819688|820459|821115|821642|826774|830748|831647|835668|837123|837671|839283|841167|843800,SLO2|MEF21|MEF19|MEF22|AT3G02330|AT3G20930|AT4G11690|SLG1|VAR3|CRR21|MEF3|CRR22|PFC1|DYW1|OTP87,-1.8397079313740021,0,4,0,0,-6.392738415113555,3.461342086068563,
1,-3.776453601405985,GO:1900864,M1,1,0,GO Biological Processes,19,mitochondrial RNA modification,19_GO:0008152 metabolic process,-3.776453601405985,3.461342086068563,4.619561329028972,18982,33,1828,11,0.6017505470459519,0.18088790093437646,815845|816576|819688|820459|820601|821115|826774|830748|837123|843776|843800,SLO2|MEF21|MEF19|MEF22|AT3G13880|AT3G02330|AT4G11690|SLG1|MEF3|AT1G74350|OTP87,-1.1492243368829123,0,4,0,0,-6.392738415113555,3.461342086068563,
